EMOTIVE VR DATA RECORDING
Date (year-month-day): 2022-06-27
Playback start time: 14:47
Session ID: 


Time from playback start (s),Sequence name,Video clip name,Video time (s),GSR,Arousal peak power
0.09,00_StartPlayback,(NO VIDEO),0.00,0,0
0.21,00_StartPlayback,(NO VIDEO),0.00,0,0
0.32,00_StartPlayback,(NO VIDEO),0.00,0,0
0.43,00_StartPlayback,(NO VIDEO),0.00,0,0
0.54,00_StartPlayback,(NO VIDEO),0.00,0,0
0.65,00_StartPlayback,(NO VIDEO),0.00,0,0
0.76,00_StartPlayback,(NO VIDEO),0.00,0,0
0.87,00_StartPlayback,(NO VIDEO),0.00,0,0
0.98,00_StartPlayback,(NO VIDEO),0.00,0,0
1.09,00_StartPlayback,(NO VIDEO),0.00,0,0
1.21,00_StartPlayback,(NO VIDEO),0.00,0,0
1.32,00_StartPlayback,(NO VIDEO),0.00,0,0
1.43,00_StartPlayback,(NO VIDEO),0.00,0,0
1.53,00_StartPlayback,(NO VIDEO),0.00,0,0
1.64,00_StartPlayback,(NO VIDEO),0.00,0,0
1.75,00_StartPlayback,(NO VIDEO),0.00,0,0
1.86,00_StartPlayback,(NO VIDEO),0.00,0,0
1.97,00_StartPlayback,(NO VIDEO),0.00,0,0
2.08,04_Opening Credits,04_OpeningCredits_Noninteractive,0.00,0,0
2.19,04_Opening Credits,04_OpeningCredits_Noninteractive,0.00,0,0
2.30,04_Opening Credits,04_OpeningCredits_Noninteractive,0.16,0,0
2.41,04_Opening Credits,04_OpeningCredits_Noninteractive,0.28,0,0
2.53,04_Opening Credits,04_OpeningCredits_Noninteractive,0.40,0,0
2.64,04_Opening Credits,04_OpeningCredits_Noninteractive,0.52,0,0
2.75,04_Opening Credits,04_OpeningCredits_Noninteractive,0.60,0,0
2.86,04_Opening Credits,04_OpeningCredits_Noninteractive,0.72,0,0
2.97,04_Opening Credits,04_OpeningCredits_Noninteractive,0.84,0,0
3.08,04_Opening Credits,04_OpeningCredits_Noninteractive,0.96,0,0
3.20,04_Opening Credits,04_OpeningCredits_Noninteractive,1.04,0,0
3.31,04_Opening Credits,04_OpeningCredits_Noninteractive,1.16,0,0
3.42,04_Opening Credits,04_OpeningCredits_Noninteractive,1.28,0,0
3.53,04_Opening Credits,04_OpeningCredits_Noninteractive,1.40,0,0
3.64,04_Opening Credits,04_OpeningCredits_Noninteractive,1.52,0,0
3.75,04_Opening Credits,04_OpeningCredits_Noninteractive,1.60,0,0
3.86,04_Opening Credits,04_OpeningCredits_Noninteractive,1.72,0,0
3.98,04_Opening Credits,04_OpeningCredits_Noninteractive,1.84,0,0
4.09,04_Opening Credits,04_OpeningCredits_Noninteractive,1.96,0,0
4.20,04_Opening Credits,04_OpeningCredits_Noninteractive,2.08,0,0
4.30,04_Opening Credits,04_OpeningCredits_Noninteractive,2.16,0,0
4.41,04_Opening Credits,04_OpeningCredits_Noninteractive,2.28,0,0
4.52,04_Opening Credits,04_OpeningCredits_Noninteractive,2.40,0,0
4.63,04_Opening Credits,04_OpeningCredits_Noninteractive,2.48,0,0
4.74,04_Opening Credits,04_OpeningCredits_Noninteractive,2.60,0,0
4.86,04_Opening Credits,04_OpeningCredits_Noninteractive,2.72,0,0
4.96,04_Opening Credits,04_OpeningCredits_Noninteractive,2.84,0,0
5.08,04_Opening Credits,04_OpeningCredits_Noninteractive,2.92,0,0
5.19,04_Opening Credits,04_OpeningCredits_Noninteractive,3.04,0,0
5.30,04_Opening Credits,04_OpeningCredits_Noninteractive,3.16,0,0
5.41,04_Opening Credits,04_OpeningCredits_Noninteractive,3.28,0,0
5.52,04_Opening Credits,04_OpeningCredits_Noninteractive,3.40,0,0
5.63,04_Opening Credits,04_OpeningCredits_Noninteractive,3.48,0,0
5.75,04_Opening Credits,04_OpeningCredits_Noninteractive,3.60,0,0
5.86,04_Opening Credits,04_OpeningCredits_Noninteractive,3.72,0,0
5.97,04_Opening Credits,04_OpeningCredits_Noninteractive,3.84,0,0
6.08,04_Opening Credits,04_OpeningCredits_Noninteractive,3.96,0,0
6.19,04_Opening Credits,04_OpeningCredits_Noninteractive,4.04,0,0
6.30,04_Opening Credits,04_OpeningCredits_Noninteractive,4.16,0,0
6.41,04_Opening Credits,04_OpeningCredits_Noninteractive,4.28,0,0
6.53,04_Opening Credits,04_OpeningCredits_Noninteractive,4.40,0,0
6.64,04_Opening Credits,04_OpeningCredits_Noninteractive,4.52,0,0
6.75,04_Opening Credits,04_OpeningCredits_Noninteractive,4.60,0,0
6.86,04_Opening Credits,04_OpeningCredits_Noninteractive,4.72,0,0
6.97,04_Opening Credits,04_OpeningCredits_Noninteractive,4.84,0,0
7.08,04_Opening Credits,04_OpeningCredits_Noninteractive,4.96,0,0
7.20,04_Opening Credits,04_OpeningCredits_Noninteractive,5.04,0,0
7.30,04_Opening Credits,04_OpeningCredits_Noninteractive,5.16,0,0
7.42,04_Opening Credits,04_OpeningCredits_Noninteractive,5.28,0,0
7.53,04_Opening Credits,04_OpeningCredits_Noninteractive,5.40,0,0
7.63,04_Opening Credits,04_OpeningCredits_Noninteractive,5.48,0,0
7.74,04_Opening Credits,04_OpeningCredits_Noninteractive,5.60,0,0
7.85,04_Opening Credits,04_OpeningCredits_Noninteractive,5.72,0,0
7.96,04_Opening Credits,04_OpeningCredits_Noninteractive,5.84,0,0
8.07,04_Opening Credits,04_OpeningCredits_Noninteractive,5.92,0,0
8.18,04_Opening Credits,04_OpeningCredits_Noninteractive,6.04,0,0
8.29,04_Opening Credits,04_OpeningCredits_Noninteractive,6.16,0,0
8.41,04_Opening Credits,04_OpeningCredits_Noninteractive,6.28,0,0
8.52,04_Opening Credits,04_OpeningCredits_Noninteractive,6.40,0,0
8.63,04_Opening Credits,04_OpeningCredits_Noninteractive,6.48,0,0
8.74,04_Opening Credits,04_OpeningCredits_Noninteractive,6.60,0,0
8.85,04_Opening Credits,04_OpeningCredits_Noninteractive,6.72,0,0
8.96,04_Opening Credits,04_OpeningCredits_Noninteractive,6.84,0,0
9.07,04_Opening Credits,04_OpeningCredits_Noninteractive,6.92,0,0
9.18,04_Opening Credits,04_OpeningCredits_Noninteractive,7.04,0,0
9.30,04_Opening Credits,04_OpeningCredits_Noninteractive,7.16,0,0
9.41,04_Opening Credits,04_OpeningCredits_Noninteractive,7.28,0,0
9.52,04_Opening Credits,04_OpeningCredits_Noninteractive,7.40,0,0
9.63,04_Opening Credits,04_OpeningCredits_Noninteractive,7.48,0,0
9.74,04_Opening Credits,04_OpeningCredits_Noninteractive,7.60,0,0
9.85,04_Opening Credits,04_OpeningCredits_Noninteractive,7.72,0,0
9.96,04_Opening Credits,04_OpeningCredits_Noninteractive,7.84,0,0
10.07,04_Opening Credits,04_OpeningCredits_Noninteractive,7.92,0,0
10.19,04_Opening Credits,04_OpeningCredits_Noninteractive,8.04,0,0
10.30,04_Opening Credits,04_OpeningCredits_Noninteractive,8.16,0,0
10.41,04_Opening Credits,04_OpeningCredits_Noninteractive,8.28,0,0
10.52,04_Opening Credits,04_OpeningCredits_Noninteractive,8.40,0,0
10.63,04_Opening Credits,04_OpeningCredits_Noninteractive,8.48,0,0
10.73,04_Opening Credits,04_OpeningCredits_Noninteractive,8.60,0,0
10.85,04_Opening Credits,04_OpeningCredits_Noninteractive,8.72,0,0
