EMOTIVE VR DATA RECORDING
Date (year-month-day): 2022-07-01
Playback start time: 13:35
Session ID: 


Time from playback start (s),Sequence name,Video clip name,Video time (s),GSR,Arousal peak power
0.07,00_StartPlayback,(NO VIDEO),0.00,2.7298,0
0.18,00_StartPlayback,(NO VIDEO),0.00,2.7298,0
0.29,00_StartPlayback,(NO VIDEO),0.00,2.716,0
0.40,00_StartPlayback,(NO VIDEO),0.00,2.716,0
0.52,00_StartPlayback,(NO VIDEO),0.00,2.7102,0
0.63,00_StartPlayback,(NO VIDEO),0.00,2.6902,0
0.74,00_StartPlayback,(NO VIDEO),0.00,2.6902,0
0.85,00_StartPlayback,(NO VIDEO),0.00,2.6824,0
0.96,00_StartPlayback,(NO VIDEO),0.00,2.6824,0
1.07,00_StartPlayback,(NO VIDEO),0.00,2.6824,0
1.18,00_StartPlayback,(NO VIDEO),0.00,2.676,0
1.30,00_StartPlayback,(NO VIDEO),0.00,2.676,0
1.41,00_StartPlayback,(NO VIDEO),0.00,2.6481,0
1.52,00_StartPlayback,(NO VIDEO),0.00,2.6261,0
1.63,00_StartPlayback,(NO VIDEO),0.00,2.6261,0
1.74,00_StartPlayback,(NO VIDEO),0.00,2.6261,0
1.85,00_StartPlayback,(NO VIDEO),0.00,2.6099,0
1.96,00_StartPlayback,(NO VIDEO),0.00,2.6099,0
2.07,07_Karl_B,07_Karl_B,0.00,2.0695,0
2.19,07_Karl_B,07_Karl_B,0.00,2.0695,0
2.30,07_Karl_B,07_Karl_B,0.16,2.0695,0
2.41,07_Karl_B,07_Karl_B,0.28,2.0673,0
2.52,07_Karl_B,07_Karl_B,0.40,2.065,0
2.63,07_Karl_B,07_Karl_B,0.48,2.065,0
2.75,07_Karl_B,07_Karl_B,0.60,2.0628,0
2.86,07_Karl_B,07_Karl_B,0.72,2.0628,0
2.97,07_Karl_B,07_Karl_B,0.84,2.0628,0
3.08,07_Karl_B,07_Karl_B,0.92,2.061,0
3.20,07_Karl_B,07_Karl_B,1.08,2.061,0
3.32,07_Karl_B,07_Karl_B,1.16,2.0587,0
3.43,07_Karl_B,07_Karl_B,1.28,2.057,0
3.54,07_Karl_B,07_Karl_B,1.40,2.057,0
3.65,07_Karl_B,07_Karl_B,1.52,2.0547,0
3.76,07_Karl_B,07_Karl_B,1.64,2.0547,0
3.87,07_Karl_B,07_Karl_B,1.72,2.0547,0
3.98,07_Karl_B,07_Karl_B,1.84,2.0525,0
4.09,07_Karl_B,07_Karl_B,1.96,2.0525,0
4.21,07_Karl_B,07_Karl_B,2.08,2.0503,0
4.32,07_Karl_B,07_Karl_B,2.16,2.0481,0
4.43,07_Karl_B,07_Karl_B,2.28,2.0481,0
4.54,07_Karl_B,07_Karl_B,2.40,2.0481,0
4.65,07_Karl_B,07_Karl_B,2.52,2.0463,0
4.76,07_Karl_B,07_Karl_B,2.64,2.0463,0
4.88,07_Karl_B,07_Karl_B,2.72,2.0446,0
4.99,07_Karl_B,07_Karl_B,2.84,2.0446,0
5.10,07_Karl_B,07_Karl_B,2.96,2.0428,0
5.21,07_Karl_B,07_Karl_B,3.08,2.0428,0
5.32,07_Karl_B,07_Karl_B,3.20,2.041,0
5.43,07_Karl_B,07_Karl_B,3.28,2.041,0
5.54,07_Karl_B,07_Karl_B,3.40,2.0393,0
5.66,07_Karl_B,07_Karl_B,3.52,2.0393,0
