EMOTIVE VR DATA RECORDING
Date (year-month-day): 2022-07-01
Playback start time: 13:18
Session ID: 


Time from playback start (s),Sequence name,Video clip name,Video time (s),GSR,Arousal peak power
0.07,00_StartPlayback,(NO VIDEO),0.00,2.5647,0
0.18,00_StartPlayback,(NO VIDEO),0.00,2.5569,0
0.30,00_StartPlayback,(NO VIDEO),0.00,2.5485,0
0.41,00_StartPlayback,(NO VIDEO),0.00,2.5485,0
0.53,00_StartPlayback,(NO VIDEO),0.00,2.5395,0
0.63,00_StartPlayback,(NO VIDEO),0.00,2.5395,0
0.75,00_StartPlayback,(NO VIDEO),0.00,2.5395,0
0.86,00_StartPlayback,(NO VIDEO),0.00,2.5318,0
0.97,00_StartPlayback,(NO VIDEO),0.00,2.5318,0
1.08,00_StartPlayback,(NO VIDEO),0.00,2.5267,0
1.19,00_StartPlayback,(NO VIDEO),0.00,2.5229,0
1.30,00_StartPlayback,(NO VIDEO),0.00,2.5229,0
1.41,00_StartPlayback,(NO VIDEO),0.00,2.5229,0
1.53,00_StartPlayback,(NO VIDEO),0.00,2.5178,0
1.64,00_StartPlayback,(NO VIDEO),0.00,2.5178,0
1.75,00_StartPlayback,(NO VIDEO),0.00,2.5109,0
1.86,00_StartPlayback,(NO VIDEO),0.00,2.5109,0
1.97,00_StartPlayback,(NO VIDEO),0.00,2.5046,0
2.09,07_Karl_B,07_Karl_B,0.00,2.0695,0
2.20,07_Karl_B,07_Karl_B,0.00,2.0695,0
2.31,07_Karl_B,07_Karl_B,0.16,2.0673,0
2.42,07_Karl_B,07_Karl_B,0.28,2.0673,0
2.53,07_Karl_B,07_Karl_B,0.40,2.065,0
2.64,07_Karl_B,07_Karl_B,0.48,2.065,0
2.75,07_Karl_B,07_Karl_B,0.60,2.0628,0
2.87,07_Karl_B,07_Karl_B,0.72,2.0628,0
2.98,07_Karl_B,07_Karl_B,0.84,2.0628,0
3.09,07_Karl_B,07_Karl_B,0.92,2.061,0
3.20,07_Karl_B,07_Karl_B,1.04,2.0587,0
3.31,07_Karl_B,07_Karl_B,1.16,2.0587,0
3.42,07_Karl_B,07_Karl_B,1.28,2.057,0
3.54,07_Karl_B,07_Karl_B,1.40,2.057,0
3.64,07_Karl_B,07_Karl_B,1.48,2.0547,0
3.76,07_Karl_B,07_Karl_B,1.60,2.0547,0
3.87,07_Karl_B,07_Karl_B,1.72,2.0547,0
3.98,07_Karl_B,07_Karl_B,1.84,2.0525,0
4.09,07_Karl_B,07_Karl_B,1.96,2.0503,0
4.20,07_Karl_B,07_Karl_B,2.04,2.0503,0
4.31,07_Karl_B,07_Karl_B,2.16,2.0481,0
4.43,07_Karl_B,07_Karl_B,2.28,2.0481,0
4.54,07_Karl_B,07_Karl_B,2.40,2.0481,0
4.65,07_Karl_B,07_Karl_B,2.48,2.0463,0
4.76,07_Karl_B,07_Karl_B,2.60,2.0463,0
4.87,07_Karl_B,07_Karl_B,2.72,2.0446,0
4.98,07_Karl_B,07_Karl_B,2.84,2.0428,0
5.09,07_Karl_B,07_Karl_B,2.96,2.0428,0
5.20,07_Karl_B,07_Karl_B,3.04,2.0428,0
5.32,07_Karl_B,07_Karl_B,3.16,2.041,0
5.43,07_Karl_B,07_Karl_B,3.28,2.041,0
5.54,07_Karl_B,07_Karl_B,3.40,2.0393,0
5.65,07_Karl_B,07_Karl_B,3.52,2.0393,0
5.76,07_Karl_B,07_Karl_B,3.60,2.038,0
5.88,07_Karl_B,07_Karl_B,3.72,2.038,0
5.98,07_Karl_B,07_Karl_B,3.84,2.038,0
6.10,07_Karl_B,07_Karl_B,3.96,2.0371,0
6.21,07_Karl_B,07_Karl_B,4.04,2.0358,0
6.32,07_Karl_B,07_Karl_B,4.16,2.0358,0
6.43,07_Karl_B,07_Karl_B,4.28,2.0353,0
6.54,07_Karl_B,07_Karl_B,4.40,2.0353,0
6.65,07_Karl_B,07_Karl_B,4.52,2.0353,0
6.77,07_Karl_B,07_Karl_B,4.60,2.0353,0
6.88,07_Karl_B,07_Karl_B,4.72,2.0353,0
6.99,07_Karl_B,07_Karl_B,4.84,2.0349,0
7.10,07_Karl_B,07_Karl_B,4.96,2.034,0
7.21,07_Karl_B,07_Karl_B,5.08,2.034,0
7.32,07_Karl_B,07_Karl_B,5.16,2.0327,0
7.43,07_Karl_B,07_Karl_B,5.28,2.0327,0
7.54,07_Karl_B,07_Karl_B,5.40,2.0327,0
7.66,07_Karl_B,07_Karl_B,5.52,2.031,0
7.77,07_Karl_B,07_Karl_B,5.60,2.031,0
7.88,07_Karl_B,07_Karl_B,5.72,2.0283,0
7.99,07_Karl_B,07_Karl_B,5.84,2.0283,0
8.10,07_Karl_B,07_Karl_B,5.96,2.0257,0
