EMOTIVE VR DATA RECORDING
Date (year-month-day): 2022-07-01
Playback start time: 13:33
Session ID: 


Time from playback start (s),Sequence name,Video clip name,Video time (s),GSR,Arousal peak power
0.09,00_StartPlayback,(NO VIDEO),0.00,2.7674,0
0.20,00_StartPlayback,(NO VIDEO),0.00,2.7667,0
0.30,00_StartPlayback,(NO VIDEO),0.00,2.7667,0
0.42,00_StartPlayback,(NO VIDEO),0.00,2.7526,0
0.53,00_StartPlayback,(NO VIDEO),0.00,2.7526,0
0.64,00_StartPlayback,(NO VIDEO),0.00,2.7334,0
0.75,00_StartPlayback,(NO VIDEO),0.00,2.7334,0
0.86,00_StartPlayback,(NO VIDEO),0.00,2.7334,0
0.97,00_StartPlayback,(NO VIDEO),0.00,2.7232,0
1.09,00_StartPlayback,(NO VIDEO),0.00,2.7312,0
1.20,00_StartPlayback,(NO VIDEO),0.00,2.7312,0
1.31,00_StartPlayback,(NO VIDEO),0.00,2.7298,0.007999897
1.42,00_StartPlayback,(NO VIDEO),0.00,2.7298,0
1.53,00_StartPlayback,(NO VIDEO),0.00,2.7298,0
1.64,00_StartPlayback,(NO VIDEO),0.00,2.716,0
1.75,00_StartPlayback,(NO VIDEO),0.00,2.716,0
1.86,00_StartPlayback,(NO VIDEO),0.00,2.7102,0
1.98,00_StartPlayback,(NO VIDEO),0.00,2.6902,0
2.09,07_Karl_B,07_Karl_B,0.00,2.0695,0
2.20,07_Karl_B,07_Karl_B,0.00,2.0695,0
2.31,07_Karl_B,07_Karl_B,0.16,2.0695,0
2.42,07_Karl_B,07_Karl_B,0.28,2.0673,0
2.54,07_Karl_B,07_Karl_B,0.40,2.0673,0
2.64,07_Karl_B,07_Karl_B,0.48,2.065,0
2.76,07_Karl_B,07_Karl_B,0.60,2.065,0
2.87,07_Karl_B,07_Karl_B,0.72,2.0628,0
2.98,07_Karl_B,07_Karl_B,0.84,2.0628,0
3.09,07_Karl_B,07_Karl_B,0.92,2.061,0
3.20,07_Karl_B,07_Karl_B,1.04,2.061,0
3.31,07_Karl_B,07_Karl_B,1.16,2.0587,0
3.43,07_Karl_B,07_Karl_B,1.28,2.0587,0
3.54,07_Karl_B,07_Karl_B,1.40,2.057,0
3.65,07_Karl_B,07_Karl_B,1.48,2.057,0
3.76,07_Karl_B,07_Karl_B,1.60,2.0547,0
3.87,07_Karl_B,07_Karl_B,1.72,2.0547,0
3.98,07_Karl_B,07_Karl_B,1.84,2.0525,0
4.09,07_Karl_B,07_Karl_B,1.96,2.0525,0
4.20,07_Karl_B,07_Karl_B,2.04,2.0503,0
4.32,07_Karl_B,07_Karl_B,2.16,2.0503,0
4.43,07_Karl_B,07_Karl_B,2.28,2.0481,0
4.54,07_Karl_B,07_Karl_B,2.40,2.0481,0
4.65,07_Karl_B,07_Karl_B,2.48,2.0481,0
4.76,07_Karl_B,07_Karl_B,2.60,2.0463,0
4.88,07_Karl_B,07_Karl_B,2.72,2.0446,0
4.98,07_Karl_B,07_Karl_B,2.84,2.0446,0
5.09,07_Karl_B,07_Karl_B,2.96,2.0428,0
5.21,07_Karl_B,07_Karl_B,3.04,2.0428,0
5.32,07_Karl_B,07_Karl_B,3.16,2.0428,0
5.43,07_Karl_B,07_Karl_B,3.28,2.041,0
5.54,07_Karl_B,07_Karl_B,3.40,2.041,0
5.65,07_Karl_B,07_Karl_B,3.52,2.0393,0
5.77,07_Karl_B,07_Karl_B,3.60,2.0393,0
5.88,07_Karl_B,07_Karl_B,3.72,2.038,0
5.99,07_Karl_B,07_Karl_B,3.84,2.038,0
6.10,07_Karl_B,07_Karl_B,3.96,2.0371,0
6.21,07_Karl_B,07_Karl_B,4.04,2.0371,0
6.32,07_Karl_B,07_Karl_B,4.16,2.0358,0
6.43,07_Karl_B,07_Karl_B,4.28,2.0358,0
6.54,07_Karl_B,07_Karl_B,4.40,2.0353,0
6.66,07_Karl_B,07_Karl_B,4.52,2.0353,0
6.77,07_Karl_B,07_Karl_B,4.60,2.0353,0
6.88,07_Karl_B,07_Karl_B,4.72,2.0353,0
6.99,07_Karl_B,07_Karl_B,4.84,2.0349,0
7.10,07_Karl_B,07_Karl_B,4.96,2.0349,0
7.21,07_Karl_B,07_Karl_B,5.08,2.034,0
7.32,07_Karl_B,07_Karl_B,5.16,2.034,0
7.44,07_Karl_B,07_Karl_B,5.28,2.0327,0
7.55,07_Karl_B,07_Karl_B,5.40,2.0327,0
7.66,07_Karl_B,07_Karl_B,5.52,2.0327,0
7.77,07_Karl_B,07_Karl_B,5.60,2.031,0
7.88,07_Karl_B,07_Karl_B,5.72,2.0283,0
7.99,07_Karl_B,07_Karl_B,5.84,2.0283,0
8.11,07_Karl_B,07_Karl_B,5.96,2.0257,0
8.21,07_Karl_B,07_Karl_B,6.08,2.0257,0
8.33,07_Karl_B,07_Karl_B,6.16,2.0257,0
8.44,07_Karl_B,07_Karl_B,6.28,2.0231,0
8.55,07_Karl_B,07_Karl_B,6.40,2.0231,0
8.66,07_Karl_B,07_Karl_B,6.52,2.021,0
8.77,07_Karl_B,07_Karl_B,6.60,2.021,0
8.88,07_Karl_B,07_Karl_B,6.72,2.0184,0
9.00,07_Karl_B,07_Karl_B,6.84,2.0162,0
9.11,07_Karl_B,07_Karl_B,6.96,2.0162,0
9.22,07_Karl_B,07_Karl_B,7.08,2.0162,0
9.33,07_Karl_B,07_Karl_B,7.16,2.0136,0
9.44,07_Karl_B,07_Karl_B,7.28,2.0136,0
9.55,07_Karl_B,07_Karl_B,7.40,2.0115,0
9.66,07_Karl_B,07_Karl_B,7.52,2.0115,0
9.77,07_Karl_B,07_Karl_B,7.64,2.0098,0
9.89,07_Karl_B,07_Karl_B,7.72,2.0098,0
10.00,07_Karl_B,07_Karl_B,7.84,2.0098,0
10.11,07_Karl_B,07_Karl_B,7.96,2.0098,0
10.22,07_Karl_B,07_Karl_B,8.08,2.0154,0
10.33,07_Karl_B,07_Karl_B,8.16,2.0154,0
10.44,07_Karl_B,07_Karl_B,8.28,2.0301,0
10.55,07_Karl_B,07_Karl_B,8.40,2.0301,0
10.66,07_Karl_B,07_Karl_B,8.52,2.0301,0
10.78,07_Karl_B,07_Karl_B,8.64,2.0583,0
10.89,07_Karl_B,07_Karl_B,8.72,2.1,0
11.00,07_Karl_B,07_Karl_B,8.84,2.1,0
11.11,07_Karl_B,07_Karl_B,8.96,2.1524,0
11.22,07_Karl_B,07_Karl_B,9.08,2.1524,0
11.33,07_Karl_B,07_Karl_B,9.20,2.1524,0
11.45,07_Karl_B,07_Karl_B,9.28,2.205,0
11.55,07_Karl_B,07_Karl_B,9.40,2.205,0
11.67,07_Karl_B,07_Karl_B,9.52,2.2515,0
11.78,07_Karl_B,07_Karl_B,9.64,2.2853,0
11.89,07_Karl_B,07_Karl_B,9.72,2.2853,0
12.03,07_Karl_B,07_Karl_B,9.88,2.3019,0
