EMOTIVE VR DATA RECORDING
Date (year-month-day): 2023-10-21
Playback start time: 22:20
Session ID: 


Time from playback start (s),Sequence name,Video clip name,Video time (s),Valence,Arousal
0.02,00_StartPlayback,(NO VIDEO),0.00,0.4454545,0.2272727
0.13,00_StartPlayback,(NO VIDEO),0.00,0.4,0.1363636
0.23,00_StartPlayback,(NO VIDEO),0.00,0.4090909,0.1090909
0.33,00_StartPlayback,(NO VIDEO),0.00,0.4363636,0.1090909
0.43,00_StartPlayback,(NO VIDEO),0.00,0.4636364,0.1090909
0.52,00_StartPlayback,(NO VIDEO),0.00,0.4909091,0.1090909
0.63,00_StartPlayback,(NO VIDEO),0.00,0.5272727,0.1090909
0.73,00_StartPlayback,(NO VIDEO),0.00,0.5545455,0.1090909
0.83,00_StartPlayback,(NO VIDEO),0.00,0.5818182,0.1090909
0.93,00_StartPlayback,(NO VIDEO),0.00,0.6090909,0.1090909
1.05,00_StartPlayback,(NO VIDEO),0.00,0.6363636,0.1
1.13,00_StartPlayback,(NO VIDEO),0.00,0.6636364,0.1
1.23,00_StartPlayback,(NO VIDEO),0.00,0.6818182,0.1545455
1.34,00_StartPlayback,(NO VIDEO),0.00,0.7090909,0.2454545
1.44,00_StartPlayback,(NO VIDEO),0.00,0.7272727,0.3363636
1.53,00_StartPlayback,(NO VIDEO),0.00,0.7454545,0.4272727
1.63,00_StartPlayback,(NO VIDEO),0.00,0.7636364,0.5090909
1.73,00_StartPlayback,(NO VIDEO),0.00,0.7818182,0.6
1.84,00_StartPlayback,(NO VIDEO),0.00,0.8,0.6909091
1.94,00_StartPlayback,(NO VIDEO),0.00,0.8181818,0.7818182
2.04,04_Opening Credits,04_OpeningCredits_Interactive,0.00,0.8454546,0.8727273
2.14,04_Opening Credits,04_OpeningCredits_Interactive,0.00,0.8636364,0.9636363
2.24,04_Opening Credits,04_OpeningCredits_Interactive,0.12,0.8636364,0.9545454
2.34,04_Opening Credits,04_OpeningCredits_Interactive,0.24,0.8636364,0.8818182
2.44,04_Opening Credits,04_OpeningCredits_Interactive,0.32,0.8636364,0.8090909
2.54,04_Opening Credits,04_OpeningCredits_Interactive,0.44,0.8636364,0.7363636
2.64,04_Opening Credits,04_OpeningCredits_Interactive,0.52,0.8636364,0.6545454
2.74,04_Opening Credits,04_OpeningCredits_Interactive,0.64,0.8636364,0.5818182
2.84,04_Opening Credits,04_OpeningCredits_Interactive,0.72,0.8636364,0.5090909
2.95,04_Opening Credits,04_OpeningCredits_Interactive,0.84,0.8636364,0.4363636
3.04,04_Opening Credits,04_OpeningCredits_Interactive,0.92,0.8727273,0.3636364
3.15,04_Opening Credits,04_OpeningCredits_Interactive,1.04,0.8727273,0.2909091
3.24,04_Opening Credits,04_OpeningCredits_Interactive,1.12,0.8727273,0.3181818
3.34,04_Opening Credits,04_OpeningCredits_Interactive,1.24,0.8818182,0.3818182
3.45,04_Opening Credits,04_OpeningCredits_Interactive,1.32,0.8909091,0.4363636
3.55,04_Opening Credits,04_OpeningCredits_Interactive,1.44,0.9,0.5
3.65,04_Opening Credits,04_OpeningCredits_Interactive,1.52,0.9090909,0.5545455
3.75,04_Opening Credits,04_OpeningCredits_Interactive,1.64,0.9181818,0.6181818
3.85,04_Opening Credits,04_OpeningCredits_Interactive,1.72,0.9272727,0.6727273
3.95,04_Opening Credits,04_OpeningCredits_Interactive,1.84,0.9363636,0.7363636
4.05,04_Opening Credits,04_OpeningCredits_Interactive,1.92,0.9454545,0.7909091
4.15,04_Opening Credits,04_OpeningCredits_Interactive,2.04,0.9545454,0.8545455
4.25,04_Opening Credits,04_OpeningCredits_Interactive,2.12,0.9636363,0.8818182
4.35,04_Opening Credits,04_OpeningCredits_Interactive,2.24,0.9454545,0.8272727
4.45,04_Opening Credits,04_OpeningCredits_Interactive,2.32,0.9090909,0.7454545
4.55,04_Opening Credits,04_OpeningCredits_Interactive,2.44,0.8818182,0.6727273
4.65,04_Opening Credits,04_OpeningCredits_Interactive,2.52,0.8454546,0.5909091
4.75,04_Opening Credits,04_OpeningCredits_Interactive,2.64,0.8181818,0.5090909
4.87,04_Opening Credits,04_OpeningCredits_Interactive,2.76,0.7818182,0.4090909
4.97,04_Opening Credits,04_OpeningCredits_Interactive,2.84,0.7454545,0.3272727
5.07,04_Opening Credits,04_OpeningCredits_Interactive,2.96,0.7181818,0.2545455
5.17,04_Opening Credits,04_OpeningCredits_Interactive,3.04,0.7,0.2
5.27,04_Opening Credits,04_OpeningCredits_Interactive,3.16,0.6818182,0.1909091
5.38,04_Opening Credits,04_OpeningCredits_Interactive,3.24,0.6727273,0.1818182
5.47,04_Opening Credits,04_OpeningCredits_Interactive,3.36,0.6636364,0.1636364
5.57,04_Opening Credits,04_OpeningCredits_Interactive,3.44,0.6545454,0.1545455
5.67,04_Opening Credits,04_OpeningCredits_Interactive,3.56,0.6454545,0.1454545
5.77,04_Opening Credits,04_OpeningCredits_Interactive,3.64,0.6363636,0.1363636
5.88,04_Opening Credits,04_OpeningCredits_Interactive,3.76,0.6181818,0.1181818
5.98,04_Opening Credits,04_OpeningCredits_Interactive,3.84,0.6090909,0.1090909
6.08,04_Opening Credits,04_OpeningCredits_Interactive,3.96,0.6,0.1
6.18,04_Opening Credits,04_OpeningCredits_Interactive,4.04,0.5909091,0.09090909
6.27,04_Opening Credits,04_OpeningCredits_Interactive,4.16,0.6090909,0.1363636
6.38,04_Opening Credits,04_OpeningCredits_Interactive,4.28,0.6545454,0.2272727
6.48,04_Opening Credits,04_OpeningCredits_Interactive,4.36,0.7,0.3181818
6.58,04_Opening Credits,04_OpeningCredits_Interactive,4.48,0.7454545,0.4
6.68,04_Opening Credits,04_OpeningCredits_Interactive,4.56,0.7909091,0.4909091
6.78,04_Opening Credits,04_OpeningCredits_Interactive,4.68,0.8363636,0.5818182
6.88,04_Opening Credits,04_OpeningCredits_Interactive,4.76,0.8818182,0.6636364
6.98,04_Opening Credits,04_OpeningCredits_Interactive,4.88,0.9272727,0.7545455
7.08,04_Opening Credits,04_OpeningCredits_Interactive,4.96,0.9727273,0.8454546
7.18,04_Opening Credits,04_OpeningCredits_Interactive,5.08,0.9727273,0.8454546
7.28,04_Opening Credits,04_OpeningCredits_Interactive,5.16,0.9727273,0.8454546
7.38,04_Opening Credits,04_OpeningCredits_Interactive,5.28,0.9545454,0.7727273
7.48,04_Opening Credits,04_OpeningCredits_Interactive,5.36,0.9363636,0.7090909
7.59,04_Opening Credits,04_OpeningCredits_Interactive,5.48,0.9181818,0.6454545
7.68,04_Opening Credits,04_OpeningCredits_Interactive,5.56,0.9,0.5818182
7.78,04_Opening Credits,04_OpeningCredits_Interactive,5.68,0.8818182,0.5181818
7.88,04_Opening Credits,04_OpeningCredits_Interactive,5.76,0.8636364,0.4545455
7.98,04_Opening Credits,04_OpeningCredits_Interactive,5.88,0.8454546,0.3909091
