EMOTIVE VR DATA RECORDING
Date (year-month-day): 2022-07-01
Playback start time: 17:10
Session ID: 


Time from playback start (s),Sequence name,Video clip name,Video time (s),GSR,Arousal peak power
0.06,00_StartPlayback,(NO VIDEO),0.00,2.5427,0
0.17,00_StartPlayback,(NO VIDEO),0.00,2.5465,0
0.28,00_StartPlayback,(NO VIDEO),0.00,2.5465,0
0.39,00_StartPlayback,(NO VIDEO),0.00,2.544,0.05130005
0.50,00_StartPlayback,(NO VIDEO),0.00,2.544,0
0.61,00_StartPlayback,(NO VIDEO),0.00,2.5401,0
0.72,00_StartPlayback,(NO VIDEO),0.00,2.5401,0
0.83,00_StartPlayback,(NO VIDEO),0.00,2.5401,0
0.95,00_StartPlayback,(NO VIDEO),0.00,2.535,0
1.06,00_StartPlayback,(NO VIDEO),0.00,2.528,0
1.17,00_StartPlayback,(NO VIDEO),0.00,2.528,0
1.28,00_StartPlayback,(NO VIDEO),0.00,2.5241,0
1.39,00_StartPlayback,(NO VIDEO),0.00,2.5241,0
1.50,00_StartPlayback,(NO VIDEO),0.00,2.5241,0
1.61,00_StartPlayback,(NO VIDEO),0.00,2.5222,0
1.73,00_StartPlayback,(NO VIDEO),0.00,2.5222,0
1.84,00_StartPlayback,(NO VIDEO),0.00,2.5184,0
1.95,00_StartPlayback,(NO VIDEO),0.00,2.514,0
2.06,04_Opening Credits,04_OpeningCredits_Noninteractive,0.00,2.514,0
2.16,04_Opening Credits,04_OpeningCredits_Noninteractive,0.00,2.5083,0
2.28,04_Opening Credits,04_OpeningCredits_Noninteractive,0.12,2.5083,0
2.39,04_Opening Credits,04_OpeningCredits_Noninteractive,0.24,2.5083,0
2.50,04_Opening Credits,04_OpeningCredits_Noninteractive,0.36,2.5039,0
2.61,04_Opening Credits,04_OpeningCredits_Noninteractive,0.48,2.5039,0
2.73,04_Opening Credits,04_OpeningCredits_Noninteractive,0.56,2.5014,0
2.84,04_Opening Credits,04_OpeningCredits_Noninteractive,0.68,2.5014,0
2.95,04_Opening Credits,04_OpeningCredits_Noninteractive,0.80,2.4989,0
3.06,04_Opening Credits,04_OpeningCredits_Noninteractive,0.92,2.4989,0
3.17,04_Opening Credits,04_OpeningCredits_Noninteractive,1.00,2.4958,0
3.28,04_Opening Credits,04_OpeningCredits_Noninteractive,1.12,2.4958,0
3.39,04_Opening Credits,04_OpeningCredits_Noninteractive,1.24,2.4933,0
3.51,04_Opening Credits,04_OpeningCredits_Noninteractive,1.36,2.4933,0
3.62,04_Opening Credits,04_OpeningCredits_Noninteractive,1.48,2.4896,0
3.73,04_Opening Credits,04_OpeningCredits_Noninteractive,1.56,2.4896,0
3.84,04_Opening Credits,04_OpeningCredits_Noninteractive,1.68,2.4896,0
3.95,04_Opening Credits,04_OpeningCredits_Noninteractive,1.80,2.4871,0
4.06,04_Opening Credits,04_OpeningCredits_Noninteractive,1.92,2.4884,0
4.18,04_Opening Credits,04_OpeningCredits_Noninteractive,2.04,2.4884,0
4.29,04_Opening Credits,04_OpeningCredits_Noninteractive,2.12,2.4865,0.001300097
4.40,04_Opening Credits,04_OpeningCredits_Noninteractive,2.24,2.4865,0
4.51,04_Opening Credits,04_OpeningCredits_Noninteractive,2.36,2.484,0
4.62,04_Opening Credits,04_OpeningCredits_Noninteractive,2.48,2.484,0
4.73,04_Opening Credits,04_OpeningCredits_Noninteractive,2.60,2.484,0
4.84,04_Opening Credits,04_OpeningCredits_Noninteractive,2.68,2.4822,0
4.95,04_Opening Credits,04_OpeningCredits_Noninteractive,2.80,2.4803,0
5.07,04_Opening Credits,04_OpeningCredits_Noninteractive,2.92,2.4803,0
5.18,04_Opening Credits,04_OpeningCredits_Noninteractive,3.04,2.4791,0
5.29,04_Opening Credits,04_OpeningCredits_Noninteractive,3.12,2.4791,0
5.40,04_Opening Credits,04_OpeningCredits_Noninteractive,3.24,2.4791,0
5.51,04_Opening Credits,04_OpeningCredits_Noninteractive,3.36,2.4797,0
5.63,04_Opening Credits,04_OpeningCredits_Noninteractive,3.48,2.4797,0
5.73,04_Opening Credits,04_OpeningCredits_Noninteractive,3.60,2.4803,0
5.85,04_Opening Credits,04_OpeningCredits_Noninteractive,3.68,2.4803,0
5.96,04_Opening Credits,04_OpeningCredits_Noninteractive,3.80,2.4797,0.001199961
6.07,04_Opening Credits,04_OpeningCredits_Noninteractive,3.92,2.4797,0
6.18,04_Opening Credits,04_OpeningCredits_Noninteractive,4.04,2.4785,0
6.29,04_Opening Credits,04_OpeningCredits_Noninteractive,4.12,2.4785,0
6.40,04_Opening Credits,04_OpeningCredits_Noninteractive,4.24,2.4748,0
6.52,04_Opening Credits,04_OpeningCredits_Noninteractive,4.36,2.4748,0
6.63,04_Opening Credits,04_OpeningCredits_Noninteractive,4.48,2.4681,0
6.74,04_Opening Credits,04_OpeningCredits_Noninteractive,4.60,2.4681,0
6.85,04_Opening Credits,04_OpeningCredits_Noninteractive,4.68,2.4626,0
6.96,04_Opening Credits,04_OpeningCredits_Noninteractive,4.80,2.4626,0
7.07,04_Opening Credits,04_OpeningCredits_Noninteractive,4.92,2.4559,0
7.18,04_Opening Credits,04_OpeningCredits_Noninteractive,5.04,2.4559,0
7.30,04_Opening Credits,04_OpeningCredits_Noninteractive,5.16,2.448,0
7.41,04_Opening Credits,04_OpeningCredits_Noninteractive,5.24,2.448,0
7.52,04_Opening Credits,04_OpeningCredits_Noninteractive,5.36,2.4426,0
7.63,04_Opening Credits,04_OpeningCredits_Noninteractive,5.48,2.4426,0
7.74,04_Opening Credits,04_OpeningCredits_Noninteractive,5.60,2.4426,0
7.85,04_Opening Credits,04_OpeningCredits_Noninteractive,5.68,2.4384,0
7.96,04_Opening Credits,04_OpeningCredits_Noninteractive,5.80,2.4331,0
8.07,04_Opening Credits,04_OpeningCredits_Noninteractive,5.92,2.4331,0
8.19,04_Opening Credits,04_OpeningCredits_Noninteractive,6.04,2.4295,0
8.30,04_Opening Credits,04_OpeningCredits_Noninteractive,6.16,2.4295,0
8.41,04_Opening Credits,04_OpeningCredits_Noninteractive,6.24,2.4295,0
8.52,04_Opening Credits,04_OpeningCredits_Noninteractive,6.36,2.4259,0
8.63,04_Opening Credits,04_OpeningCredits_Noninteractive,6.48,2.4259,0
8.74,04_Opening Credits,04_OpeningCredits_Noninteractive,6.60,2.4224,0
8.86,04_Opening Credits,04_OpeningCredits_Noninteractive,6.72,2.4218,0
8.96,04_Opening Credits,04_OpeningCredits_Noninteractive,6.80,2.4218,0
9.08,04_Opening Credits,04_OpeningCredits_Noninteractive,6.92,2.4218,0
9.19,04_Opening Credits,04_OpeningCredits_Noninteractive,7.04,2.4224,0
9.30,04_Opening Credits,04_OpeningCredits_Noninteractive,7.16,2.4224,0
9.41,04_Opening Credits,04_OpeningCredits_Noninteractive,7.24,2.4206,0.0006000996
9.53,04_Opening Credits,04_OpeningCredits_Noninteractive,7.36,2.4206,0
9.64,04_Opening Credits,04_OpeningCredits_Noninteractive,7.48,2.4183,0
9.75,04_Opening Credits,04_OpeningCredits_Noninteractive,7.60,2.4183,0
9.86,04_Opening Credits,04_OpeningCredits_Noninteractive,7.72,2.4112,0
9.97,04_Opening Credits,04_OpeningCredits_Noninteractive,7.80,2.4112,0
10.08,04_Opening Credits,04_OpeningCredits_Noninteractive,7.92,2.4048,0
10.19,04_Opening Credits,04_OpeningCredits_Noninteractive,8.04,2.4048,0
10.30,04_Opening Credits,04_OpeningCredits_Noninteractive,8.16,2.3989,0
10.41,04_Opening Credits,04_OpeningCredits_Noninteractive,8.28,2.3989,0
10.52,04_Opening Credits,04_OpeningCredits_Noninteractive,8.36,2.3931,0
10.64,04_Opening Credits,04_OpeningCredits_Noninteractive,8.48,2.3931,0
10.75,04_Opening Credits,04_OpeningCredits_Noninteractive,8.60,2.3931,0
10.86,04_Opening Credits,04_OpeningCredits_Noninteractive,8.72,2.3897,0
10.97,04_Opening Credits,04_OpeningCredits_Noninteractive,8.80,2.3862,0
11.08,04_Opening Credits,04_OpeningCredits_Noninteractive,8.92,2.3862,0
11.19,04_Opening Credits,04_OpeningCredits_Noninteractive,9.04,2.381,0
11.30,04_Opening Credits,04_OpeningCredits_Noninteractive,9.16,2.381,0
11.42,04_Opening Credits,04_OpeningCredits_Noninteractive,9.28,2.381,0
11.53,04_Opening Credits,04_OpeningCredits_Noninteractive,9.36,2.377,0
