EMOTIVE VR DATA RECORDING
Date (year-month-day): 2023-10-22
Playback start time: 17:41
Session ID: 


Time from playback start (s),Sequence name,Video clip name,Video time (s),Valence,Arousal
0.02,00_StartPlayback,(NO VIDEO),0.00,0,0
0.13,00_StartPlayback,(NO VIDEO),0.00,0,0
0.23,00_StartPlayback,(NO VIDEO),0.00,0,0
0.32,00_StartPlayback,(NO VIDEO),0.00,0,0
0.43,00_StartPlayback,(NO VIDEO),0.00,0,0
0.53,00_StartPlayback,(NO VIDEO),0.00,0,0
0.63,00_StartPlayback,(NO VIDEO),0.00,0,0
0.73,00_StartPlayback,(NO VIDEO),0.00,0,0
0.83,00_StartPlayback,(NO VIDEO),0.00,0,0
0.93,00_StartPlayback,(NO VIDEO),0.00,0,0
1.03,00_StartPlayback,(NO VIDEO),0.00,0,0
1.13,00_StartPlayback,(NO VIDEO),0.00,0,0
1.23,00_StartPlayback,(NO VIDEO),0.00,0,0
1.33,00_StartPlayback,(NO VIDEO),0.00,0,0
1.43,00_StartPlayback,(NO VIDEO),0.00,0,0
1.54,00_StartPlayback,(NO VIDEO),0.00,0,0
1.63,00_StartPlayback,(NO VIDEO),0.00,0,0
1.73,00_StartPlayback,(NO VIDEO),0.00,0,0
1.84,00_StartPlayback,(NO VIDEO),0.00,0,0
1.94,00_StartPlayback,(NO VIDEO),0.00,0,0
2.04,04_Opening Credits,04_OpeningCredits_Interactive,0.00,0,0
2.14,04_Opening Credits,04_OpeningCredits_Interactive,0.00,0,0
2.24,04_Opening Credits,04_OpeningCredits_Interactive,0.16,0,0
2.34,04_Opening Credits,04_OpeningCredits_Interactive,0.24,0,0
2.44,04_Opening Credits,04_OpeningCredits_Interactive,0.36,0,0
2.54,04_Opening Credits,04_OpeningCredits_Interactive,0.44,0,0
2.64,04_Opening Credits,04_OpeningCredits_Interactive,0.56,0,0
2.74,04_Opening Credits,04_OpeningCredits_Interactive,0.64,0,0
2.84,04_Opening Credits,04_OpeningCredits_Interactive,0.76,0,0
2.94,04_Opening Credits,04_OpeningCredits_Interactive,0.84,0,0
3.04,04_Opening Credits,04_OpeningCredits_Interactive,0.96,0,0
3.14,04_Opening Credits,04_OpeningCredits_Interactive,1.04,0,0
3.25,04_Opening Credits,04_OpeningCredits_Interactive,1.16,0,0
3.35,04_Opening Credits,04_OpeningCredits_Interactive,1.24,0,0
3.45,04_Opening Credits,04_OpeningCredits_Interactive,1.36,0,0
3.55,04_Opening Credits,04_OpeningCredits_Interactive,1.48,0,0
3.65,04_Opening Credits,04_OpeningCredits_Interactive,1.56,0,0
3.75,04_Opening Credits,04_OpeningCredits_Interactive,1.68,0,0
3.85,04_Opening Credits,04_OpeningCredits_Interactive,1.76,0,0
3.95,04_Opening Credits,04_OpeningCredits_Interactive,1.88,0,0
4.05,04_Opening Credits,04_OpeningCredits_Interactive,1.96,0,0
4.15,04_Opening Credits,04_OpeningCredits_Interactive,2.08,0,0
4.25,04_Opening Credits,04_OpeningCredits_Interactive,2.16,0,0
4.36,04_Opening Credits,04_OpeningCredits_Interactive,2.28,0,0
4.45,04_Opening Credits,04_OpeningCredits_Interactive,2.36,0,0
4.55,04_Opening Credits,04_OpeningCredits_Interactive,2.48,0,0
4.66,04_Opening Credits,04_OpeningCredits_Interactive,2.56,0,0
4.76,04_Opening Credits,04_OpeningCredits_Interactive,2.68,0,0
4.86,04_Opening Credits,04_OpeningCredits_Interactive,2.76,0,0
4.96,04_Opening Credits,04_OpeningCredits_Interactive,2.88,0,0
5.06,04_Opening Credits,04_OpeningCredits_Interactive,2.96,0,0
5.16,04_Opening Credits,04_OpeningCredits_Interactive,3.08,0,0
5.26,04_Opening Credits,04_OpeningCredits_Interactive,3.16,0,0
5.36,04_Opening Credits,04_OpeningCredits_Interactive,3.28,0,0
5.46,04_Opening Credits,04_OpeningCredits_Interactive,3.36,0,0
5.56,04_Opening Credits,04_OpeningCredits_Interactive,3.48,0,0
5.66,04_Opening Credits,04_OpeningCredits_Interactive,3.56,0,0
5.76,04_Opening Credits,04_OpeningCredits_Interactive,3.68,0,0
5.86,04_Opening Credits,04_OpeningCredits_Interactive,3.76,0,0
5.96,04_Opening Credits,04_OpeningCredits_Interactive,3.88,0,0
6.07,04_Opening Credits,04_OpeningCredits_Interactive,3.96,0,0
6.16,04_Opening Credits,04_OpeningCredits_Interactive,4.08,0,0
6.27,04_Opening Credits,04_OpeningCredits_Interactive,4.16,0,0
6.37,04_Opening Credits,04_OpeningCredits_Interactive,4.28,0,0
6.47,04_Opening Credits,04_OpeningCredits_Interactive,4.40,0,0
6.57,04_Opening Credits,04_OpeningCredits_Interactive,4.48,0,0
6.67,04_Opening Credits,04_OpeningCredits_Interactive,4.60,0,0
6.77,04_Opening Credits,04_OpeningCredits_Interactive,4.68,0,0
6.87,04_Opening Credits,04_OpeningCredits_Interactive,4.80,0,0
6.97,04_Opening Credits,04_OpeningCredits_Interactive,4.88,0,0
7.07,04_Opening Credits,04_OpeningCredits_Interactive,5.00,0,0
7.17,04_Opening Credits,04_OpeningCredits_Interactive,5.08,0,0
7.27,04_Opening Credits,04_OpeningCredits_Interactive,5.20,0,0
7.37,04_Opening Credits,04_OpeningCredits_Interactive,5.28,0,0
7.47,04_Opening Credits,04_OpeningCredits_Interactive,5.40,0,0
7.57,04_Opening Credits,04_OpeningCredits_Interactive,5.48,0,0
7.68,04_Opening Credits,04_OpeningCredits_Interactive,5.60,0,0
7.78,04_Opening Credits,04_OpeningCredits_Interactive,5.68,0,0
7.88,04_Opening Credits,04_OpeningCredits_Interactive,5.80,0,0
7.98,04_Opening Credits,04_OpeningCredits_Interactive,5.88,0,0
8.08,04_Opening Credits,04_OpeningCredits_Interactive,6.00,0,0
8.18,04_Opening Credits,04_OpeningCredits_Interactive,6.08,0,0
8.28,04_Opening Credits,04_OpeningCredits_Interactive,6.20,0,0
8.38,04_Opening Credits,04_OpeningCredits_Interactive,6.28,0,0
8.48,04_Opening Credits,04_OpeningCredits_Interactive,6.40,0,0
8.58,04_Opening Credits,04_OpeningCredits_Interactive,6.48,0,0
8.69,04_Opening Credits,04_OpeningCredits_Interactive,6.60,0,0
8.78,04_Opening Credits,04_OpeningCredits_Interactive,6.68,0,0
8.88,04_Opening Credits,04_OpeningCredits_Interactive,6.80,0,0
8.98,04_Opening Credits,04_OpeningCredits_Interactive,6.88,0,0
9.08,04_Opening Credits,04_OpeningCredits_Interactive,7.00,0,0
9.18,04_Opening Credits,04_OpeningCredits_Interactive,7.08,0,0
9.29,04_Opening Credits,04_OpeningCredits_Interactive,7.20,0,0
9.39,04_Opening Credits,04_OpeningCredits_Interactive,7.28,0,0
9.48,04_Opening Credits,04_OpeningCredits_Interactive,7.40,0,0
9.59,04_Opening Credits,04_OpeningCredits_Interactive,7.48,0,0
9.69,04_Opening Credits,04_OpeningCredits_Interactive,7.60,0,0
9.79,04_Opening Credits,04_OpeningCredits_Interactive,7.72,0,0
9.89,04_Opening Credits,04_OpeningCredits_Interactive,7.80,0,0
9.99,04_Opening Credits,04_OpeningCredits_Interactive,7.92,0,0
10.09,04_Opening Credits,04_OpeningCredits_Interactive,8.00,0,0
10.20,04_Opening Credits,04_OpeningCredits_Interactive,8.12,0,0
10.30,04_Opening Credits,04_OpeningCredits_Interactive,8.20,0,0
10.39,04_Opening Credits,04_OpeningCredits_Interactive,8.32,0,0
10.50,04_Opening Credits,04_OpeningCredits_Interactive,8.40,0,0
10.60,04_Opening Credits,04_OpeningCredits_Interactive,8.52,0,0
10.70,04_Opening Credits,04_OpeningCredits_Interactive,8.60,0,0
10.80,04_Opening Credits,04_OpeningCredits_Interactive,8.72,0,0
10.90,04_Opening Credits,04_OpeningCredits_Interactive,8.80,0,0
11.00,04_Opening Credits,04_OpeningCredits_Interactive,8.92,0,0
11.10,04_Opening Credits,04_OpeningCredits_Interactive,9.00,0,0
11.20,04_Opening Credits,04_OpeningCredits_Interactive,9.12,0,0
11.30,04_Opening Credits,04_OpeningCredits_Interactive,9.20,0,0
11.41,04_Opening Credits,04_OpeningCredits_Interactive,9.32,0,0
11.50,04_Opening Credits,04_OpeningCredits_Interactive,9.40,0,0
11.61,04_Opening Credits,04_OpeningCredits_Interactive,9.52,0,0
11.71,04_Opening Credits,04_OpeningCredits_Interactive,9.64,0,0
11.81,04_Opening Credits,04_OpeningCredits_Interactive,9.72,0,0
11.91,04_Opening Credits,04_OpeningCredits_Interactive,9.84,0,0
12.01,04_Opening Credits,04_OpeningCredits_Interactive,9.92,0,0
12.11,04_Opening Credits,04_OpeningCredits_Interactive,10.04,0,0
12.21,04_Opening Credits,04_OpeningCredits_Interactive,10.12,0,0
12.31,04_Opening Credits,04_OpeningCredits_Interactive,10.24,0,0
12.41,04_Opening Credits,04_OpeningCredits_Interactive,10.32,0,0
12.52,04_Opening Credits,04_OpeningCredits_Interactive,10.44,0,0
12.61,04_Opening Credits,04_OpeningCredits_Interactive,10.52,0,0
12.71,04_Opening Credits,04_OpeningCredits_Interactive,10.64,0,0
12.82,04_Opening Credits,04_OpeningCredits_Interactive,10.72,0,0
12.92,04_Opening Credits,04_OpeningCredits_Interactive,10.84,0,0
13.02,04_Opening Credits,04_OpeningCredits_Interactive,10.92,0,0
13.13,04_Opening Credits,04_OpeningCredits_Interactive,11.04,0,0
13.23,04_Opening Credits,04_OpeningCredits_Interactive,11.12,0,0
13.33,04_Opening Credits,04_OpeningCredits_Interactive,11.24,0,0
13.43,04_Opening Credits,04_OpeningCredits_Interactive,11.36,0,0
13.53,04_Opening Credits,04_OpeningCredits_Interactive,11.44,0,0
13.63,04_Opening Credits,04_OpeningCredits_Interactive,11.56,0,0
13.73,04_Opening Credits,04_OpeningCredits_Interactive,11.64,0,0
13.83,04_Opening Credits,04_OpeningCredits_Interactive,11.76,0,0
13.93,04_Opening Credits,04_OpeningCredits_Interactive,11.84,0,0
14.03,04_Opening Credits,04_OpeningCredits_Interactive,11.96,0,0
14.14,04_Opening Credits,04_OpeningCredits_Interactive,12.04,0,0
14.23,04_Opening Credits,04_OpeningCredits_Interactive,12.16,0,0
14.34,04_Opening Credits,04_OpeningCredits_Interactive,12.24,0,0
14.44,04_Opening Credits,04_OpeningCredits_Interactive,12.36,0,0
14.54,04_Opening Credits,04_OpeningCredits_Interactive,12.44,0,0
14.64,04_Opening Credits,04_OpeningCredits_Interactive,12.56,0,0
14.74,04_Opening Credits,04_OpeningCredits_Interactive,12.64,0,0
14.84,04_Opening Credits,04_OpeningCredits_Interactive,12.76,0,0
14.94,04_Opening Credits,04_OpeningCredits_Interactive,12.84,0,0
15.04,04_Opening Credits,04_OpeningCredits_Interactive,12.96,0,0
15.14,04_Opening Credits,04_OpeningCredits_Interactive,13.04,0,0
15.24,04_Opening Credits,04_OpeningCredits_Interactive,13.16,0,0
15.34,04_Opening Credits,04_OpeningCredits_Interactive,13.24,0,0
15.44,04_Opening Credits,04_OpeningCredits_Interactive,13.36,0,0
15.55,04_Opening Credits,04_OpeningCredits_Interactive,13.44,0,0
15.64,04_Opening Credits,04_OpeningCredits_Interactive,13.56,0,0
15.74,04_Opening Credits,04_OpeningCredits_Interactive,13.64,0,0
15.84,04_Opening Credits,04_OpeningCredits_Interactive,13.76,0,0
15.95,04_Opening Credits,04_OpeningCredits_Interactive,13.84,0,0
16.04,04_Opening Credits,04_OpeningCredits_Interactive,13.96,0,0
16.14,04_Opening Credits,04_OpeningCredits_Interactive,14.04,0,0
16.25,04_Opening Credits,04_OpeningCredits_Interactive,14.16,0,0
16.35,04_Opening Credits,04_OpeningCredits_Interactive,14.28,0,0
16.45,04_Opening Credits,04_OpeningCredits_Interactive,14.36,0,0
16.55,04_Opening Credits,04_OpeningCredits_Interactive,14.48,0,0
16.65,04_Opening Credits,04_OpeningCredits_Interactive,14.56,0,0
16.75,04_Opening Credits,04_OpeningCredits_Interactive,14.68,0,0
16.85,04_Opening Credits,04_OpeningCredits_Interactive,14.76,0,0
16.95,04_Opening Credits,04_OpeningCredits_Interactive,14.88,0,0
17.05,04_Opening Credits,04_OpeningCredits_Interactive,14.96,0,0
17.15,04_Opening Credits,04_OpeningCredits_Interactive,15.08,0,0
17.25,04_Opening Credits,04_OpeningCredits_Interactive,15.16,0,0
17.36,04_Opening Credits,04_OpeningCredits_Interactive,15.28,0,0
17.46,04_Opening Credits,04_OpeningCredits_Interactive,15.36,0,0
17.56,04_Opening Credits,04_OpeningCredits_Interactive,15.48,0,0
