EMOTIVE VR DATA RECORDING
Date (year-month-day): 2023-10-22
Playback start time: 17:42
Session ID: 


Time from playback start (s),Sequence name,Video clip name,Video time (s),Valence,Arousal
0.06,00_StartPlayback,(NO VIDEO),0.00,0.4272727,0.2181818
0.16,00_StartPlayback,(NO VIDEO),0.00,0.4181818,0.2181818
0.27,00_StartPlayback,(NO VIDEO),0.00,0.4181818,0.2181818
0.36,00_StartPlayback,(NO VIDEO),0.00,0.4181818,0.2181818
0.46,00_StartPlayback,(NO VIDEO),0.00,0.4090909,0.2181818
0.57,00_StartPlayback,(NO VIDEO),0.00,0.4090909,0.2181818
0.67,00_StartPlayback,(NO VIDEO),0.00,0.4,0.2181818
0.77,00_StartPlayback,(NO VIDEO),0.00,0.4,0.2181818
0.87,00_StartPlayback,(NO VIDEO),0.00,0.4,0.2181818
0.97,00_StartPlayback,(NO VIDEO),0.00,0.4,0.2181818
1.07,00_StartPlayback,(NO VIDEO),0.00,0.4,0.2181818
1.17,00_StartPlayback,(NO VIDEO),0.00,0.4,0.2181818
1.27,00_StartPlayback,(NO VIDEO),0.00,0.4,0.2181818
1.37,00_StartPlayback,(NO VIDEO),0.00,0.4,0.2272727
1.47,00_StartPlayback,(NO VIDEO),0.00,0.4,0.2272727
1.57,00_StartPlayback,(NO VIDEO),0.00,0.4,0.2272727
1.67,00_StartPlayback,(NO VIDEO),0.00,0.4,0.2272727
1.77,00_StartPlayback,(NO VIDEO),0.00,0.4,0.2272727
1.87,00_StartPlayback,(NO VIDEO),0.00,0.4,0.2272727
1.97,00_StartPlayback,(NO VIDEO),0.00,0.3909091,0.2272727
2.08,04_Opening Credits,04_OpeningCredits_Interactive,0.00,0.3909091,0.2272727
2.18,04_Opening Credits,04_OpeningCredits_Interactive,0.12,0.3909091,0.2272727
2.28,04_Opening Credits,04_OpeningCredits_Interactive,0.20,0.3818182,0.2272727
2.38,04_Opening Credits,04_OpeningCredits_Interactive,0.32,0.3818182,0.2272727
2.48,04_Opening Credits,04_OpeningCredits_Interactive,0.40,0.3818182,0.2272727
2.59,04_Opening Credits,04_OpeningCredits_Interactive,0.52,0.3727273,0.2272727
2.68,04_Opening Credits,04_OpeningCredits_Interactive,0.60,0.3727273,0.2272727
2.79,04_Opening Credits,04_OpeningCredits_Interactive,0.72,0.3727273,0.2272727
2.89,04_Opening Credits,04_OpeningCredits_Interactive,0.80,0.3727273,0.2272727
2.99,04_Opening Credits,04_OpeningCredits_Interactive,0.92,0.3636364,0.2272727
3.09,04_Opening Credits,04_OpeningCredits_Interactive,1.00,0.3636364,0.2272727
3.19,04_Opening Credits,04_OpeningCredits_Interactive,1.12,0.3636364,0.2272727
3.29,04_Opening Credits,04_OpeningCredits_Interactive,1.20,0.3636364,0.2272727
3.39,04_Opening Credits,04_OpeningCredits_Interactive,1.32,0.3545454,0.2272727
3.49,04_Opening Credits,04_OpeningCredits_Interactive,1.40,0.3545454,0.2181818
3.59,04_Opening Credits,04_OpeningCredits_Interactive,1.52,0.3545454,0.2181818
3.70,04_Opening Credits,04_OpeningCredits_Interactive,1.60,0.3545454,0.2181818
3.80,04_Opening Credits,04_OpeningCredits_Interactive,1.72,0.3545454,0.2181818
3.89,04_Opening Credits,04_OpeningCredits_Interactive,1.80,0.3545454,0.2272727
4.00,04_Opening Credits,04_OpeningCredits_Interactive,1.92,0.3636364,0.2272727
4.10,04_Opening Credits,04_OpeningCredits_Interactive,2.00,0.3636364,0.2272727
4.20,04_Opening Credits,04_OpeningCredits_Interactive,2.12,0.3636364,0.2272727
4.30,04_Opening Credits,04_OpeningCredits_Interactive,2.20,0.3727273,0.2363636
4.40,04_Opening Credits,04_OpeningCredits_Interactive,2.32,0.3727273,0.2363636
4.50,04_Opening Credits,04_OpeningCredits_Interactive,2.44,0.3818182,0.2363636
4.60,04_Opening Credits,04_OpeningCredits_Interactive,2.52,0.3818182,0.2363636
4.70,04_Opening Credits,04_OpeningCredits_Interactive,2.64,0.3818182,0.2454545
4.80,04_Opening Credits,04_OpeningCredits_Interactive,2.72,0.4090909,0.2909091
4.90,04_Opening Credits,04_OpeningCredits_Interactive,2.84,0.4454545,0.3545454
5.00,04_Opening Credits,04_OpeningCredits_Interactive,2.92,0.4818182,0.4272727
5.10,04_Opening Credits,04_OpeningCredits_Interactive,3.04,0.5181818,0.4909091
5.20,04_Opening Credits,04_OpeningCredits_Interactive,3.12,0.5545455,0.5545455
5.30,04_Opening Credits,04_OpeningCredits_Interactive,3.24,0.5909091,0.6181818
5.41,04_Opening Credits,04_OpeningCredits_Interactive,3.32,0.6181818,0.6909091
5.50,04_Opening Credits,04_OpeningCredits_Interactive,3.44,0.6545454,0.7545455
5.61,04_Opening Credits,04_OpeningCredits_Interactive,3.52,0.6909091,0.8181818
5.71,04_Opening Credits,04_OpeningCredits_Interactive,3.64,0.7272727,0.8818182
5.81,04_Opening Credits,04_OpeningCredits_Interactive,3.72,0.7272727,0.8909091
5.91,04_Opening Credits,04_OpeningCredits_Interactive,3.84,0.6909091,0.8181818
6.01,04_Opening Credits,04_OpeningCredits_Interactive,3.92,0.6454545,0.7545455
6.11,04_Opening Credits,04_OpeningCredits_Interactive,4.04,0.6090909,0.6818182
6.21,04_Opening Credits,04_OpeningCredits_Interactive,4.12,0.5636364,0.6090909
6.31,04_Opening Credits,04_OpeningCredits_Interactive,4.24,0.5272727,0.5454546
6.41,04_Opening Credits,04_OpeningCredits_Interactive,4.32,0.4909091,0.4727273
6.52,04_Opening Credits,04_OpeningCredits_Interactive,4.44,0.4454545,0.4090909
6.61,04_Opening Credits,04_OpeningCredits_Interactive,4.52,0.4090909,0.3363636
6.71,04_Opening Credits,04_OpeningCredits_Interactive,4.64,0.3636364,0.2636364
6.82,04_Opening Credits,04_OpeningCredits_Interactive,4.72,0.3636364,0.2636364
6.92,04_Opening Credits,04_OpeningCredits_Interactive,4.84,0.3636364,0.2636364
7.02,04_Opening Credits,04_OpeningCredits_Interactive,4.96,0.3636364,0.2545455
7.12,04_Opening Credits,04_OpeningCredits_Interactive,5.04,0.3636364,0.2545455
7.22,04_Opening Credits,04_OpeningCredits_Interactive,5.16,0.3545454,0.2545455
7.32,04_Opening Credits,04_OpeningCredits_Interactive,5.24,0.3545454,0.2454545
