EMOTIVE VR DATA RECORDING
Date (year-month-day): 2023-10-21
Playback start time: 22:29
Session ID: 


Time from playback start (s),Sequence name,Video clip name,Video time (s),Valence,Arousal
0.08,00_StartPlayback,(NO VIDEO),0.00,0.2909091,0.1909091
0.18,00_StartPlayback,(NO VIDEO),0.00,0.2909091,0.1909091
0.27,00_StartPlayback,(NO VIDEO),0.00,0.2909091,0.1909091
0.38,00_StartPlayback,(NO VIDEO),0.00,0.2909091,0.1909091
0.48,00_StartPlayback,(NO VIDEO),0.00,0.2909091,0.1909091
0.58,00_StartPlayback,(NO VIDEO),0.00,0.2909091,0.1909091
0.68,00_StartPlayback,(NO VIDEO),0.00,0.2909091,0.1909091
0.78,00_StartPlayback,(NO VIDEO),0.00,0.2909091,0.1909091
0.88,00_StartPlayback,(NO VIDEO),0.00,0.2909091,0.1909091
0.98,00_StartPlayback,(NO VIDEO),0.00,0.2909091,0.1909091
1.08,00_StartPlayback,(NO VIDEO),0.00,0.2909091,0.1909091
1.18,00_StartPlayback,(NO VIDEO),0.00,0.2909091,0.1909091
1.28,00_StartPlayback,(NO VIDEO),0.00,0.2909091,0.1909091
1.38,00_StartPlayback,(NO VIDEO),0.00,0.2909091,0.1909091
1.48,00_StartPlayback,(NO VIDEO),0.00,0.2909091,0.2
1.59,00_StartPlayback,(NO VIDEO),0.00,0.2909091,0.2
1.69,00_StartPlayback,(NO VIDEO),0.00,0.2909091,0.2
1.79,00_StartPlayback,(NO VIDEO),0.00,0.2909091,0.2
1.89,00_StartPlayback,(NO VIDEO),0.00,0.2818182,0.2
1.98,00_StartPlayback,(NO VIDEO),0.00,0.2818182,0.2
2.09,04_Opening Credits,04_OpeningCredits_Interactive,0.00,0.2909091,0.2
2.19,04_Opening Credits,04_OpeningCredits_Interactive,0.12,0.2909091,0.2
2.29,04_Opening Credits,04_OpeningCredits_Interactive,0.24,0.2909091,0.2
2.39,04_Opening Credits,04_OpeningCredits_Interactive,0.32,0.2909091,0.2
2.49,04_Opening Credits,04_OpeningCredits_Interactive,0.44,0.2909091,0.2
2.59,04_Opening Credits,04_OpeningCredits_Interactive,0.52,0.2909091,0.2090909
2.70,04_Opening Credits,04_OpeningCredits_Interactive,0.64,0.2909091,0.2090909
2.80,04_Opening Credits,04_OpeningCredits_Interactive,0.72,0.2909091,0.2090909
2.90,04_Opening Credits,04_OpeningCredits_Interactive,0.84,0.2909091,0.2090909
3.00,04_Opening Credits,04_OpeningCredits_Interactive,0.92,0.2909091,0.2090909
3.10,04_Opening Credits,04_OpeningCredits_Interactive,1.04,0.2909091,0.2090909
3.20,04_Opening Credits,04_OpeningCredits_Interactive,1.12,0.2909091,0.2090909
3.30,04_Opening Credits,04_OpeningCredits_Interactive,1.24,0.2909091,0.2090909
3.40,04_Opening Credits,04_OpeningCredits_Interactive,1.32,0.2909091,0.2
3.50,04_Opening Credits,04_OpeningCredits_Interactive,1.44,0.2909091,0.2
3.60,04_Opening Credits,04_OpeningCredits_Interactive,1.52,0.2909091,0.2
3.70,04_Opening Credits,04_OpeningCredits_Interactive,1.64,0.2909091,0.2
3.80,04_Opening Credits,04_OpeningCredits_Interactive,1.72,0.2909091,0.2
3.91,04_Opening Credits,04_OpeningCredits_Interactive,1.84,0.2909091,0.2
4.01,04_Opening Credits,04_OpeningCredits_Interactive,1.92,0.2909091,0.2
4.10,04_Opening Credits,04_OpeningCredits_Interactive,2.04,0.2909091,0.2
4.20,04_Opening Credits,04_OpeningCredits_Interactive,2.12,0.2909091,0.2
4.30,04_Opening Credits,04_OpeningCredits_Interactive,2.24,0.2909091,0.2
4.41,04_Opening Credits,04_OpeningCredits_Interactive,2.36,0.2909091,0.2
4.51,04_Opening Credits,04_OpeningCredits_Interactive,2.44,0.2909091,0.2
4.61,04_Opening Credits,04_OpeningCredits_Interactive,2.56,0.2909091,0.2090909
4.71,04_Opening Credits,04_OpeningCredits_Interactive,2.64,0.2909091,0.2090909
4.81,04_Opening Credits,04_OpeningCredits_Interactive,2.76,0.2909091,0.2090909
4.91,04_Opening Credits,04_OpeningCredits_Interactive,2.84,0.2909091,0.2090909
5.01,04_Opening Credits,04_OpeningCredits_Interactive,2.96,0.2909091,0.2090909
5.11,04_Opening Credits,04_OpeningCredits_Interactive,3.04,0.2909091,0.2090909
5.21,04_Opening Credits,04_OpeningCredits_Interactive,3.16,0.2909091,0.2
5.31,04_Opening Credits,04_OpeningCredits_Interactive,3.24,0.2909091,0.2
5.41,04_Opening Credits,04_OpeningCredits_Interactive,3.36,0.2909091,0.2
5.52,04_Opening Credits,04_OpeningCredits_Interactive,3.44,0.2909091,0.2
5.62,04_Opening Credits,04_OpeningCredits_Interactive,3.56,0.2909091,0.2
5.72,04_Opening Credits,04_OpeningCredits_Interactive,3.64,0.2909091,0.2
5.81,04_Opening Credits,04_OpeningCredits_Interactive,3.76,0.2909091,0.2
5.91,04_Opening Credits,04_OpeningCredits_Interactive,3.84,0.2909091,0.2
6.02,04_Opening Credits,04_OpeningCredits_Interactive,3.96,0.2909091,0.2
6.12,04_Opening Credits,04_OpeningCredits_Interactive,4.04,0.2909091,0.2
6.22,04_Opening Credits,04_OpeningCredits_Interactive,4.16,0.2909091,0.2
