EMOTIVE VR DATA RECORDING
Date (year-month-day): 2024-03-19
Playback start time: 19:57
Session ID: 


Time from playback start (s),Sequence name,Video clip name,Video time (s),Valence,Arousal
0.02,00_StartPlayback,(NO VIDEO),0.00,0.582002,0.567512
0.15,00_StartPlayback,(NO VIDEO),0.00,0.582002,0.567512
0.25,00_StartPlayback,(NO VIDEO),0.00,0.5830172,0.5655003
0.35,00_StartPlayback,(NO VIDEO),0.00,0.5830172,0.5655003
0.46,00_StartPlayback,(NO VIDEO),0.00,0.5830172,0.5655003
0.57,00_StartPlayback,(NO VIDEO),0.00,0.5830172,0.5655003
0.68,00_StartPlayback,(NO VIDEO),0.00,0.5830172,0.5655003
0.80,00_StartPlayback,(NO VIDEO),0.00,0.5830172,0.5655003
0.91,00_StartPlayback,(NO VIDEO),0.00,0.5830172,0.5655003
1.02,00_StartPlayback,(NO VIDEO),0.00,0.5830172,0.5655003
1.12,00_StartPlayback,(NO VIDEO),0.00,0.5830172,0.5655003
1.23,00_StartPlayback,(NO VIDEO),0.00,0.5880296,0.5785555
1.34,00_StartPlayback,(NO VIDEO),0.00,0.5880296,0.5785555
1.45,00_StartPlayback,(NO VIDEO),0.00,0.5880296,0.5785555
1.56,00_StartPlayback,(NO VIDEO),0.00,0.5880296,0.5785555
1.67,00_StartPlayback,(NO VIDEO),0.00,0.5880296,0.5785555
1.78,00_StartPlayback,(NO VIDEO),0.00,0.5880296,0.5785555
1.88,00_StartPlayback,(NO VIDEO),0.00,0.5880296,0.5785555
1.99,00_StartPlayback,(NO VIDEO),0.00,0.5880296,0.5785555
2.10,04_Opening Credits,04_OpeningCredits_Interactive,0.00,0.5880296,0.5785555
2.21,04_Opening Credits,04_OpeningCredits_Interactive,0.00,0.5872208,0.5789853
2.32,04_Opening Credits,04_OpeningCredits_Interactive,0.16,0.5872208,0.5789853
2.43,04_Opening Credits,04_OpeningCredits_Interactive,0.24,0.5872208,0.5789853
2.53,04_Opening Credits,04_OpeningCredits_Interactive,0.36,0.5872208,0.5789853
2.64,04_Opening Credits,04_OpeningCredits_Interactive,0.48,0.5872208,0.5789853
2.76,04_Opening Credits,04_OpeningCredits_Interactive,0.56,0.5872208,0.5789853
2.86,04_Opening Credits,04_OpeningCredits_Interactive,0.68,0.5872208,0.5789853
2.98,04_Opening Credits,04_OpeningCredits_Interactive,0.80,0.5872208,0.5789853
3.09,04_Opening Credits,04_OpeningCredits_Interactive,0.92,0.5872208,0.5789853
3.20,04_Opening Credits,04_OpeningCredits_Interactive,1.00,0.5851046,0.5742372
3.30,04_Opening Credits,04_OpeningCredits_Interactive,1.12,0.5851046,0.5742372
3.41,04_Opening Credits,04_OpeningCredits_Interactive,1.24,0.5851046,0.5742372
3.52,04_Opening Credits,04_OpeningCredits_Interactive,1.32,0.5851046,0.5742372
3.63,04_Opening Credits,04_OpeningCredits_Interactive,1.44,0.5851046,0.5742372
3.74,04_Opening Credits,04_OpeningCredits_Interactive,1.56,0.5851046,0.5742372
3.85,04_Opening Credits,04_OpeningCredits_Interactive,1.68,0.5851046,0.5742372
3.96,04_Opening Credits,04_OpeningCredits_Interactive,1.80,0.5851046,0.5742372
4.06,04_Opening Credits,04_OpeningCredits_Interactive,1.88,0.5851046,0.5742372
4.17,04_Opening Credits,04_OpeningCredits_Interactive,2.00,0.5851046,0.5742372
4.28,04_Opening Credits,04_OpeningCredits_Interactive,2.12,0.5847,0.5717381
4.39,04_Opening Credits,04_OpeningCredits_Interactive,2.20,0.5847,0.5717381
4.50,04_Opening Credits,04_OpeningCredits_Interactive,2.32,0.5847,0.5717381
4.62,04_Opening Credits,04_OpeningCredits_Interactive,2.44,0.5847,0.5717381
4.73,04_Opening Credits,04_OpeningCredits_Interactive,2.56,0.5847,0.5717381
4.82,04_Opening Credits,04_OpeningCredits_Interactive,2.64,0.5847,0.5717381
