EMOTIVE VR DATA RECORDING
Date (year-month-day): 2022-07-01
Playback start time: 17:29
Session ID: 


Time from playback start (s),Sequence name,Video clip name,Video time (s),GSR,Arousal peak power
0.10,00_StartPlayback,(NO VIDEO),0.00,0,0
0.21,00_StartPlayback,(NO VIDEO),0.00,0,0
0.32,00_StartPlayback,(NO VIDEO),0.00,0,0
0.43,00_StartPlayback,(NO VIDEO),0.00,0,0
0.54,00_StartPlayback,(NO VIDEO),0.00,0,0
0.66,00_StartPlayback,(NO VIDEO),0.00,0,0
0.77,00_StartPlayback,(NO VIDEO),0.00,0,0
0.88,00_StartPlayback,(NO VIDEO),0.00,0,0
0.99,00_StartPlayback,(NO VIDEO),0.00,0,0
1.10,00_StartPlayback,(NO VIDEO),0.00,0,0
1.21,00_StartPlayback,(NO VIDEO),0.00,0,0
1.32,00_StartPlayback,(NO VIDEO),0.00,0,0
1.43,00_StartPlayback,(NO VIDEO),0.00,0,0
1.55,00_StartPlayback,(NO VIDEO),0.00,0,0
1.66,00_StartPlayback,(NO VIDEO),0.00,0,0
1.77,00_StartPlayback,(NO VIDEO),0.00,0,0
1.88,00_StartPlayback,(NO VIDEO),0.00,0,0
1.99,00_StartPlayback,(NO VIDEO),0.00,0,0
2.11,07_Karl_B,07_Karl_B,0.00,0,0
2.21,07_Karl_B,07_Karl_B,0.08,0,0
2.33,07_Karl_B,07_Karl_B,0.16,0,0
2.44,07_Karl_B,07_Karl_B,0.28,0,0
2.55,07_Karl_B,07_Karl_B,0.40,0,0
2.66,07_Karl_B,07_Karl_B,0.52,0,0
2.77,07_Karl_B,07_Karl_B,0.60,0,0
2.88,07_Karl_B,07_Karl_B,0.72,0,0
3.00,07_Karl_B,07_Karl_B,0.84,0,0
3.11,07_Karl_B,07_Karl_B,0.96,0,0
3.22,07_Karl_B,07_Karl_B,1.08,0,0
3.33,07_Karl_B,07_Karl_B,1.16,0,0
3.44,07_Karl_B,07_Karl_B,1.28,0,0
3.55,07_Karl_B,07_Karl_B,1.40,0,0
3.66,07_Karl_B,07_Karl_B,1.52,0,0
3.77,07_Karl_B,07_Karl_B,1.64,0,0
3.89,07_Karl_B,07_Karl_B,1.72,0,0
4.00,07_Karl_B,07_Karl_B,1.84,0,0
4.11,07_Karl_B,07_Karl_B,1.96,0,0
4.22,07_Karl_B,07_Karl_B,2.08,0,0
4.33,07_Karl_B,07_Karl_B,2.16,0,0
4.44,07_Karl_B,07_Karl_B,2.28,0,0
4.55,07_Karl_B,07_Karl_B,2.40,0,0
4.66,07_Karl_B,07_Karl_B,2.52,0,0
4.78,07_Karl_B,07_Karl_B,2.64,0,0
4.89,07_Karl_B,07_Karl_B,2.72,0,0
5.00,07_Karl_B,07_Karl_B,2.84,0,0
5.11,07_Karl_B,07_Karl_B,2.96,0,0
5.22,07_Karl_B,07_Karl_B,3.08,0,0
5.33,07_Karl_B,07_Karl_B,3.16,0,0
5.45,07_Karl_B,07_Karl_B,3.28,0,0
5.56,07_Karl_B,07_Karl_B,3.40,0,0
5.67,07_Karl_B,07_Karl_B,3.52,0,0
5.78,07_Karl_B,07_Karl_B,3.64,0,0
5.89,07_Karl_B,07_Karl_B,3.72,0,0
6.00,07_Karl_B,07_Karl_B,3.84,0,0
6.11,07_Karl_B,07_Karl_B,3.96,0,0
6.23,07_Karl_B,07_Karl_B,4.08,0,0
6.34,07_Karl_B,07_Karl_B,4.20,0,0
6.45,07_Karl_B,07_Karl_B,4.28,0,0
6.56,07_Karl_B,07_Karl_B,4.40,0,0
6.67,07_Karl_B,07_Karl_B,4.52,0,0
6.78,07_Karl_B,07_Karl_B,4.64,0,0
6.89,07_Karl_B,07_Karl_B,4.72,0,0
7.00,07_Karl_B,07_Karl_B,4.84,0,0
7.12,07_Karl_B,07_Karl_B,4.96,0,0
7.23,07_Karl_B,07_Karl_B,5.08,0,0
7.34,07_Karl_B,07_Karl_B,5.20,0,0
7.45,07_Karl_B,07_Karl_B,5.28,0,0
7.56,07_Karl_B,07_Karl_B,5.40,0,0
7.68,07_Karl_B,07_Karl_B,5.52,0,0
7.79,07_Karl_B,07_Karl_B,5.64,0,0
7.90,07_Karl_B,07_Karl_B,5.76,0,0
8.01,07_Karl_B,07_Karl_B,5.84,0,0
8.12,07_Karl_B,07_Karl_B,5.96,0,0
8.23,07_Karl_B,07_Karl_B,6.08,0,0
8.34,07_Karl_B,07_Karl_B,6.20,0,0
8.45,07_Karl_B,07_Karl_B,6.28,0,0
8.56,07_Karl_B,07_Karl_B,6.40,0,0
8.68,07_Karl_B,07_Karl_B,6.52,0,0
8.79,07_Karl_B,07_Karl_B,6.64,0,0
8.90,07_Karl_B,07_Karl_B,6.76,0,0
9.00,07_Karl_B,07_Karl_B,6.84,0,0
9.11,07_Karl_B,07_Karl_B,6.96,0,0
9.22,07_Karl_B,07_Karl_B,7.08,0,0
9.33,07_Karl_B,07_Karl_B,7.16,0,0
9.44,07_Karl_B,07_Karl_B,7.28,0,0
9.55,07_Karl_B,07_Karl_B,7.40,0,0
9.66,07_Karl_B,07_Karl_B,7.52,0,0
9.78,07_Karl_B,07_Karl_B,7.64,0,0
9.89,07_Karl_B,07_Karl_B,7.72,0,0
10.00,07_Karl_B,07_Karl_B,7.84,0,0
10.11,07_Karl_B,07_Karl_B,7.96,0,0
10.22,07_Karl_B,07_Karl_B,8.08,0,0
10.33,07_Karl_B,07_Karl_B,8.16,0,0
10.45,07_Karl_B,07_Karl_B,8.28,0,0
10.55,07_Karl_B,07_Karl_B,8.40,0,0
10.67,07_Karl_B,07_Karl_B,8.52,0,0
10.78,07_Karl_B,07_Karl_B,8.64,0,0
10.89,07_Karl_B,07_Karl_B,8.72,0,0
11.00,07_Karl_B,07_Karl_B,8.84,0,0
11.11,07_Karl_B,07_Karl_B,8.96,0,0
11.22,07_Karl_B,07_Karl_B,9.08,0,0
11.34,07_Karl_B,07_Karl_B,9.20,0,0
11.45,07_Karl_B,07_Karl_B,9.28,0,0
11.56,07_Karl_B,07_Karl_B,9.40,0,0
11.67,07_Karl_B,07_Karl_B,9.52,0,0
11.78,07_Karl_B,07_Karl_B,9.64,0,0
11.89,07_Karl_B,07_Karl_B,9.72,0,0
12.00,07_Karl_B,07_Karl_B,9.84,0,0
12.11,07_Karl_B,07_Karl_B,9.96,0,0
12.23,07_Karl_B,07_Karl_B,10.08,0,0
12.34,07_Karl_B,07_Karl_B,10.20,0,0
12.45,07_Karl_B,07_Karl_B,10.28,0,0
12.55,07_Karl_B,07_Karl_B,10.40,0,0
12.66,07_Karl_B,07_Karl_B,10.52,0,0
12.77,07_Karl_B,07_Karl_B,10.60,0,0
12.88,07_Karl_B,07_Karl_B,10.72,0,0
12.99,07_Karl_B,07_Karl_B,10.84,0,0
13.10,07_Karl_B,07_Karl_B,10.96,0,0
13.21,07_Karl_B,07_Karl_B,11.04,0,0
13.32,07_Karl_B,07_Karl_B,11.16,0,0
13.44,07_Karl_B,07_Karl_B,11.28,0,0
13.55,07_Karl_B,07_Karl_B,11.40,0,0
13.66,07_Karl_B,07_Karl_B,11.52,0,0
