EMOTIVE VR DATA RECORDING
Date (year-month-day): 2024-03-22
Playback start time: 10:14
Session ID: 


Time from playback start (s),Sequence name,Video clip name,Video time (s),Valence,Arousal
0.02,00_StartPlayback,(NO VIDEO),0.00,0,0
0.13,00_StartPlayback,(NO VIDEO),0.00,0,0
0.23,00_StartPlayback,(NO VIDEO),0.00,0,0
0.32,00_StartPlayback,(NO VIDEO),0.00,0,0
0.43,00_StartPlayback,(NO VIDEO),0.00,0,0
0.53,00_StartPlayback,(NO VIDEO),0.00,0,0
0.63,00_StartPlayback,(NO VIDEO),0.00,0,0
0.73,00_StartPlayback,(NO VIDEO),0.00,0,0
0.83,00_StartPlayback,(NO VIDEO),0.00,0,0
0.93,00_StartPlayback,(NO VIDEO),0.00,0,0
1.03,00_StartPlayback,(NO VIDEO),0.00,0,0
1.13,00_StartPlayback,(NO VIDEO),0.00,0,0
1.23,00_StartPlayback,(NO VIDEO),0.00,0,0
1.33,00_StartPlayback,(NO VIDEO),0.00,0,0
1.43,00_StartPlayback,(NO VIDEO),0.00,0,0
1.53,00_StartPlayback,(NO VIDEO),0.00,0,0
1.63,00_StartPlayback,(NO VIDEO),0.00,0,0
1.73,00_StartPlayback,(NO VIDEO),0.00,0,0
1.83,00_StartPlayback,(NO VIDEO),0.00,0,0
1.93,00_StartPlayback,(NO VIDEO),0.00,0,0
2.04,04_Opening Credits,04_OpeningCredits_Interactive,0.00,0,0
2.14,04_Opening Credits,04_OpeningCredits_Interactive,0.08,0,0
2.24,04_Opening Credits,04_OpeningCredits_Interactive,0.16,0,0
2.34,04_Opening Credits,04_OpeningCredits_Interactive,0.28,0,0
2.45,04_Opening Credits,04_OpeningCredits_Interactive,0.36,0,0
2.54,04_Opening Credits,04_OpeningCredits_Interactive,0.48,0,0
2.65,04_Opening Credits,04_OpeningCredits_Interactive,0.56,0,0
2.75,04_Opening Credits,04_OpeningCredits_Interactive,0.68,0,0
2.85,04_Opening Credits,04_OpeningCredits_Interactive,0.76,0,0
2.95,04_Opening Credits,04_OpeningCredits_Interactive,0.88,0,0
3.05,04_Opening Credits,04_OpeningCredits_Interactive,1.00,0,0
3.15,04_Opening Credits,04_OpeningCredits_Interactive,1.08,0,0
3.25,04_Opening Credits,04_OpeningCredits_Interactive,1.20,0,0
3.35,04_Opening Credits,04_OpeningCredits_Interactive,1.28,0,0
3.45,04_Opening Credits,04_OpeningCredits_Interactive,1.40,0,0
3.55,04_Opening Credits,04_OpeningCredits_Interactive,1.48,0,0
3.65,04_Opening Credits,04_OpeningCredits_Interactive,1.60,0,0
3.75,04_Opening Credits,04_OpeningCredits_Interactive,1.68,0,0
3.86,04_Opening Credits,04_OpeningCredits_Interactive,1.80,0,0
3.96,04_Opening Credits,04_OpeningCredits_Interactive,1.88,0,0
4.06,04_Opening Credits,04_OpeningCredits_Interactive,2.00,0,0
4.16,04_Opening Credits,04_OpeningCredits_Interactive,2.08,0,0
4.26,04_Opening Credits,04_OpeningCredits_Interactive,2.20,0,0
4.36,04_Opening Credits,04_OpeningCredits_Interactive,2.28,0,0
4.46,04_Opening Credits,04_OpeningCredits_Interactive,2.40,0,0
4.56,04_Opening Credits,04_OpeningCredits_Interactive,2.48,0,0
4.68,04_Opening Credits,04_OpeningCredits_Interactive,2.60,0,0
4.76,04_Opening Credits,04_OpeningCredits_Interactive,2.68,0,0
4.86,04_Opening Credits,04_OpeningCredits_Interactive,2.80,0,0
4.96,04_Opening Credits,04_OpeningCredits_Interactive,2.88,0,0
5.06,04_Opening Credits,04_OpeningCredits_Interactive,3.00,0,0
5.16,04_Opening Credits,04_OpeningCredits_Interactive,3.08,0,0
5.27,04_Opening Credits,04_OpeningCredits_Interactive,3.20,0,0
5.36,04_Opening Credits,04_OpeningCredits_Interactive,3.28,0,0
5.46,04_Opening Credits,04_OpeningCredits_Interactive,3.40,0,0
5.57,04_Opening Credits,04_OpeningCredits_Interactive,3.48,0,0
5.67,04_Opening Credits,04_OpeningCredits_Interactive,3.60,0,0
