EMOTIVE VR DATA RECORDING
Date (year-month-day): 2024-02-06
Playback start time: 19:05
Session ID: 


Time from playback start (s),Sequence name,Video clip name,Video time (s),Valence,Arousal
0.02,00_StartPlayback,(NO VIDEO),0.00,0.4090909,0.2272727
0.12,00_StartPlayback,(NO VIDEO),0.00,0.4090909,0.2272727
0.22,00_StartPlayback,(NO VIDEO),0.00,0.4181818,0.2272727
0.32,00_StartPlayback,(NO VIDEO),0.00,0.4181818,0.2272727
0.42,00_StartPlayback,(NO VIDEO),0.00,0.4272727,0.2272727
0.52,00_StartPlayback,(NO VIDEO),0.00,0.4272727,0.2272727
0.62,00_StartPlayback,(NO VIDEO),0.00,0.4363636,0.2272727
0.72,00_StartPlayback,(NO VIDEO),0.00,0.4363636,0.2272727
0.82,00_StartPlayback,(NO VIDEO),0.00,0.4363636,0.2272727
0.92,00_StartPlayback,(NO VIDEO),0.00,0.4454545,0.2363636
1.02,00_StartPlayback,(NO VIDEO),0.00,0.4454545,0.2363636
1.13,00_StartPlayback,(NO VIDEO),0.00,0.4545455,0.2363636
1.22,00_StartPlayback,(NO VIDEO),0.00,0.4545455,0.2363636
1.32,00_StartPlayback,(NO VIDEO),0.00,0.4636364,0.2454545
1.42,00_StartPlayback,(NO VIDEO),0.00,0.4636364,0.2454545
1.52,00_StartPlayback,(NO VIDEO),0.00,0.4545455,0.2454545
1.63,00_StartPlayback,(NO VIDEO),0.00,0.4454545,0.2363636
1.73,00_StartPlayback,(NO VIDEO),0.00,0.4363636,0.2363636
1.83,00_StartPlayback,(NO VIDEO),0.00,0.4272727,0.2363636
1.93,00_StartPlayback,(NO VIDEO),0.00,0.4181818,0.2363636
2.02,04_Opening Credits,04_OpeningCredits_Interactive,0.00,0.4090909,0.2363636
2.13,04_Opening Credits,04_OpeningCredits_Interactive,0.00,0.4090909,0.2363636
2.23,04_Opening Credits,04_OpeningCredits_Interactive,0.08,0.4,0.2363636
2.33,04_Opening Credits,04_OpeningCredits_Interactive,0.16,0.3909091,0.2272727
2.43,04_Opening Credits,04_OpeningCredits_Interactive,0.28,0.3818182,0.2272727
2.53,04_Opening Credits,04_OpeningCredits_Interactive,0.36,0.3818182,0.2272727
2.63,04_Opening Credits,04_OpeningCredits_Interactive,0.48,0.3818182,0.2272727
2.73,04_Opening Credits,04_OpeningCredits_Interactive,0.56,0.3909091,0.2272727
2.84,04_Opening Credits,04_OpeningCredits_Interactive,0.68,0.3909091,0.2272727
2.94,04_Opening Credits,04_OpeningCredits_Interactive,0.76,0.3909091,0.2272727
3.03,04_Opening Credits,04_OpeningCredits_Interactive,0.88,0.3909091,0.2272727
3.13,04_Opening Credits,04_OpeningCredits_Interactive,0.96,0.3909091,0.2272727
3.23,04_Opening Credits,04_OpeningCredits_Interactive,1.08,0.4,0.2272727
3.34,04_Opening Credits,04_OpeningCredits_Interactive,1.16,0.4,0.2272727
3.44,04_Opening Credits,04_OpeningCredits_Interactive,1.28,0.4090909,0.2272727
3.54,04_Opening Credits,04_OpeningCredits_Interactive,1.40,0.4272727,0.2363636
3.64,04_Opening Credits,04_OpeningCredits_Interactive,1.48,0.4454545,0.2363636
3.74,04_Opening Credits,04_OpeningCredits_Interactive,1.60,0.4636364,0.2363636
3.84,04_Opening Credits,04_OpeningCredits_Interactive,1.68,0.4818182,0.2454545
3.95,04_Opening Credits,04_OpeningCredits_Interactive,1.80,0.4909091,0.2454545
4.04,04_Opening Credits,04_OpeningCredits_Interactive,1.88,0.5090909,0.2545455
4.14,04_Opening Credits,04_OpeningCredits_Interactive,2.00,0.5272727,0.2545455
4.24,04_Opening Credits,04_OpeningCredits_Interactive,2.08,0.5454546,0.2545455
4.34,04_Opening Credits,04_OpeningCredits_Interactive,2.20,0.5636364,0.2636364
