EMOTIVE VR DATA RECORDING
Date (year-month-day): 2022-07-01
Playback start time: 17:32
Session ID: 


Time from playback start (s),Sequence name,Video clip name,Video time (s),GSR,Arousal peak power
0.04,00_StartPlayback,(NO VIDEO),0.00,0,0
0.15,00_StartPlayback,(NO VIDEO),0.00,0,0
0.25,00_StartPlayback,(NO VIDEO),0.00,0,0
0.36,00_StartPlayback,(NO VIDEO),0.00,0,0
0.47,00_StartPlayback,(NO VIDEO),0.00,0,0
0.58,00_StartPlayback,(NO VIDEO),0.00,0,0
0.69,00_StartPlayback,(NO VIDEO),0.00,0,0
0.80,00_StartPlayback,(NO VIDEO),0.00,0,0
0.91,00_StartPlayback,(NO VIDEO),0.00,0,0
1.02,00_StartPlayback,(NO VIDEO),0.00,0,0
1.13,00_StartPlayback,(NO VIDEO),0.00,0,0
1.24,00_StartPlayback,(NO VIDEO),0.00,0,0
1.35,00_StartPlayback,(NO VIDEO),0.00,0,0
1.46,00_StartPlayback,(NO VIDEO),0.00,0,0
1.57,00_StartPlayback,(NO VIDEO),0.00,0,0
1.68,00_StartPlayback,(NO VIDEO),0.00,0,0
1.78,00_StartPlayback,(NO VIDEO),0.00,0,0
1.89,00_StartPlayback,(NO VIDEO),0.00,0,0
2.00,00_StartPlayback,(NO VIDEO),0.00,0,0
2.10,07_Karl_B,07_Karl_B,0.00,0,0
2.21,07_Karl_B,07_Karl_B,0.08,0,0
2.32,07_Karl_B,07_Karl_B,0.20,0,0
2.44,07_Karl_B,07_Karl_B,0.32,0,0
2.55,07_Karl_B,07_Karl_B,0.44,0,0
2.66,07_Karl_B,07_Karl_B,0.52,0,0
2.77,07_Karl_B,07_Karl_B,0.64,0,0
2.88,07_Karl_B,07_Karl_B,0.76,0,0
2.99,07_Karl_B,07_Karl_B,0.88,0,0
3.11,07_Karl_B,07_Karl_B,0.96,0,0
3.21,07_Karl_B,07_Karl_B,1.08,0,0
3.31,07_Karl_B,07_Karl_B,1.20,0,0
3.42,07_Karl_B,07_Karl_B,1.32,0,0
3.54,07_Karl_B,07_Karl_B,1.40,0,0
3.63,07_Karl_B,07_Karl_B,1.52,0,0
3.74,07_Karl_B,07_Karl_B,1.64,0,0
3.84,07_Karl_B,07_Karl_B,1.72,0,0
3.94,07_Karl_B,07_Karl_B,1.84,0,0
4.05,07_Karl_B,07_Karl_B,1.92,0,0
4.16,07_Karl_B,07_Karl_B,2.04,0,0
4.27,07_Karl_B,07_Karl_B,2.16,0,0
4.39,07_Karl_B,07_Karl_B,2.28,0,0
4.50,07_Karl_B,07_Karl_B,2.36,0,0
4.61,07_Karl_B,07_Karl_B,2.48,0,0
4.71,07_Karl_B,07_Karl_B,2.60,0,0
4.82,07_Karl_B,07_Karl_B,2.68,0,0
4.93,07_Karl_B,07_Karl_B,2.80,0,0
5.04,07_Karl_B,07_Karl_B,2.92,0,0
5.15,07_Karl_B,07_Karl_B,3.04,0,0
5.26,07_Karl_B,07_Karl_B,3.12,0,0
5.38,07_Karl_B,07_Karl_B,3.24,0,0
5.47,07_Karl_B,07_Karl_B,3.36,0,0
5.59,07_Karl_B,07_Karl_B,3.48,0,0
5.70,07_Karl_B,07_Karl_B,3.56,0,0
5.80,07_Karl_B,07_Karl_B,3.68,0,0
5.92,07_Karl_B,07_Karl_B,3.80,0,0
6.03,07_Karl_B,07_Karl_B,3.92,0,0
6.14,07_Karl_B,07_Karl_B,4.00,0,0
6.24,07_Karl_B,07_Karl_B,4.12,0,0
6.35,07_Karl_B,07_Karl_B,4.24,0,0
6.46,07_Karl_B,07_Karl_B,4.32,0,0
6.57,07_Karl_B,07_Karl_B,4.44,0,0
6.68,07_Karl_B,07_Karl_B,4.56,0,0
6.79,07_Karl_B,07_Karl_B,4.68,0,0
6.91,07_Karl_B,07_Karl_B,4.80,0,0
7.00,07_Karl_B,07_Karl_B,4.88,0,0
7.11,07_Karl_B,07_Karl_B,5.00,0,0
7.23,07_Karl_B,07_Karl_B,5.12,0,0
7.34,07_Karl_B,07_Karl_B,5.20,0,0
7.45,07_Karl_B,07_Karl_B,5.32,0,0
7.56,07_Karl_B,07_Karl_B,5.44,0,0
7.67,07_Karl_B,07_Karl_B,5.56,0,0
7.77,07_Karl_B,07_Karl_B,5.64,0,0
7.88,07_Karl_B,07_Karl_B,5.76,0,0
7.99,07_Karl_B,07_Karl_B,5.88,0,0
8.10,07_Karl_B,07_Karl_B,5.96,0,0
8.21,07_Karl_B,07_Karl_B,6.08,0,0
8.32,07_Karl_B,07_Karl_B,6.20,0,0
8.44,07_Karl_B,07_Karl_B,6.32,0,0
8.54,07_Karl_B,07_Karl_B,6.40,0,0
8.64,07_Karl_B,07_Karl_B,6.52,0,0
8.76,07_Karl_B,07_Karl_B,6.64,0,0
8.87,07_Karl_B,07_Karl_B,6.76,0,0
8.98,07_Karl_B,07_Karl_B,6.84,0,0
9.09,07_Karl_B,07_Karl_B,6.96,0,0
9.19,07_Karl_B,07_Karl_B,7.08,0,0
9.30,07_Karl_B,07_Karl_B,7.20,0,0
9.41,07_Karl_B,07_Karl_B,7.28,0,0
9.51,07_Karl_B,07_Karl_B,7.40,0,0
9.62,07_Karl_B,07_Karl_B,7.52,0,0
9.73,07_Karl_B,07_Karl_B,7.60,0,0
9.84,07_Karl_B,07_Karl_B,7.72,0,0
9.95,07_Karl_B,07_Karl_B,7.84,0,0
10.07,07_Karl_B,07_Karl_B,7.96,0,0
10.18,07_Karl_B,07_Karl_B,8.04,0,0
10.29,07_Karl_B,07_Karl_B,8.16,0,0
10.39,07_Karl_B,07_Karl_B,8.28,0,0
10.50,07_Karl_B,07_Karl_B,8.36,0,0
10.61,07_Karl_B,07_Karl_B,8.48,0,0
10.71,07_Karl_B,07_Karl_B,8.60,0,0
10.82,07_Karl_B,07_Karl_B,8.68,0,0
10.93,07_Karl_B,07_Karl_B,8.80,0,0
11.04,07_Karl_B,07_Karl_B,8.92,0,0
11.15,07_Karl_B,07_Karl_B,9.04,0,0
11.26,07_Karl_B,07_Karl_B,9.12,0,0
11.38,07_Karl_B,07_Karl_B,9.24,0,0
11.47,07_Karl_B,07_Karl_B,9.36,0,0
11.58,07_Karl_B,07_Karl_B,9.44,0,0
11.70,07_Karl_B,07_Karl_B,9.56,0,0
11.80,07_Karl_B,07_Karl_B,9.68,0,0
11.92,07_Karl_B,07_Karl_B,9.80,0,0
12.03,07_Karl_B,07_Karl_B,9.92,0,0
12.13,07_Karl_B,07_Karl_B,10.00,0,0
12.24,07_Karl_B,07_Karl_B,10.12,0,0
12.35,07_Karl_B,07_Karl_B,10.24,0,0
12.46,07_Karl_B,07_Karl_B,10.32,0,0
12.56,07_Karl_B,07_Karl_B,10.44,0,0
12.67,07_Karl_B,07_Karl_B,10.56,0,0
12.78,07_Karl_B,07_Karl_B,10.68,0,0
12.89,07_Karl_B,07_Karl_B,10.76,0,0
13.00,07_Karl_B,07_Karl_B,10.88,0,0
13.12,07_Karl_B,07_Karl_B,11.00,0,0
13.21,07_Karl_B,07_Karl_B,11.08,0,0
13.32,07_Karl_B,07_Karl_B,11.20,0,0
13.43,07_Karl_B,07_Karl_B,11.32,0,0
13.55,07_Karl_B,07_Karl_B,11.44,0,0
13.64,07_Karl_B,07_Karl_B,11.52,0,0
13.75,07_Karl_B,07_Karl_B,11.64,0,0
13.87,07_Karl_B,07_Karl_B,11.76,0,0
13.98,07_Karl_B,07_Karl_B,11.88,0,0
14.09,07_Karl_B,07_Karl_B,11.96,0,0
14.20,07_Karl_B,07_Karl_B,12.08,0,0
14.31,07_Karl_B,07_Karl_B,12.20,0,0
14.42,07_Karl_B,07_Karl_B,12.28,0,0
14.52,07_Karl_B,07_Karl_B,12.40,0,0
14.63,07_Karl_B,07_Karl_B,12.52,0,0
14.74,07_Karl_B,07_Karl_B,12.60,0,0
14.84,07_Karl_B,07_Karl_B,12.72,0,0
14.95,07_Karl_B,07_Karl_B,12.84,0,0
15.06,07_Karl_B,07_Karl_B,12.92,0,0
15.16,07_Karl_B,07_Karl_B,13.04,0,0
