EMOTIVE VR DATA RECORDING
Date (year-month-day): 2022-07-01
Playback start time: 13:02
Session ID: 


Time from playback start (s),Sequence name,Video clip name,Video time (s),GSR,Arousal peak power
0.07,00_StartPlayback,(NO VIDEO),0.00,0,0
0.18,00_StartPlayback,(NO VIDEO),0.00,0,0
0.29,00_StartPlayback,(NO VIDEO),0.00,0,0
0.40,00_StartPlayback,(NO VIDEO),0.00,0,0
0.51,00_StartPlayback,(NO VIDEO),0.00,0,0
0.62,00_StartPlayback,(NO VIDEO),0.00,0,0
0.73,00_StartPlayback,(NO VIDEO),0.00,0,0
0.84,00_StartPlayback,(NO VIDEO),0.00,0,0
0.96,00_StartPlayback,(NO VIDEO),0.00,0,0
1.07,00_StartPlayback,(NO VIDEO),0.00,0,0
1.18,00_StartPlayback,(NO VIDEO),0.00,0,0
1.29,00_StartPlayback,(NO VIDEO),0.00,0,0
1.40,00_StartPlayback,(NO VIDEO),0.00,0,0
1.51,00_StartPlayback,(NO VIDEO),0.00,0,0
1.62,00_StartPlayback,(NO VIDEO),0.00,0,0
1.73,00_StartPlayback,(NO VIDEO),0.00,0,0
1.84,00_StartPlayback,(NO VIDEO),0.00,0,0
1.96,00_StartPlayback,(NO VIDEO),0.00,0,0
2.07,07_Karl_B,07_Karl_B,0.00,0,0
2.18,07_Karl_B,07_Karl_B,0.00,0,0
2.29,07_Karl_B,07_Karl_B,0.00,0,0
2.39,07_Karl_B,07_Karl_B,0.12,0,0
2.50,07_Karl_B,07_Karl_B,0.24,0,0
2.61,07_Karl_B,07_Karl_B,0.32,0,0
2.72,07_Karl_B,07_Karl_B,0.44,0,0
2.83,07_Karl_B,07_Karl_B,0.56,0,0
2.94,07_Karl_B,07_Karl_B,0.68,0,0
3.05,07_Karl_B,07_Karl_B,0.80,0,0
3.16,07_Karl_B,07_Karl_B,0.88,0,0
3.28,07_Karl_B,07_Karl_B,1.00,0,0
3.39,07_Karl_B,07_Karl_B,1.12,0,0
3.50,07_Karl_B,07_Karl_B,1.24,0,0
3.61,07_Karl_B,07_Karl_B,1.32,0,0
3.73,07_Karl_B,07_Karl_B,1.44,0,0
3.83,07_Karl_B,07_Karl_B,1.56,0,0
3.94,07_Karl_B,07_Karl_B,1.68,0,0
4.05,07_Karl_B,07_Karl_B,1.80,0,0
4.16,07_Karl_B,07_Karl_B,1.88,0,0
4.28,07_Karl_B,07_Karl_B,2.00,0,0
4.39,07_Karl_B,07_Karl_B,2.12,0,0
4.50,07_Karl_B,07_Karl_B,2.24,0,0
4.61,07_Karl_B,07_Karl_B,2.32,0,0
4.72,07_Karl_B,07_Karl_B,2.44,0,0
4.83,07_Karl_B,07_Karl_B,2.56,0,0
4.94,07_Karl_B,07_Karl_B,2.68,0,0
5.05,07_Karl_B,07_Karl_B,2.80,0,0
5.16,07_Karl_B,07_Karl_B,2.88,0,0
5.28,07_Karl_B,07_Karl_B,3.00,0,0
5.39,07_Karl_B,07_Karl_B,3.12,0,0
5.50,07_Karl_B,07_Karl_B,3.24,0,0
5.61,07_Karl_B,07_Karl_B,3.32,0,0
5.72,07_Karl_B,07_Karl_B,3.44,0,0
5.83,07_Karl_B,07_Karl_B,3.56,0,0
5.94,07_Karl_B,07_Karl_B,3.68,0,0
6.05,07_Karl_B,07_Karl_B,3.80,0,0
6.16,07_Karl_B,07_Karl_B,3.88,0,0
6.28,07_Karl_B,07_Karl_B,4.00,0,0
6.39,07_Karl_B,07_Karl_B,4.12,0,0
6.50,07_Karl_B,07_Karl_B,4.24,0,0
6.61,07_Karl_B,07_Karl_B,4.32,0,0
6.72,07_Karl_B,07_Karl_B,4.44,0,0
6.83,07_Karl_B,07_Karl_B,4.56,0,0
6.94,07_Karl_B,07_Karl_B,4.68,0,0
7.05,07_Karl_B,07_Karl_B,4.80,0,0
7.16,07_Karl_B,07_Karl_B,4.88,0,0
7.28,07_Karl_B,07_Karl_B,5.00,0,0
7.39,07_Karl_B,07_Karl_B,5.12,0,0
7.50,07_Karl_B,07_Karl_B,5.24,0,0
7.61,07_Karl_B,07_Karl_B,5.32,0,0
7.72,07_Karl_B,07_Karl_B,5.44,0,0
7.83,07_Karl_B,07_Karl_B,5.56,0,0
7.94,07_Karl_B,07_Karl_B,5.68,0,0
8.05,07_Karl_B,07_Karl_B,5.80,0,0
8.16,07_Karl_B,07_Karl_B,5.88,0,0
8.27,07_Karl_B,07_Karl_B,6.00,0,0
8.39,07_Karl_B,07_Karl_B,6.12,0,0
8.50,07_Karl_B,07_Karl_B,6.24,0,0
8.61,07_Karl_B,07_Karl_B,6.32,0,0
8.72,07_Karl_B,07_Karl_B,6.44,0,0
8.83,07_Karl_B,07_Karl_B,6.56,0,0
8.94,07_Karl_B,07_Karl_B,6.68,0,0
9.05,07_Karl_B,07_Karl_B,6.80,0,0
9.16,07_Karl_B,07_Karl_B,6.88,0,0
9.28,07_Karl_B,07_Karl_B,7.00,0,0
9.39,07_Karl_B,07_Karl_B,7.12,0,0
9.50,07_Karl_B,07_Karl_B,7.24,0,0
9.61,07_Karl_B,07_Karl_B,7.32,0,0
9.72,07_Karl_B,07_Karl_B,7.44,0,0
9.83,07_Karl_B,07_Karl_B,7.56,0,0
9.94,07_Karl_B,07_Karl_B,7.68,0,0
10.05,07_Karl_B,07_Karl_B,7.80,0,0
10.16,07_Karl_B,07_Karl_B,7.88,0,0
10.27,07_Karl_B,07_Karl_B,8.00,0,0
10.39,07_Karl_B,07_Karl_B,8.12,0,0
10.50,07_Karl_B,07_Karl_B,8.24,0,0
10.61,07_Karl_B,07_Karl_B,8.32,0,0
10.72,07_Karl_B,07_Karl_B,8.44,0,0
10.83,07_Karl_B,07_Karl_B,8.56,0,0
10.94,07_Karl_B,07_Karl_B,8.68,0,0
11.05,07_Karl_B,07_Karl_B,8.80,0,0
11.16,07_Karl_B,07_Karl_B,8.88,0,0
11.27,07_Karl_B,07_Karl_B,9.00,0,0
11.39,07_Karl_B,07_Karl_B,9.12,0,0
11.50,07_Karl_B,07_Karl_B,9.24,0,0
11.61,07_Karl_B,07_Karl_B,9.32,0,0
11.72,07_Karl_B,07_Karl_B,9.44,0,0
11.83,07_Karl_B,07_Karl_B,9.56,0,0
11.94,07_Karl_B,07_Karl_B,9.68,0,0
12.05,07_Karl_B,07_Karl_B,9.80,0,0
12.16,07_Karl_B,07_Karl_B,9.88,0,0
12.27,07_Karl_B,07_Karl_B,10.00,0,0
12.39,07_Karl_B,07_Karl_B,10.12,0,0
12.50,07_Karl_B,07_Karl_B,10.24,0,0
12.61,07_Karl_B,07_Karl_B,10.32,0,0
12.72,07_Karl_B,07_Karl_B,10.44,0,0
12.83,07_Karl_B,07_Karl_B,10.56,0,0
12.94,07_Karl_B,07_Karl_B,10.68,0,0
13.05,07_Karl_B,07_Karl_B,10.80,0,0
13.16,07_Karl_B,07_Karl_B,10.88,0,0
13.27,07_Karl_B,07_Karl_B,11.00,0,0
13.39,07_Karl_B,07_Karl_B,11.12,0,0
13.50,07_Karl_B,07_Karl_B,11.24,0,0
13.61,07_Karl_B,07_Karl_B,11.32,0,0
13.72,07_Karl_B,07_Karl_B,11.44,0,0
13.83,07_Karl_B,07_Karl_B,11.56,0,0
13.94,07_Karl_B,07_Karl_B,11.68,0,0
14.05,07_Karl_B,07_Karl_B,11.76,0,0
14.16,07_Karl_B,07_Karl_B,11.88,0,0
14.27,07_Karl_B,07_Karl_B,12.00,0,0
14.38,07_Karl_B,07_Karl_B,12.12,0,0
14.50,07_Karl_B,07_Karl_B,12.24,0,0
14.61,07_Karl_B,07_Karl_B,12.32,0,0
14.72,07_Karl_B,07_Karl_B,12.44,0,0
14.83,07_Karl_B,07_Karl_B,12.56,0,0
14.94,07_Karl_B,07_Karl_B,12.68,0,0
15.05,07_Karl_B,07_Karl_B,12.76,0,0
15.16,07_Karl_B,07_Karl_B,12.88,0,0
15.27,07_Karl_B,07_Karl_B,13.00,0,0
15.38,07_Karl_B,07_Karl_B,13.12,0,0
15.50,07_Karl_B,07_Karl_B,13.24,0,0
15.61,07_Karl_B,07_Karl_B,13.32,0,0
15.72,07_Karl_B,07_Karl_B,13.44,0,0
15.82,07_Karl_B,07_Karl_B,13.56,0,0
15.93,07_Karl_B,07_Karl_B,13.64,0,0
16.04,07_Karl_B,07_Karl_B,13.76,0,0
16.15,07_Karl_B,07_Karl_B,13.88,0,0
16.26,07_Karl_B,07_Karl_B,14.00,0,0
16.37,07_Karl_B,07_Karl_B,14.08,0,0
16.48,07_Karl_B,07_Karl_B,14.20,0,0
16.59,07_Karl_B,07_Karl_B,14.32,0,0
16.70,07_Karl_B,07_Karl_B,14.44,0,0
16.81,07_Karl_B,07_Karl_B,14.56,0,0
16.93,07_Karl_B,07_Karl_B,14.64,0,0
17.04,07_Karl_B,07_Karl_B,14.76,0,0
17.15,07_Karl_B,07_Karl_B,14.88,0,0
17.26,07_Karl_B,07_Karl_B,15.00,0,0
17.37,07_Karl_B,07_Karl_B,15.08,0,0
17.48,07_Karl_B,07_Karl_B,15.20,0,0
17.59,07_Karl_B,07_Karl_B,15.32,0,0
17.70,07_Karl_B,07_Karl_B,15.44,0,0
17.81,07_Karl_B,07_Karl_B,15.56,0,0
17.94,07_Karl_B,07_Karl_B,15.68,0,0
18.05,07_Karl_B,07_Karl_B,15.76,0,0
18.16,07_Karl_B,07_Karl_B,15.88,0,0
18.27,07_Karl_B,07_Karl_B,16.00,0,0
18.38,07_Karl_B,07_Karl_B,16.12,0,0
18.49,07_Karl_B,07_Karl_B,16.20,0,0
18.60,07_Karl_B,07_Karl_B,16.32,0,0
18.71,07_Karl_B,07_Karl_B,16.44,0,0
18.82,07_Karl_B,07_Karl_B,16.56,0,0
18.94,07_Karl_B,07_Karl_B,16.68,0,0
19.05,07_Karl_B,07_Karl_B,16.76,0,0
19.16,07_Karl_B,07_Karl_B,16.88,0,0
19.27,07_Karl_B,07_Karl_B,17.00,0,0
19.38,07_Karl_B,07_Karl_B,17.12,0,0
19.49,07_Karl_B,07_Karl_B,17.24,0,0
19.61,07_Karl_B,07_Karl_B,17.32,0,0
19.71,07_Karl_B,07_Karl_B,17.44,0,0
19.82,07_Karl_B,07_Karl_B,17.56,0,0
19.94,07_Karl_B,07_Karl_B,17.68,0,0
20.05,07_Karl_B,07_Karl_B,17.76,0,0
20.16,07_Karl_B,07_Karl_B,17.88,0,0
20.27,07_Karl_B,07_Karl_B,18.00,0,0
20.38,07_Karl_B,07_Karl_B,18.12,0,0
20.49,07_Karl_B,07_Karl_B,18.24,0,0
20.61,07_Karl_B,07_Karl_B,18.32,0,0
20.71,07_Karl_B,07_Karl_B,18.44,0,0
20.83,07_Karl_B,07_Karl_B,18.56,0,0
20.94,07_Karl_B,07_Karl_B,18.68,0,0
21.05,07_Karl_B,07_Karl_B,18.76,0,0
21.16,07_Karl_B,07_Karl_B,18.88,0,0
21.27,07_Karl_B,07_Karl_B,19.00,0,0
21.38,07_Karl_B,07_Karl_B,19.12,0,0
21.49,07_Karl_B,07_Karl_B,19.24,0,0
21.61,07_Karl_B,07_Karl_B,19.32,0,0
21.71,07_Karl_B,07_Karl_B,19.44,0,0
21.82,07_Karl_B,07_Karl_B,19.56,0,0
21.94,07_Karl_B,07_Karl_B,19.68,0,0
22.05,07_Karl_B,07_Karl_B,19.76,0,0
22.16,07_Karl_B,07_Karl_B,19.88,0,0
22.27,07_Karl_B,07_Karl_B,20.00,0,0
22.38,07_Karl_B,07_Karl_B,20.12,0,0
22.49,07_Karl_B,07_Karl_B,20.24,0,0
22.61,07_Karl_B,07_Karl_B,20.32,0,0
22.71,07_Karl_B,07_Karl_B,20.44,0,0
22.82,07_Karl_B,07_Karl_B,20.56,0,0
22.94,07_Karl_B,07_Karl_B,20.68,0,0
23.05,07_Karl_B,07_Karl_B,20.76,0,0
23.16,07_Karl_B,07_Karl_B,20.88,0,0
23.27,07_Karl_B,07_Karl_B,21.00,0,0
23.38,07_Karl_B,07_Karl_B,21.12,0,0
23.49,07_Karl_B,07_Karl_B,21.24,0,0
23.60,07_Karl_B,07_Karl_B,21.32,0,0
23.71,07_Karl_B,07_Karl_B,21.44,0,0
23.83,07_Karl_B,07_Karl_B,21.56,0,0
23.94,07_Karl_B,07_Karl_B,21.68,0,0
24.05,07_Karl_B,07_Karl_B,21.76,0,0
24.16,07_Karl_B,07_Karl_B,21.88,0,0
24.27,07_Karl_B,07_Karl_B,22.00,0,0
24.38,07_Karl_B,07_Karl_B,22.12,0,0
24.49,07_Karl_B,07_Karl_B,22.20,0,0
24.60,07_Karl_B,07_Karl_B,22.32,0,0
24.71,07_Karl_B,07_Karl_B,22.44,0,0
24.82,07_Karl_B,07_Karl_B,22.56,0,0
24.94,07_Karl_B,07_Karl_B,22.68,0,0
25.05,07_Karl_B,07_Karl_B,22.76,0,0
25.16,07_Karl_B,07_Karl_B,22.88,0,0
25.27,07_Karl_B,07_Karl_B,23.00,0,0
25.38,07_Karl_B,07_Karl_B,23.12,0,0
25.49,07_Karl_B,07_Karl_B,23.20,0,0
25.60,07_Karl_B,07_Karl_B,23.32,0,0
25.71,07_Karl_B,07_Karl_B,23.44,0,0
