EMOTIVE VR DATA RECORDING
Date (year-month-day): 2022-07-01
Playback start time: 17:36
Session ID: 


Time from playback start (s),Sequence name,Video clip name,Video time (s),GSR,Arousal peak power
0.10,00_StartPlayback,(NO VIDEO),0.00,0,0
0.21,00_StartPlayback,(NO VIDEO),0.00,0,0
0.32,00_StartPlayback,(NO VIDEO),0.00,0,0
0.43,00_StartPlayback,(NO VIDEO),0.00,0,0
0.54,00_StartPlayback,(NO VIDEO),0.00,0,0
0.65,00_StartPlayback,(NO VIDEO),0.00,0,0
0.76,00_StartPlayback,(NO VIDEO),0.00,0,0
0.88,00_StartPlayback,(NO VIDEO),0.00,0,0
0.99,00_StartPlayback,(NO VIDEO),0.00,0,0
1.10,00_StartPlayback,(NO VIDEO),0.00,0,0
1.21,00_StartPlayback,(NO VIDEO),0.00,0,0
1.32,00_StartPlayback,(NO VIDEO),0.00,0,0
1.43,00_StartPlayback,(NO VIDEO),0.00,0,0
1.54,00_StartPlayback,(NO VIDEO),0.00,0,0
1.66,00_StartPlayback,(NO VIDEO),0.00,0,0
1.77,00_StartPlayback,(NO VIDEO),0.00,0,0
1.88,00_StartPlayback,(NO VIDEO),0.00,0,0
1.99,00_StartPlayback,(NO VIDEO),0.00,0,0
2.10,04_Opening Credits,04_OpeningCredits_Noninteractive,0.00,0,0
2.23,04_Opening Credits,04_OpeningCredits_Noninteractive,0.08,0,0
2.32,04_Opening Credits,04_OpeningCredits_Noninteractive,0.20,0,0
2.43,04_Opening Credits,04_OpeningCredits_Noninteractive,0.28,0,0
2.54,04_Opening Credits,04_OpeningCredits_Noninteractive,0.40,0,0
2.66,04_Opening Credits,04_OpeningCredits_Noninteractive,0.52,0,0
2.77,04_Opening Credits,04_OpeningCredits_Noninteractive,0.64,0,0
2.88,04_Opening Credits,04_OpeningCredits_Noninteractive,0.76,0,0
2.99,04_Opening Credits,04_OpeningCredits_Noninteractive,0.84,0,0
3.10,04_Opening Credits,04_OpeningCredits_Noninteractive,0.96,0,0
3.21,04_Opening Credits,04_OpeningCredits_Noninteractive,1.08,0,0
3.32,04_Opening Credits,04_OpeningCredits_Noninteractive,1.20,0,0
3.43,04_Opening Credits,04_OpeningCredits_Noninteractive,1.28,0,0
3.55,04_Opening Credits,04_OpeningCredits_Noninteractive,1.40,0,0
3.66,04_Opening Credits,04_OpeningCredits_Noninteractive,1.52,0,0
3.77,04_Opening Credits,04_OpeningCredits_Noninteractive,1.64,0,0
3.88,04_Opening Credits,04_OpeningCredits_Noninteractive,1.76,0,0
3.99,04_Opening Credits,04_OpeningCredits_Noninteractive,1.84,0,0
4.10,04_Opening Credits,04_OpeningCredits_Noninteractive,1.96,0,0
4.21,04_Opening Credits,04_OpeningCredits_Noninteractive,2.08,0,0
4.33,04_Opening Credits,04_OpeningCredits_Noninteractive,2.20,0,0
4.44,04_Opening Credits,04_OpeningCredits_Noninteractive,2.32,0,0
4.55,04_Opening Credits,04_OpeningCredits_Noninteractive,2.40,0,0
4.66,04_Opening Credits,04_OpeningCredits_Noninteractive,2.52,0,0
4.77,04_Opening Credits,04_OpeningCredits_Noninteractive,2.64,0,0
4.88,04_Opening Credits,04_OpeningCredits_Noninteractive,2.76,0,0
5.00,04_Opening Credits,04_OpeningCredits_Noninteractive,2.84,0,0
5.11,04_Opening Credits,04_OpeningCredits_Noninteractive,2.96,0,0
5.22,04_Opening Credits,04_OpeningCredits_Noninteractive,3.08,0,0
5.33,04_Opening Credits,04_OpeningCredits_Noninteractive,3.20,0,0
5.44,04_Opening Credits,04_OpeningCredits_Noninteractive,3.32,0,0
5.55,04_Opening Credits,04_OpeningCredits_Noninteractive,3.40,0,0
5.66,04_Opening Credits,04_OpeningCredits_Noninteractive,3.52,0,0
5.78,04_Opening Credits,04_OpeningCredits_Noninteractive,3.64,0,0
5.89,04_Opening Credits,04_OpeningCredits_Noninteractive,3.76,0,0
6.00,04_Opening Credits,04_OpeningCredits_Noninteractive,3.88,0,0
6.11,04_Opening Credits,04_OpeningCredits_Noninteractive,3.96,0,0
6.22,04_Opening Credits,04_OpeningCredits_Noninteractive,4.08,0,0
6.33,04_Opening Credits,04_OpeningCredits_Noninteractive,4.20,0,0
6.45,04_Opening Credits,04_OpeningCredits_Noninteractive,4.32,0,0
6.55,04_Opening Credits,04_OpeningCredits_Noninteractive,4.40,0,0
6.67,04_Opening Credits,04_OpeningCredits_Noninteractive,4.52,0,0
6.78,04_Opening Credits,04_OpeningCredits_Noninteractive,4.64,0,0
6.89,04_Opening Credits,04_OpeningCredits_Noninteractive,4.76,0,0
7.00,04_Opening Credits,04_OpeningCredits_Noninteractive,4.88,0,0
7.11,04_Opening Credits,04_OpeningCredits_Noninteractive,4.96,0,0
7.22,04_Opening Credits,04_OpeningCredits_Noninteractive,5.08,0,0
7.34,04_Opening Credits,04_OpeningCredits_Noninteractive,5.20,0,0
7.45,04_Opening Credits,04_OpeningCredits_Noninteractive,5.32,0,0
7.56,04_Opening Credits,04_OpeningCredits_Noninteractive,5.44,0,0
7.67,04_Opening Credits,04_OpeningCredits_Noninteractive,5.52,0,0
7.78,04_Opening Credits,04_OpeningCredits_Noninteractive,5.64,0,0
7.89,04_Opening Credits,04_OpeningCredits_Noninteractive,5.76,0,0
8.00,04_Opening Credits,04_OpeningCredits_Noninteractive,5.88,0,0
8.11,04_Opening Credits,04_OpeningCredits_Noninteractive,5.96,0,0
8.23,04_Opening Credits,04_OpeningCredits_Noninteractive,6.08,0,0
8.34,04_Opening Credits,04_OpeningCredits_Noninteractive,6.20,0,0
8.45,04_Opening Credits,04_OpeningCredits_Noninteractive,6.32,0,0
8.56,04_Opening Credits,04_OpeningCredits_Noninteractive,6.44,0,0
8.67,04_Opening Credits,04_OpeningCredits_Noninteractive,6.52,0,0
8.79,04_Opening Credits,04_OpeningCredits_Noninteractive,6.64,0,0
8.89,04_Opening Credits,04_OpeningCredits_Noninteractive,6.76,0,0
9.01,04_Opening Credits,04_OpeningCredits_Noninteractive,6.88,0,0
9.12,04_Opening Credits,04_OpeningCredits_Noninteractive,7.00,0,0
9.23,04_Opening Credits,04_OpeningCredits_Noninteractive,7.08,0,0
9.34,04_Opening Credits,04_OpeningCredits_Noninteractive,7.20,0,0
9.45,04_Opening Credits,04_OpeningCredits_Noninteractive,7.32,0,0
9.56,04_Opening Credits,04_OpeningCredits_Noninteractive,7.44,0,0
9.67,04_Opening Credits,04_OpeningCredits_Noninteractive,7.52,0,0
9.79,04_Opening Credits,04_OpeningCredits_Noninteractive,7.64,0,0
9.90,04_Opening Credits,04_OpeningCredits_Noninteractive,7.76,0,0
10.01,04_Opening Credits,04_OpeningCredits_Noninteractive,7.88,0,0
10.12,04_Opening Credits,04_OpeningCredits_Noninteractive,8.00,0,0
10.23,04_Opening Credits,04_OpeningCredits_Noninteractive,8.08,0,0
10.34,04_Opening Credits,04_OpeningCredits_Noninteractive,8.20,0,0
10.45,04_Opening Credits,04_OpeningCredits_Noninteractive,8.32,0,0
10.57,04_Opening Credits,04_OpeningCredits_Noninteractive,8.44,0,0
