EMOTIVE VR DATA RECORDING
Date (year-month-day): 2022-06-27
Playback start time: 14:44
Session ID: 


Time from playback start (s),Sequence name,Video clip name,Video time (s),GSR,Arousal peak power
0.05,00_StartPlayback,(NO VIDEO),0.00,0,0
0.16,00_StartPlayback,(NO VIDEO),0.00,0,0
0.28,00_StartPlayback,(NO VIDEO),0.00,0,0
0.39,00_StartPlayback,(NO VIDEO),0.00,0,0
0.50,00_StartPlayback,(NO VIDEO),0.00,0,0
0.61,00_StartPlayback,(NO VIDEO),0.00,0,0
0.72,00_StartPlayback,(NO VIDEO),0.00,0,0
0.83,00_StartPlayback,(NO VIDEO),0.00,0,0
0.95,00_StartPlayback,(NO VIDEO),0.00,0,0
1.05,00_StartPlayback,(NO VIDEO),0.00,0,0
1.17,00_StartPlayback,(NO VIDEO),0.00,0,0
1.28,00_StartPlayback,(NO VIDEO),0.00,0,0
1.39,00_StartPlayback,(NO VIDEO),0.00,0,0
1.50,00_StartPlayback,(NO VIDEO),0.00,0,0
1.61,00_StartPlayback,(NO VIDEO),0.00,0,0
1.72,00_StartPlayback,(NO VIDEO),0.00,0,0
1.84,00_StartPlayback,(NO VIDEO),0.00,0,0
1.95,00_StartPlayback,(NO VIDEO),0.00,0,0
2.04,04_Opening Credits,04_OpeningCredits_Noninteractive,0.00,0,0
2.17,04_Opening Credits,04_OpeningCredits_Noninteractive,0.00,0,0
2.28,04_Opening Credits,04_OpeningCredits_Noninteractive,0.12,0,0
2.39,04_Opening Credits,04_OpeningCredits_Noninteractive,0.24,0,0
2.50,04_Opening Credits,04_OpeningCredits_Noninteractive,0.36,0,0
2.61,04_Opening Credits,04_OpeningCredits_Noninteractive,0.48,0,0
2.72,04_Opening Credits,04_OpeningCredits_Noninteractive,0.56,0,0
2.84,04_Opening Credits,04_OpeningCredits_Noninteractive,0.68,0,0
2.95,04_Opening Credits,04_OpeningCredits_Noninteractive,0.80,0,0
3.06,04_Opening Credits,04_OpeningCredits_Noninteractive,0.92,0,0
3.17,04_Opening Credits,04_OpeningCredits_Noninteractive,1.00,0,0
3.28,04_Opening Credits,04_OpeningCredits_Noninteractive,1.12,0,0
3.39,04_Opening Credits,04_OpeningCredits_Noninteractive,1.24,0,0
3.50,04_Opening Credits,04_OpeningCredits_Noninteractive,1.36,0,0
3.62,04_Opening Credits,04_OpeningCredits_Noninteractive,1.48,0,0
3.73,04_Opening Credits,04_OpeningCredits_Noninteractive,1.56,0,0
3.84,04_Opening Credits,04_OpeningCredits_Noninteractive,1.68,0,0
3.95,04_Opening Credits,04_OpeningCredits_Noninteractive,1.80,0,0
4.06,04_Opening Credits,04_OpeningCredits_Noninteractive,1.92,0,0
4.17,04_Opening Credits,04_OpeningCredits_Noninteractive,2.04,0,0
4.27,04_Opening Credits,04_OpeningCredits_Noninteractive,2.12,0,0
4.38,04_Opening Credits,04_OpeningCredits_Noninteractive,2.24,0,0
4.49,04_Opening Credits,04_OpeningCredits_Noninteractive,2.36,0,0
4.61,04_Opening Credits,04_OpeningCredits_Noninteractive,2.44,0,0
4.71,04_Opening Credits,04_OpeningCredits_Noninteractive,2.56,0,0
4.83,04_Opening Credits,04_OpeningCredits_Noninteractive,2.68,0,0
4.94,04_Opening Credits,04_OpeningCredits_Noninteractive,2.80,0,0
5.05,04_Opening Credits,04_OpeningCredits_Noninteractive,2.88,0,0
