EMOTIVE VR DATA RECORDING
Date (year-month-day): 2022-07-01
Playback start time: 14:57
Session ID: 


Time from playback start (s),Sequence name,Video clip name,Video time (s),GSR,Arousal peak power
0.08,00_StartPlayback,(NO VIDEO),0.00,2.7167,0
0.20,00_StartPlayback,(NO VIDEO),0.00,2.7167,0
0.30,00_StartPlayback,(NO VIDEO),0.00,2.721,0
0.42,00_StartPlayback,(NO VIDEO),0.00,2.721,0
0.53,00_StartPlayback,(NO VIDEO),0.00,2.7218,0
0.64,00_StartPlayback,(NO VIDEO),0.00,2.7283,0
0.75,00_StartPlayback,(NO VIDEO),0.00,2.7283,0
0.86,00_StartPlayback,(NO VIDEO),0.00,2.7283,0
0.97,00_StartPlayback,(NO VIDEO),0.00,2.7371,0
1.09,00_StartPlayback,(NO VIDEO),0.00,2.7371,0
1.20,00_StartPlayback,(NO VIDEO),0.00,2.7503,0
1.31,00_StartPlayback,(NO VIDEO),0.00,2.7503,0
1.42,00_StartPlayback,(NO VIDEO),0.00,2.754,0
1.53,00_StartPlayback,(NO VIDEO),0.00,2.754,0
1.64,00_StartPlayback,(NO VIDEO),0.00,2.7555,0
1.75,00_StartPlayback,(NO VIDEO),0.00,2.7555,0
1.86,00_StartPlayback,(NO VIDEO),0.00,2.7526,0.1456001
1.98,00_StartPlayback,(NO VIDEO),0.00,2.7526,0
2.09,04_Opening Credits,04_OpeningCredits_Noninteractive,0.00,2.7363,0
2.20,04_Opening Credits,04_OpeningCredits_Noninteractive,0.00,2.7363,0
2.31,04_Opening Credits,04_OpeningCredits_Noninteractive,0.16,2.7363,0
2.42,04_Opening Credits,04_OpeningCredits_Noninteractive,0.28,2.7268,0
2.53,04_Opening Credits,04_OpeningCredits_Noninteractive,0.36,2.7239,0
2.64,04_Opening Credits,04_OpeningCredits_Noninteractive,0.48,2.7239,0
2.75,04_Opening Credits,04_OpeningCredits_Noninteractive,0.60,2.7268,0
2.86,04_Opening Credits,04_OpeningCredits_Noninteractive,0.72,2.7268,0
2.98,04_Opening Credits,04_OpeningCredits_Noninteractive,0.84,2.721,0.002899885
3.09,04_Opening Credits,04_OpeningCredits_Noninteractive,0.92,2.721,0
3.20,04_Opening Credits,04_OpeningCredits_Noninteractive,1.04,2.721,0
3.31,04_Opening Credits,04_OpeningCredits_Noninteractive,1.16,2.7124,0
3.42,04_Opening Credits,04_OpeningCredits_Noninteractive,1.28,2.7001,0
3.54,04_Opening Credits,04_OpeningCredits_Noninteractive,1.40,2.7001,0
3.64,04_Opening Credits,04_OpeningCredits_Noninteractive,1.48,2.6824,0
3.76,04_Opening Credits,04_OpeningCredits_Noninteractive,1.60,2.6824,0
