EMOTIVE VR DATA RECORDING
Date (year-month-day): 2024-02-01
Playback start time: 18:56
Session ID: 


Time from playback start (s),Sequence name,Video clip name,Video time (s),Valence,Arousal
0.03,00_StartPlayback,(NO VIDEO),0.00,0,0
0.14,00_StartPlayback,(NO VIDEO),0.00,0,0
0.25,00_StartPlayback,(NO VIDEO),0.00,0,0
0.36,00_StartPlayback,(NO VIDEO),0.00,0,0
0.47,00_StartPlayback,(NO VIDEO),0.00,0,0
0.59,00_StartPlayback,(NO VIDEO),0.00,0,0
0.70,00_StartPlayback,(NO VIDEO),0.00,0,0
0.80,00_StartPlayback,(NO VIDEO),0.00,0,0
0.91,00_StartPlayback,(NO VIDEO),0.00,0,0
1.02,00_StartPlayback,(NO VIDEO),0.00,0,0
1.13,00_StartPlayback,(NO VIDEO),0.00,0,0
1.23,00_StartPlayback,(NO VIDEO),0.00,0,0
1.35,00_StartPlayback,(NO VIDEO),0.00,0,0
1.46,00_StartPlayback,(NO VIDEO),0.00,0,0
1.57,00_StartPlayback,(NO VIDEO),0.00,0,0
1.68,00_StartPlayback,(NO VIDEO),0.00,0,0
1.78,00_StartPlayback,(NO VIDEO),0.00,0,0
1.89,00_StartPlayback,(NO VIDEO),0.00,0,0
2.00,00_StartPlayback,(NO VIDEO),0.00,0,0
2.12,04_Opening Credits,04_OpeningCredits_Interactive,0.00,0,0
2.26,04_Opening Credits,04_OpeningCredits_Interactive,0.00,0,0
2.37,04_Opening Credits,04_OpeningCredits_Interactive,0.12,0,0
2.48,04_Opening Credits,04_OpeningCredits_Interactive,0.24,0,0
2.59,04_Opening Credits,04_OpeningCredits_Interactive,0.36,0,0
2.70,04_Opening Credits,04_OpeningCredits_Interactive,0.48,0,0
2.81,04_Opening Credits,04_OpeningCredits_Interactive,0.56,0,0
2.92,04_Opening Credits,04_OpeningCredits_Interactive,0.68,0,0
3.03,04_Opening Credits,04_OpeningCredits_Interactive,0.80,0,0
3.14,04_Opening Credits,04_OpeningCredits_Interactive,0.92,0,0
3.26,04_Opening Credits,04_OpeningCredits_Interactive,1.04,0,0
3.37,04_Opening Credits,04_OpeningCredits_Interactive,1.12,0,0
3.48,04_Opening Credits,04_OpeningCredits_Interactive,1.24,0,0
3.59,04_Opening Credits,04_OpeningCredits_Interactive,1.36,0,0
3.70,04_Opening Credits,04_OpeningCredits_Interactive,1.48,0,0
3.81,04_Opening Credits,04_OpeningCredits_Interactive,1.56,0,0
3.92,04_Opening Credits,04_OpeningCredits_Interactive,1.68,0,0
4.04,04_Opening Credits,04_OpeningCredits_Interactive,1.80,0,0
4.15,04_Opening Credits,04_OpeningCredits_Interactive,1.92,0,0
4.26,04_Opening Credits,04_OpeningCredits_Interactive,2.04,0,0
4.37,04_Opening Credits,04_OpeningCredits_Interactive,2.12,0,0
4.48,04_Opening Credits,04_OpeningCredits_Interactive,2.24,0,0
4.59,04_Opening Credits,04_OpeningCredits_Interactive,2.36,0,0
4.70,04_Opening Credits,04_OpeningCredits_Interactive,2.48,0,0
4.81,04_Opening Credits,04_OpeningCredits_Interactive,2.60,0,0
4.93,04_Opening Credits,04_OpeningCredits_Interactive,2.68,0,0
5.04,04_Opening Credits,04_OpeningCredits_Interactive,2.80,0,0
5.15,04_Opening Credits,04_OpeningCredits_Interactive,2.92,0,0
5.26,04_Opening Credits,04_OpeningCredits_Interactive,3.04,0,0
5.38,04_Opening Credits,04_OpeningCredits_Interactive,3.12,0,0
5.48,04_Opening Credits,04_OpeningCredits_Interactive,3.24,0,0
5.59,04_Opening Credits,04_OpeningCredits_Interactive,3.36,0,0
5.70,04_Opening Credits,04_OpeningCredits_Interactive,3.48,0,0
5.82,04_Opening Credits,04_OpeningCredits_Interactive,3.60,0,0
5.93,04_Opening Credits,04_OpeningCredits_Interactive,3.68,0,0
6.04,04_Opening Credits,04_OpeningCredits_Interactive,3.80,0,0
6.16,04_Opening Credits,04_OpeningCredits_Interactive,3.92,0,0
6.27,04_Opening Credits,04_OpeningCredits_Interactive,4.04,0,0
6.38,04_Opening Credits,04_OpeningCredits_Interactive,4.16,0,0
6.48,04_Opening Credits,04_OpeningCredits_Interactive,4.24,0,0
6.60,04_Opening Credits,04_OpeningCredits_Interactive,4.36,0,0
6.71,04_Opening Credits,04_OpeningCredits_Interactive,4.48,0,0
6.82,04_Opening Credits,04_OpeningCredits_Interactive,4.60,0,0
6.93,04_Opening Credits,04_OpeningCredits_Interactive,4.68,0,0
7.05,04_Opening Credits,04_OpeningCredits_Interactive,4.80,0,0
7.16,04_Opening Credits,04_OpeningCredits_Interactive,4.92,0,0
7.27,04_Opening Credits,04_OpeningCredits_Interactive,5.04,0,0
7.38,04_Opening Credits,04_OpeningCredits_Interactive,5.16,0,0
7.49,04_Opening Credits,04_OpeningCredits_Interactive,5.24,0,0
7.60,04_Opening Credits,04_OpeningCredits_Interactive,5.36,0,0
7.71,04_Opening Credits,04_OpeningCredits_Interactive,5.48,0,0
7.82,04_Opening Credits,04_OpeningCredits_Interactive,5.60,0,0
7.94,04_Opening Credits,04_OpeningCredits_Interactive,5.72,0,0
8.05,04_Opening Credits,04_OpeningCredits_Interactive,5.80,0,0
8.16,04_Opening Credits,04_OpeningCredits_Interactive,5.92,0,0
8.27,04_Opening Credits,04_OpeningCredits_Interactive,6.04,0,0
8.38,04_Opening Credits,04_OpeningCredits_Interactive,6.16,0,0
8.49,04_Opening Credits,04_OpeningCredits_Interactive,6.24,0,0
8.60,04_Opening Credits,04_OpeningCredits_Interactive,6.36,0,0
8.72,04_Opening Credits,04_OpeningCredits_Interactive,6.48,0,0
8.83,04_Opening Credits,04_OpeningCredits_Interactive,6.60,0,0
