EMOTIVE VR DATA RECORDING
Date (year-month-day): 2022-06-27
Playback start time: 14:38
Session ID: 


Time from playback start (s),Sequence name,Video clip name,Video time (s),GSR,Arousal peak power
0.01,00_StartPlayback,(NO VIDEO),0.00,0,0
0.11,00_StartPlayback,(NO VIDEO),0.00,0,0
0.22,00_StartPlayback,(NO VIDEO),0.00,0,0
0.33,00_StartPlayback,(NO VIDEO),0.00,0,0
0.44,00_StartPlayback,(NO VIDEO),0.00,0,0
0.55,00_StartPlayback,(NO VIDEO),0.00,0,0
0.66,00_StartPlayback,(NO VIDEO),0.00,0,0
0.78,00_StartPlayback,(NO VIDEO),0.00,0,0
0.89,00_StartPlayback,(NO VIDEO),0.00,0,0
1.00,00_StartPlayback,(NO VIDEO),0.00,0,0
1.11,00_StartPlayback,(NO VIDEO),0.00,0,0
1.22,00_StartPlayback,(NO VIDEO),0.00,0,0
1.33,00_StartPlayback,(NO VIDEO),0.00,0,0
1.45,00_StartPlayback,(NO VIDEO),0.00,0,0
1.55,00_StartPlayback,(NO VIDEO),0.00,0,0
1.67,00_StartPlayback,(NO VIDEO),0.00,0,0
1.78,00_StartPlayback,(NO VIDEO),0.00,0,0
1.89,00_StartPlayback,(NO VIDEO),0.00,0,0
2.00,00_StartPlayback,(NO VIDEO),0.00,0,0
2.10,04_Opening Credits,04_OpeningCredits_Noninteractive,0.00,0,0
2.21,04_Opening Credits,04_OpeningCredits_Noninteractive,0.00,0,0
2.31,04_Opening Credits,04_OpeningCredits_Noninteractive,0.00,0,0
2.41,04_Opening Credits,04_OpeningCredits_Noninteractive,0.12,0,0
2.52,04_Opening Credits,04_OpeningCredits_Noninteractive,0.24,0,0
2.63,04_Opening Credits,04_OpeningCredits_Noninteractive,0.36,0,0
2.74,04_Opening Credits,04_OpeningCredits_Noninteractive,0.48,0,0
2.85,04_Opening Credits,04_OpeningCredits_Noninteractive,0.56,0,0
2.96,04_Opening Credits,04_OpeningCredits_Noninteractive,0.68,0,0
3.07,04_Opening Credits,04_OpeningCredits_Noninteractive,0.80,0,0
3.18,04_Opening Credits,04_OpeningCredits_Noninteractive,0.92,0,0
3.29,04_Opening Credits,04_OpeningCredits_Noninteractive,1.04,0,0
3.41,04_Opening Credits,04_OpeningCredits_Noninteractive,1.12,0,0
3.52,04_Opening Credits,04_OpeningCredits_Noninteractive,1.24,0,0
3.63,04_Opening Credits,04_OpeningCredits_Noninteractive,1.36,0,0
3.74,04_Opening Credits,04_OpeningCredits_Noninteractive,1.48,0,0
3.85,04_Opening Credits,04_OpeningCredits_Noninteractive,1.56,0,0
3.96,04_Opening Credits,04_OpeningCredits_Noninteractive,1.68,0,0
4.07,04_Opening Credits,04_OpeningCredits_Noninteractive,1.80,0,0
4.17,04_Opening Credits,04_OpeningCredits_Noninteractive,1.92,0,0
4.29,04_Opening Credits,04_OpeningCredits_Noninteractive,2.00,0,0
4.39,04_Opening Credits,04_OpeningCredits_Noninteractive,2.12,0,0
4.51,04_Opening Credits,04_OpeningCredits_Noninteractive,2.24,0,0
4.62,04_Opening Credits,04_OpeningCredits_Noninteractive,2.36,0,0
4.73,04_Opening Credits,04_OpeningCredits_Noninteractive,2.44,0,0
4.84,04_Opening Credits,04_OpeningCredits_Noninteractive,2.56,0,0
4.95,04_Opening Credits,04_OpeningCredits_Noninteractive,2.68,0,0
5.07,04_Opening Credits,04_OpeningCredits_Noninteractive,2.80,0,0
5.18,04_Opening Credits,04_OpeningCredits_Noninteractive,2.92,0,0
5.29,04_Opening Credits,04_OpeningCredits_Noninteractive,3.00,0,0
5.40,04_Opening Credits,04_OpeningCredits_Noninteractive,3.12,0,0
5.51,04_Opening Credits,04_OpeningCredits_Noninteractive,3.24,0,0
5.62,04_Opening Credits,04_OpeningCredits_Noninteractive,3.36,0,0
5.73,04_Opening Credits,04_OpeningCredits_Noninteractive,3.44,0,0
5.84,04_Opening Credits,04_OpeningCredits_Noninteractive,3.56,0,0
5.96,04_Opening Credits,04_OpeningCredits_Noninteractive,3.68,0,0
6.07,04_Opening Credits,04_OpeningCredits_Noninteractive,3.80,0,0
6.18,04_Opening Credits,04_OpeningCredits_Noninteractive,3.92,0,0
6.29,04_Opening Credits,04_OpeningCredits_Noninteractive,4.00,0,0
6.40,04_Opening Credits,04_OpeningCredits_Noninteractive,4.12,0,0
6.51,04_Opening Credits,04_OpeningCredits_Noninteractive,4.24,0,0
6.63,04_Opening Credits,04_OpeningCredits_Noninteractive,4.36,0,0
