EMOTIVE VR DATA RECORDING
Date (year-month-day): 2024-02-01
Playback start time: 19:37
Session ID: 


Time from playback start (s),Sequence name,Video clip name,Video time (s),Valence,Arousal
0.02,00_StartPlayback,(NO VIDEO),0.00,0,0
0.14,00_StartPlayback,(NO VIDEO),0.00,0,0
0.25,00_StartPlayback,(NO VIDEO),0.00,0,0
0.37,00_StartPlayback,(NO VIDEO),0.00,0,0
0.48,00_StartPlayback,(NO VIDEO),0.00,0,0
0.59,00_StartPlayback,(NO VIDEO),0.00,0,0
0.70,00_StartPlayback,(NO VIDEO),0.00,0,0
0.81,00_StartPlayback,(NO VIDEO),0.00,0,0
0.92,00_StartPlayback,(NO VIDEO),0.00,0,0
1.03,00_StartPlayback,(NO VIDEO),0.00,0,0
1.15,00_StartPlayback,(NO VIDEO),0.00,0,0
1.26,00_StartPlayback,(NO VIDEO),0.00,0,0
1.37,00_StartPlayback,(NO VIDEO),0.00,0,0
1.48,00_StartPlayback,(NO VIDEO),0.00,0,0
1.59,00_StartPlayback,(NO VIDEO),0.00,0,0
1.70,00_StartPlayback,(NO VIDEO),0.00,0,0
1.81,00_StartPlayback,(NO VIDEO),0.00,0,0
1.92,00_StartPlayback,(NO VIDEO),0.00,0,0
2.04,04_Opening Credits,04_OpeningCredits_Interactive,0.00,0,0
2.15,04_Opening Credits,04_OpeningCredits_Interactive,0.00,0,0
2.26,04_Opening Credits,04_OpeningCredits_Interactive,0.08,0,0
2.37,04_Opening Credits,04_OpeningCredits_Interactive,0.20,0,0
2.48,04_Opening Credits,04_OpeningCredits_Interactive,0.28,0,0
2.59,04_Opening Credits,04_OpeningCredits_Interactive,0.40,0,0
2.70,04_Opening Credits,04_OpeningCredits_Interactive,0.52,0,0
2.81,04_Opening Credits,04_OpeningCredits_Interactive,0.64,0,0
2.93,04_Opening Credits,04_OpeningCredits_Interactive,0.76,0,0
3.04,04_Opening Credits,04_OpeningCredits_Interactive,0.84,0,0
3.15,04_Opening Credits,04_OpeningCredits_Interactive,0.96,0,0
3.26,04_Opening Credits,04_OpeningCredits_Interactive,1.08,0,0
3.38,04_Opening Credits,04_OpeningCredits_Interactive,1.20,0,0
3.48,04_Opening Credits,04_OpeningCredits_Interactive,1.28,0,0
3.59,04_Opening Credits,04_OpeningCredits_Interactive,1.40,0,0
3.70,04_Opening Credits,04_OpeningCredits_Interactive,1.52,0,0
3.82,04_Opening Credits,04_OpeningCredits_Interactive,1.64,0,0
3.93,04_Opening Credits,04_OpeningCredits_Interactive,1.76,0,0
4.04,04_Opening Credits,04_OpeningCredits_Interactive,1.84,0,0
4.16,04_Opening Credits,04_OpeningCredits_Interactive,1.96,0,0
4.27,04_Opening Credits,04_OpeningCredits_Interactive,2.08,0,0
4.38,04_Opening Credits,04_OpeningCredits_Interactive,2.20,0,0
4.48,04_Opening Credits,04_OpeningCredits_Interactive,2.32,0,0
4.60,04_Opening Credits,04_OpeningCredits_Interactive,2.40,0,0
4.71,04_Opening Credits,04_OpeningCredits_Interactive,2.52,0,0
4.82,04_Opening Credits,04_OpeningCredits_Interactive,2.64,0,0
4.93,04_Opening Credits,04_OpeningCredits_Interactive,2.76,0,0
5.05,04_Opening Credits,04_OpeningCredits_Interactive,2.84,0,0
5.16,04_Opening Credits,04_OpeningCredits_Interactive,2.96,0,0
5.27,04_Opening Credits,04_OpeningCredits_Interactive,3.08,0,0
5.38,04_Opening Credits,04_OpeningCredits_Interactive,3.20,0,0
