EMOTIVE VR DATA RECORDING
Date (year-month-day): 2024-03-22
Playback start time: 10:34
Session ID: 


Time from playback start (s),Sequence name,Video clip name,Video time (s),Valence,Arousal
0.04,00_StartPlayback,(NO VIDEO),0.00,0,0
0.14,00_StartPlayback,(NO VIDEO),0.00,0,0
0.24,00_StartPlayback,(NO VIDEO),0.00,0,0
0.34,00_StartPlayback,(NO VIDEO),0.00,0,0
0.45,00_StartPlayback,(NO VIDEO),0.00,0,0
0.54,00_StartPlayback,(NO VIDEO),0.00,0,0
0.64,00_StartPlayback,(NO VIDEO),0.00,0,0
0.75,00_StartPlayback,(NO VIDEO),0.00,0,0
0.85,00_StartPlayback,(NO VIDEO),0.00,0,0
0.95,00_StartPlayback,(NO VIDEO),0.00,0,0
1.05,00_StartPlayback,(NO VIDEO),0.00,0,0
1.15,00_StartPlayback,(NO VIDEO),0.00,0,0
1.25,00_StartPlayback,(NO VIDEO),0.00,0,0
1.35,00_StartPlayback,(NO VIDEO),0.00,0,0
1.45,00_StartPlayback,(NO VIDEO),0.00,0,0
1.55,00_StartPlayback,(NO VIDEO),0.00,0,0
1.65,00_StartPlayback,(NO VIDEO),0.00,0,0
1.75,00_StartPlayback,(NO VIDEO),0.00,0,0
1.85,00_StartPlayback,(NO VIDEO),0.00,0,0
1.95,00_StartPlayback,(NO VIDEO),0.00,0,0
2.05,04_Opening Credits,04_OpeningCredits_Interactive,0.00,0,0
2.15,04_Opening Credits,04_OpeningCredits_Interactive,0.08,0,0
2.25,04_Opening Credits,04_OpeningCredits_Interactive,0.20,0,0
2.36,04_Opening Credits,04_OpeningCredits_Interactive,0.28,0,0
2.46,04_Opening Credits,04_OpeningCredits_Interactive,0.40,0,0
2.55,04_Opening Credits,04_OpeningCredits_Interactive,0.48,0,0
2.66,04_Opening Credits,04_OpeningCredits_Interactive,0.60,0,0
2.76,04_Opening Credits,04_OpeningCredits_Interactive,0.68,0,0
2.86,04_Opening Credits,04_OpeningCredits_Interactive,0.80,0,0
2.96,04_Opening Credits,04_OpeningCredits_Interactive,0.88,0,0
3.06,04_Opening Credits,04_OpeningCredits_Interactive,1.00,0,0
3.16,04_Opening Credits,04_OpeningCredits_Interactive,1.08,0,0
3.26,04_Opening Credits,04_OpeningCredits_Interactive,1.20,0,0
3.36,04_Opening Credits,04_OpeningCredits_Interactive,1.28,0,0
3.46,04_Opening Credits,04_OpeningCredits_Interactive,1.40,0,0
3.56,04_Opening Credits,04_OpeningCredits_Interactive,1.48,0,0
3.66,04_Opening Credits,04_OpeningCredits_Interactive,1.60,0,0
3.77,04_Opening Credits,04_OpeningCredits_Interactive,1.72,0,0
5.22,00_StartPlayback,(NO VIDEO),0.00,0,0
5.32,00_StartPlayback,(NO VIDEO),0.00,0,0
5.43,00_StartPlayback,(NO VIDEO),0.00,0,0
5.53,00_StartPlayback,(NO VIDEO),0.00,0,0
5.63,00_StartPlayback,(NO VIDEO),0.00,0,0
5.73,00_StartPlayback,(NO VIDEO),0.00,0,0
5.83,00_StartPlayback,(NO VIDEO),0.00,0,0
5.93,00_StartPlayback,(NO VIDEO),0.00,0,0
6.03,00_StartPlayback,(NO VIDEO),0.00,0,0
6.13,00_StartPlayback,(NO VIDEO),0.00,0,0
6.23,00_StartPlayback,(NO VIDEO),0.00,0,0
