EMOTIVE VR DATA RECORDING
Date (year-month-day): 2022-07-01
Playback start time: 17:02
Session ID: 


Time from playback start (s),Sequence name,Video clip name,Video time (s),GSR,Arousal peak power
0.09,00_StartPlayback,(NO VIDEO),0.00,0,0
0.20,00_StartPlayback,(NO VIDEO),0.00,0,0
0.30,00_StartPlayback,(NO VIDEO),0.00,0,0
0.42,00_StartPlayback,(NO VIDEO),0.00,0,0
0.53,00_StartPlayback,(NO VIDEO),0.00,0,0
0.64,00_StartPlayback,(NO VIDEO),0.00,0,0
0.75,00_StartPlayback,(NO VIDEO),0.00,0,0
0.86,00_StartPlayback,(NO VIDEO),0.00,0,0
0.98,00_StartPlayback,(NO VIDEO),0.00,0,0
1.09,00_StartPlayback,(NO VIDEO),0.00,0,0
1.20,00_StartPlayback,(NO VIDEO),0.00,0,0
1.31,00_StartPlayback,(NO VIDEO),0.00,0,0
1.42,00_StartPlayback,(NO VIDEO),0.00,0,0
1.53,00_StartPlayback,(NO VIDEO),0.00,0,0
1.64,00_StartPlayback,(NO VIDEO),0.00,0,0
1.75,00_StartPlayback,(NO VIDEO),0.00,0,0
1.87,00_StartPlayback,(NO VIDEO),0.00,0,0
1.98,00_StartPlayback,(NO VIDEO),0.00,0,0
2.09,04_Opening Credits,04_OpeningCredits_Noninteractive,0.00,0,0
2.20,04_Opening Credits,04_OpeningCredits_Noninteractive,0.00,0,0
2.30,04_Opening Credits,04_OpeningCredits_Noninteractive,0.08,0,0
2.41,04_Opening Credits,04_OpeningCredits_Noninteractive,0.16,0,0
2.52,04_Opening Credits,04_OpeningCredits_Noninteractive,0.28,0,0
2.63,04_Opening Credits,04_OpeningCredits_Noninteractive,0.40,0,0
2.74,04_Opening Credits,04_OpeningCredits_Noninteractive,0.52,0,0
2.85,04_Opening Credits,04_OpeningCredits_Noninteractive,0.60,0,0
2.97,04_Opening Credits,04_OpeningCredits_Noninteractive,0.72,0,0
3.08,04_Opening Credits,04_OpeningCredits_Noninteractive,0.84,0,0
3.19,04_Opening Credits,04_OpeningCredits_Noninteractive,0.96,0,0
3.30,04_Opening Credits,04_OpeningCredits_Noninteractive,1.08,0,0
3.41,04_Opening Credits,04_OpeningCredits_Noninteractive,1.16,0,0
3.52,04_Opening Credits,04_OpeningCredits_Noninteractive,1.28,0,0
3.63,04_Opening Credits,04_OpeningCredits_Noninteractive,1.40,0,0
3.75,04_Opening Credits,04_OpeningCredits_Noninteractive,1.52,0,0
3.86,04_Opening Credits,04_OpeningCredits_Noninteractive,1.60,0,0
3.97,04_Opening Credits,04_OpeningCredits_Noninteractive,1.72,0,0
4.08,04_Opening Credits,04_OpeningCredits_Noninteractive,1.84,0,0
4.19,04_Opening Credits,04_OpeningCredits_Noninteractive,1.96,0,0
4.30,04_Opening Credits,04_OpeningCredits_Noninteractive,2.08,0,0
4.41,04_Opening Credits,04_OpeningCredits_Noninteractive,2.16,0,0
4.52,04_Opening Credits,04_OpeningCredits_Noninteractive,2.28,0,0
4.64,04_Opening Credits,04_OpeningCredits_Noninteractive,2.40,0,0
4.75,04_Opening Credits,04_OpeningCredits_Noninteractive,2.52,0,0
4.86,04_Opening Credits,04_OpeningCredits_Noninteractive,2.64,0,0
4.97,04_Opening Credits,04_OpeningCredits_Noninteractive,2.72,0,0
5.09,04_Opening Credits,04_OpeningCredits_Noninteractive,2.84,0,0
5.20,04_Opening Credits,04_OpeningCredits_Noninteractive,2.96,0,0
5.30,04_Opening Credits,04_OpeningCredits_Noninteractive,3.08,0,0
5.41,04_Opening Credits,04_OpeningCredits_Noninteractive,3.16,0,0
5.53,04_Opening Credits,04_OpeningCredits_Noninteractive,3.28,0,0
5.64,04_Opening Credits,04_OpeningCredits_Noninteractive,3.40,0,0
5.75,04_Opening Credits,04_OpeningCredits_Noninteractive,3.52,0,0
5.86,04_Opening Credits,04_OpeningCredits_Noninteractive,3.64,0,0
5.97,04_Opening Credits,04_OpeningCredits_Noninteractive,3.72,0,0
6.09,04_Opening Credits,04_OpeningCredits_Noninteractive,3.84,0,0
6.20,04_Opening Credits,04_OpeningCredits_Noninteractive,3.96,0,0
6.31,04_Opening Credits,04_OpeningCredits_Noninteractive,4.08,0,0
6.42,04_Opening Credits,04_OpeningCredits_Noninteractive,4.16,0,0
6.53,04_Opening Credits,04_OpeningCredits_Noninteractive,4.28,0,0
6.64,04_Opening Credits,04_OpeningCredits_Noninteractive,4.40,0,0
6.75,04_Opening Credits,04_OpeningCredits_Noninteractive,4.52,0,0
6.86,04_Opening Credits,04_OpeningCredits_Noninteractive,4.64,0,0
6.98,04_Opening Credits,04_OpeningCredits_Noninteractive,4.72,0,0
7.09,04_Opening Credits,04_OpeningCredits_Noninteractive,4.84,0,0
7.20,04_Opening Credits,04_OpeningCredits_Noninteractive,4.96,0,0
7.31,04_Opening Credits,04_OpeningCredits_Noninteractive,5.08,0,0
7.42,04_Opening Credits,04_OpeningCredits_Noninteractive,5.20,0,0
7.53,04_Opening Credits,04_OpeningCredits_Noninteractive,5.28,0,0
7.64,04_Opening Credits,04_OpeningCredits_Noninteractive,5.40,0,0
7.75,04_Opening Credits,04_OpeningCredits_Noninteractive,5.52,0,0
7.87,04_Opening Credits,04_OpeningCredits_Noninteractive,5.64,0,0
7.98,04_Opening Credits,04_OpeningCredits_Noninteractive,5.72,0,0
8.09,04_Opening Credits,04_OpeningCredits_Noninteractive,5.84,0,0
8.20,04_Opening Credits,04_OpeningCredits_Noninteractive,5.96,0,0
8.31,04_Opening Credits,04_OpeningCredits_Noninteractive,6.08,0,0
8.42,04_Opening Credits,04_OpeningCredits_Noninteractive,6.20,0,0
8.54,04_Opening Credits,04_OpeningCredits_Noninteractive,6.28,0,0
8.64,04_Opening Credits,04_OpeningCredits_Noninteractive,6.40,0,0
8.76,04_Opening Credits,04_OpeningCredits_Noninteractive,6.52,0,0
8.87,04_Opening Credits,04_OpeningCredits_Noninteractive,6.64,0,0
8.98,04_Opening Credits,04_OpeningCredits_Noninteractive,6.76,0,0
9.10,04_Opening Credits,04_OpeningCredits_Noninteractive,6.84,0,0
9.20,04_Opening Credits,04_OpeningCredits_Noninteractive,6.96,0,0
9.32,04_Opening Credits,04_OpeningCredits_Noninteractive,7.08,0,0
9.43,04_Opening Credits,04_OpeningCredits_Noninteractive,7.20,0,0
9.54,04_Opening Credits,04_OpeningCredits_Noninteractive,7.28,0,0
9.65,04_Opening Credits,04_OpeningCredits_Noninteractive,7.40,0,0
9.76,04_Opening Credits,04_OpeningCredits_Noninteractive,7.52,0,0
9.87,04_Opening Credits,04_OpeningCredits_Noninteractive,7.64,0,0
9.98,04_Opening Credits,04_OpeningCredits_Noninteractive,7.76,0,0
10.09,04_Opening Credits,04_OpeningCredits_Noninteractive,7.84,0,0
10.21,04_Opening Credits,04_OpeningCredits_Noninteractive,7.96,0,0
10.32,04_Opening Credits,04_OpeningCredits_Noninteractive,8.08,0,0
10.43,04_Opening Credits,04_OpeningCredits_Noninteractive,8.20,0,0
10.54,04_Opening Credits,04_OpeningCredits_Noninteractive,8.32,0,0
10.65,04_Opening Credits,04_OpeningCredits_Noninteractive,8.40,0,0
10.76,04_Opening Credits,04_OpeningCredits_Noninteractive,8.52,0,0
10.88,04_Opening Credits,04_OpeningCredits_Noninteractive,8.64,0,0
10.98,04_Opening Credits,04_OpeningCredits_Noninteractive,8.76,0,0
11.10,04_Opening Credits,04_OpeningCredits_Noninteractive,8.84,0,0
11.21,04_Opening Credits,04_OpeningCredits_Noninteractive,8.96,0,0
11.32,04_Opening Credits,04_OpeningCredits_Noninteractive,9.08,0,0
11.43,04_Opening Credits,04_OpeningCredits_Noninteractive,9.20,0,0
11.54,04_Opening Credits,04_OpeningCredits_Noninteractive,9.32,0,0
