EMOTIVE VR DATA RECORDING
Date (year-month-day): 2022-07-01
Playback start time: 13:30
Session ID: 


Time from playback start (s),Sequence name,Video clip name,Video time (s),GSR,Arousal peak power
0.07,00_StartPlayback,(NO VIDEO),0.00,2.5046,0
0.18,00_StartPlayback,(NO VIDEO),0.00,2.4983,0
0.29,00_StartPlayback,(NO VIDEO),0.00,2.494,0
0.40,00_StartPlayback,(NO VIDEO),0.00,2.494,0
0.52,00_StartPlayback,(NO VIDEO),0.00,2.4921,0
0.63,00_StartPlayback,(NO VIDEO),0.00,2.4921,0
0.74,00_StartPlayback,(NO VIDEO),0.00,2.4915,0
0.85,00_StartPlayback,(NO VIDEO),0.00,2.4915,0
0.96,00_StartPlayback,(NO VIDEO),0.00,2.4915,0
1.07,00_StartPlayback,(NO VIDEO),0.00,2.4915,0
1.18,00_StartPlayback,(NO VIDEO),0.00,2.4933,0
1.30,00_StartPlayback,(NO VIDEO),0.00,2.4933,0
1.41,00_StartPlayback,(NO VIDEO),0.00,2.4983,0
1.52,00_StartPlayback,(NO VIDEO),0.00,2.4983,0
1.63,00_StartPlayback,(NO VIDEO),0.00,2.4983,0
1.74,00_StartPlayback,(NO VIDEO),0.00,2.5021,0
1.86,00_StartPlayback,(NO VIDEO),0.00,2.5021,0
1.96,00_StartPlayback,(NO VIDEO),0.00,2.4958,0.01060009
2.08,07_Karl_B,07_Karl_B,0.00,2.0695,0
2.19,07_Karl_B,07_Karl_B,0.00,2.0695,0
2.30,07_Karl_B,07_Karl_B,0.16,2.0673,0
2.41,07_Karl_B,07_Karl_B,0.24,2.0673,0
2.52,07_Karl_B,07_Karl_B,0.36,2.065,0
2.63,07_Karl_B,07_Karl_B,0.48,2.065,0
2.75,07_Karl_B,07_Karl_B,0.60,2.0628,0
2.86,07_Karl_B,07_Karl_B,0.72,2.0628,0
2.97,07_Karl_B,07_Karl_B,0.80,2.0628,0
3.08,07_Karl_B,07_Karl_B,0.92,2.061,0
3.19,07_Karl_B,07_Karl_B,1.04,2.0587,0
3.30,07_Karl_B,07_Karl_B,1.16,2.0587,0
3.41,07_Karl_B,07_Karl_B,1.28,2.057,0
3.53,07_Karl_B,07_Karl_B,1.36,2.057,0
3.64,07_Karl_B,07_Karl_B,1.48,2.0547,0
3.75,07_Karl_B,07_Karl_B,1.60,2.0547,0
3.86,07_Karl_B,07_Karl_B,1.72,2.0547,0
3.97,07_Karl_B,07_Karl_B,1.80,2.0525,0
4.08,07_Karl_B,07_Karl_B,1.92,2.0503,0
4.20,07_Karl_B,07_Karl_B,2.04,2.0503,0
4.30,07_Karl_B,07_Karl_B,2.16,2.0481,0
4.42,07_Karl_B,07_Karl_B,2.28,2.0481,0
4.53,07_Karl_B,07_Karl_B,2.36,2.0481,0
4.64,07_Karl_B,07_Karl_B,2.48,2.0463,0
4.75,07_Karl_B,07_Karl_B,2.60,2.0463,0
4.86,07_Karl_B,07_Karl_B,2.72,2.0446,0
4.97,07_Karl_B,07_Karl_B,2.84,2.0428,0
5.09,07_Karl_B,07_Karl_B,2.92,2.0428,0
5.20,07_Karl_B,07_Karl_B,3.04,2.0428,0
5.31,07_Karl_B,07_Karl_B,3.16,2.041,0
5.42,07_Karl_B,07_Karl_B,3.28,2.041,0
5.53,07_Karl_B,07_Karl_B,3.36,2.0393,0
5.64,07_Karl_B,07_Karl_B,3.48,2.0393,0
5.75,07_Karl_B,07_Karl_B,3.60,2.038,0
5.86,07_Karl_B,07_Karl_B,3.72,2.038,0
5.98,07_Karl_B,07_Karl_B,3.84,2.038,0
6.09,07_Karl_B,07_Karl_B,3.92,2.0371,0
6.20,07_Karl_B,07_Karl_B,4.04,2.0358,0
6.31,07_Karl_B,07_Karl_B,4.16,2.0358,0
6.42,07_Karl_B,07_Karl_B,4.28,2.0353,0
6.54,07_Karl_B,07_Karl_B,4.36,2.0353,0
6.64,07_Karl_B,07_Karl_B,4.48,2.0353,0
6.76,07_Karl_B,07_Karl_B,4.60,2.0353,0
6.87,07_Karl_B,07_Karl_B,4.72,2.0353,0
6.98,07_Karl_B,07_Karl_B,4.84,2.0349,0
7.09,07_Karl_B,07_Karl_B,4.92,2.034,0
7.20,07_Karl_B,07_Karl_B,5.04,2.034,0
7.31,07_Karl_B,07_Karl_B,5.16,2.0327,0
7.43,07_Karl_B,07_Karl_B,5.28,2.0327,0
7.54,07_Karl_B,07_Karl_B,5.40,2.0327,0
7.65,07_Karl_B,07_Karl_B,5.48,2.031,0
7.76,07_Karl_B,07_Karl_B,5.60,2.031,0
7.87,07_Karl_B,07_Karl_B,5.72,2.0283,0
7.98,07_Karl_B,07_Karl_B,5.84,2.0257,0
8.09,07_Karl_B,07_Karl_B,5.92,2.0257,0
8.20,07_Karl_B,07_Karl_B,6.04,2.0257,0
8.32,07_Karl_B,07_Karl_B,6.16,2.0231,0
8.43,07_Karl_B,07_Karl_B,6.28,2.0231,0
8.54,07_Karl_B,07_Karl_B,6.40,2.021,0
8.65,07_Karl_B,07_Karl_B,6.48,2.021,0
8.76,07_Karl_B,07_Karl_B,6.60,2.0184,0
8.87,07_Karl_B,07_Karl_B,6.72,2.0184,0
8.98,07_Karl_B,07_Karl_B,6.84,2.0162,0
9.09,07_Karl_B,07_Karl_B,6.96,2.0162,0
9.21,07_Karl_B,07_Karl_B,7.04,2.0136,0
9.32,07_Karl_B,07_Karl_B,7.16,2.0136,0
9.43,07_Karl_B,07_Karl_B,7.28,2.0115,0
9.54,07_Karl_B,07_Karl_B,7.40,2.0115,0
9.65,07_Karl_B,07_Karl_B,7.48,2.0098,0
9.76,07_Karl_B,07_Karl_B,7.60,2.0098,0
9.88,07_Karl_B,07_Karl_B,7.72,2.0098,0
9.98,07_Karl_B,07_Karl_B,7.84,2.0098,0
10.10,07_Karl_B,07_Karl_B,7.96,2.0154,0
10.21,07_Karl_B,07_Karl_B,8.04,2.0154,0
10.32,07_Karl_B,07_Karl_B,8.16,2.0301,0
10.43,07_Karl_B,07_Karl_B,8.28,2.0301,0
10.54,07_Karl_B,07_Karl_B,8.40,2.0301,0
10.66,07_Karl_B,07_Karl_B,8.52,2.0583,0
10.77,07_Karl_B,07_Karl_B,8.60,2.0583,0
10.88,07_Karl_B,07_Karl_B,8.72,2.1,0
10.99,07_Karl_B,07_Karl_B,8.84,2.1524,0
11.10,07_Karl_B,07_Karl_B,8.96,2.1524,0
11.21,07_Karl_B,07_Karl_B,9.04,2.1524,0
11.32,07_Karl_B,07_Karl_B,9.16,2.205,0
11.43,07_Karl_B,07_Karl_B,9.28,2.205,0
11.54,07_Karl_B,07_Karl_B,9.40,2.2515,0
11.66,07_Karl_B,07_Karl_B,9.52,2.2515,0
11.77,07_Karl_B,07_Karl_B,9.60,2.2853,0
11.88,07_Karl_B,07_Karl_B,9.72,2.3019,0
11.99,07_Karl_B,07_Karl_B,9.84,2.3019,0
12.10,07_Karl_B,07_Karl_B,9.96,2.3019,0
12.21,07_Karl_B,07_Karl_B,10.04,2.3068,0
12.32,07_Karl_B,07_Karl_B,10.16,2.3068,0
12.44,07_Karl_B,07_Karl_B,10.28,2.3003,0.2969999
12.55,07_Karl_B,07_Karl_B,10.40,2.3003,0
12.66,07_Karl_B,07_Karl_B,10.52,2.2906,0
12.77,07_Karl_B,07_Karl_B,10.64,2.2906,0
12.88,07_Karl_B,07_Karl_B,10.72,2.2831,0
12.99,07_Karl_B,07_Karl_B,10.84,2.2831,0
13.10,07_Karl_B,07_Karl_B,10.96,2.273,0
13.21,07_Karl_B,07_Karl_B,11.08,2.273,0
13.32,07_Karl_B,07_Karl_B,11.16,2.2636,0
13.44,07_Karl_B,07_Karl_B,11.28,2.2636,0
13.54,07_Karl_B,07_Karl_B,11.40,2.2636,0
13.64,07_Karl_B,07_Karl_B,11.48,2.2526,0
13.76,07_Karl_B,07_Karl_B,11.60,2.2526,0
13.87,07_Karl_B,07_Karl_B,11.72,2.2381,0
13.98,07_Karl_B,07_Karl_B,11.84,2.2288,0
14.09,07_Karl_B,07_Karl_B,11.92,2.2288,0
14.20,07_Karl_B,07_Karl_B,12.04,2.2247,0
14.30,07_Karl_B,07_Karl_B,12.16,2.2247,0
14.41,07_Karl_B,07_Karl_B,12.24,2.2247,0
14.51,07_Karl_B,07_Karl_B,12.36,2.2258,0
14.62,07_Karl_B,07_Karl_B,12.48,2.2258,0
14.73,07_Karl_B,07_Karl_B,12.56,2.2381,0
14.84,07_Karl_B,07_Karl_B,12.68,2.2381,0
14.94,07_Karl_B,07_Karl_B,12.80,2.2636,0
15.05,07_Karl_B,07_Karl_B,12.88,2.2636,0
15.15,07_Karl_B,07_Karl_B,13.00,2.2636,0
15.26,07_Karl_B,07_Karl_B,13.12,2.2987,0
15.37,07_Karl_B,07_Karl_B,13.20,2.2987,0
15.48,07_Karl_B,07_Karl_B,13.32,2.3448,0
15.58,07_Karl_B,07_Karl_B,13.44,2.3805,0
15.69,07_Karl_B,07_Karl_B,13.52,2.3805,0
15.80,07_Karl_B,07_Karl_B,13.64,2.3805,0
15.91,07_Karl_B,07_Karl_B,13.76,2.3989,0
16.02,07_Karl_B,07_Karl_B,13.88,2.3989,0
16.13,07_Karl_B,07_Karl_B,13.96,2.3989,0
16.25,07_Karl_B,07_Karl_B,14.08,2.3989,0
16.36,07_Karl_B,07_Karl_B,14.20,2.3747,0.1742001
16.46,07_Karl_B,07_Karl_B,14.32,2.3747,0
16.57,07_Karl_B,07_Karl_B,14.40,2.3747,0
16.68,07_Karl_B,07_Karl_B,14.52,2.3482,0
16.79,07_Karl_B,07_Karl_B,14.64,2.3243,0
16.90,07_Karl_B,07_Karl_B,14.76,2.3243,0
17.00,07_Karl_B,07_Karl_B,14.84,2.3123,0
17.11,07_Karl_B,07_Karl_B,14.96,2.3123,0
17.22,07_Karl_B,07_Karl_B,15.08,2.3068,0
17.33,07_Karl_B,07_Karl_B,15.16,2.3068,0
17.45,07_Karl_B,07_Karl_B,15.28,2.3068,0
17.54,07_Karl_B,07_Karl_B,15.40,2.3014,0
17.65,07_Karl_B,07_Karl_B,15.48,2.3014,0
17.75,07_Karl_B,07_Karl_B,15.60,2.2992,0
17.86,07_Karl_B,07_Karl_B,15.72,2.2992,0
17.97,07_Karl_B,07_Karl_B,15.80,2.2976,0
18.08,07_Karl_B,07_Karl_B,15.92,2.2976,0
18.18,07_Karl_B,07_Karl_B,16.04,2.2998,0
18.29,07_Karl_B,07_Karl_B,16.16,2.2998,0
18.40,07_Karl_B,07_Karl_B,16.24,2.3009,0
18.51,07_Karl_B,07_Karl_B,16.36,2.3009,0
18.63,07_Karl_B,07_Karl_B,16.48,2.3014,0
18.74,07_Karl_B,07_Karl_B,16.60,2.3014,0
18.85,07_Karl_B,07_Karl_B,16.68,2.3014,0
18.96,07_Karl_B,07_Karl_B,16.80,2.3009,0.003799915
19.07,07_Karl_B,07_Karl_B,16.92,2.3009,0
19.18,07_Karl_B,07_Karl_B,17.04,2.3144,0
19.30,07_Karl_B,07_Karl_B,17.16,2.3685,0
19.41,07_Karl_B,07_Karl_B,17.24,2.3685,0
19.52,07_Karl_B,07_Karl_B,17.36,2.4644,0
19.63,07_Karl_B,07_Karl_B,17.48,2.4644,0
19.73,07_Karl_B,07_Karl_B,17.56,2.4644,0
19.84,07_Karl_B,07_Karl_B,17.68,2.5958,0
19.95,07_Karl_B,07_Karl_B,17.80,2.5958,0
20.06,07_Karl_B,07_Karl_B,17.92,2.7474,0
20.18,07_Karl_B,07_Karl_B,18.04,2.7474,0
20.29,07_Karl_B,07_Karl_B,18.12,2.8757,0
20.40,07_Karl_B,07_Karl_B,18.24,2.8757,0
20.51,07_Karl_B,07_Karl_B,18.36,2.9637,0
20.62,07_Karl_B,07_Karl_B,18.48,2.9637,0
20.73,07_Karl_B,07_Karl_B,18.56,3.0091,0
20.84,07_Karl_B,07_Karl_B,18.68,3.0091,0
20.96,07_Karl_B,07_Karl_B,18.80,3.0135,0
21.07,07_Karl_B,07_Karl_B,18.92,3.0135,0
21.18,07_Karl_B,07_Karl_B,19.04,2.9901,0.7126
21.29,07_Karl_B,07_Karl_B,19.12,2.9901,0
21.39,07_Karl_B,07_Karl_B,19.24,2.9511,0
21.50,07_Karl_B,07_Karl_B,19.36,2.9511,0
21.61,07_Karl_B,07_Karl_B,19.44,2.9064,0
21.71,07_Karl_B,07_Karl_B,19.56,2.9064,0
21.82,07_Karl_B,07_Karl_B,19.68,2.9064,0
21.93,07_Karl_B,07_Karl_B,19.76,2.8646,0
22.04,07_Karl_B,07_Karl_B,19.88,2.8646,0
22.15,07_Karl_B,07_Karl_B,20.00,2.8253,0
22.27,07_Karl_B,07_Karl_B,20.12,2.8253,0
22.38,07_Karl_B,07_Karl_B,20.24,2.7908,0
22.47,07_Karl_B,07_Karl_B,20.32,2.7577,0
22.58,07_Karl_B,07_Karl_B,20.44,2.7577,0
22.70,07_Karl_B,07_Karl_B,20.56,2.7577,0
22.80,07_Karl_B,07_Karl_B,20.64,2.729,0
22.92,07_Karl_B,07_Karl_B,20.76,2.729,0
23.03,07_Karl_B,07_Karl_B,20.88,2.7044,0
23.14,07_Karl_B,07_Karl_B,21.00,2.7044,0
23.24,07_Karl_B,07_Karl_B,21.08,2.6831,0
23.35,07_Karl_B,07_Karl_B,21.20,2.6831,0
23.46,07_Karl_B,07_Karl_B,21.32,2.6831,0
23.57,07_Karl_B,07_Karl_B,21.40,2.6655,0
23.68,07_Karl_B,07_Karl_B,21.52,2.6509,0
23.79,07_Karl_B,07_Karl_B,21.64,2.6509,0
23.91,07_Karl_B,07_Karl_B,21.76,2.6384,0
24.00,07_Karl_B,07_Karl_B,21.84,2.6384,0
24.11,07_Karl_B,07_Karl_B,21.96,2.6384,0
24.23,07_Karl_B,07_Karl_B,22.08,2.6268,0
24.34,07_Karl_B,07_Karl_B,22.20,2.6268,0
24.45,07_Karl_B,07_Karl_B,22.28,2.6159,0
24.56,07_Karl_B,07_Karl_B,22.40,2.6159,0
24.67,07_Karl_B,07_Karl_B,22.52,2.6051,0
24.77,07_Karl_B,07_Karl_B,22.60,2.6051,0
24.88,07_Karl_B,07_Karl_B,22.72,2.5958,0
24.99,07_Karl_B,07_Karl_B,22.84,2.5958,0
25.10,07_Karl_B,07_Karl_B,22.96,2.5918,0
25.21,07_Karl_B,07_Karl_B,23.08,2.5918,0
25.32,07_Karl_B,07_Karl_B,23.16,2.6011,0
25.44,07_Karl_B,07_Karl_B,23.28,2.6011,0
25.54,07_Karl_B,07_Karl_B,23.40,2.6254,0
25.64,07_Karl_B,07_Karl_B,23.48,2.6254,0
25.76,07_Karl_B,07_Karl_B,23.60,2.6254,0
25.87,07_Karl_B,07_Karl_B,23.72,2.6697,0
25.98,07_Karl_B,07_Karl_B,23.84,2.7312,0
26.09,07_Karl_B,07_Karl_B,23.92,2.7312,0
26.20,07_Karl_B,07_Karl_B,24.04,2.7976,0
26.30,07_Karl_B,07_Karl_B,24.16,2.7976,0
26.41,07_Karl_B,07_Karl_B,24.24,2.7976,0
26.52,07_Karl_B,07_Karl_B,24.36,2.8662,0
26.63,07_Karl_B,07_Karl_B,24.48,2.8662,0
26.75,07_Karl_B,07_Karl_B,24.60,2.9245,0
26.86,07_Karl_B,07_Karl_B,24.72,2.9245,0
26.97,07_Karl_B,07_Karl_B,24.80,2.9663,0
27.07,07_Karl_B,07_Karl_B,24.92,2.9663,0
27.18,07_Karl_B,07_Karl_B,25.04,2.9663,0
27.29,07_Karl_B,07_Karl_B,25.12,2.9944,0
27.40,07_Karl_B,07_Karl_B,25.24,3.0082,0
27.51,07_Karl_B,07_Karl_B,25.36,3.0082,0
27.63,07_Karl_B,07_Karl_B,25.48,3.0126,0
27.73,07_Karl_B,07_Karl_B,25.56,3.0126,0
27.83,07_Karl_B,07_Karl_B,25.68,3.0161,0
27.95,07_Karl_B,07_Karl_B,25.80,3.0161,0
28.05,07_Karl_B,07_Karl_B,25.88,3.0161,0
28.16,07_Karl_B,07_Karl_B,26.00,3.0274,0
28.28,07_Karl_B,07_Karl_B,26.12,3.0274,0
28.39,07_Karl_B,07_Karl_B,26.24,3.0531,0
28.50,07_Karl_B,07_Karl_B,26.36,3.0918,0
28.60,07_Karl_B,07_Karl_B,26.44,3.0918,0
28.71,07_Karl_B,07_Karl_B,26.56,3.0918,0
28.82,07_Karl_B,07_Karl_B,26.68,3.138,0
28.93,07_Karl_B,07_Karl_B,26.76,3.138,0
29.04,07_Karl_B,07_Karl_B,26.88,3.1835,0
29.16,07_Karl_B,07_Karl_B,27.00,3.1835,0
29.27,07_Karl_B,07_Karl_B,27.12,3.2184,0
29.38,07_Karl_B,07_Karl_B,27.24,3.2184,0
29.49,07_Karl_B,07_Karl_B,27.32,3.2381,0
29.60,07_Karl_B,07_Karl_B,27.44,3.2381,0
29.71,07_Karl_B,07_Karl_B,27.56,3.2421,0
29.82,07_Karl_B,07_Karl_B,27.68,3.2421,0
29.94,07_Karl_B,07_Karl_B,27.80,3.2322,0.6503
30.05,07_Karl_B,07_Karl_B,27.88,3.2322,0
30.16,07_Karl_B,07_Karl_B,28.00,3.2322,0
30.27,07_Karl_B,07_Karl_B,28.12,3.2106,0
30.38,07_Karl_B,07_Karl_B,28.24,3.1883,0
30.50,07_Karl_B,07_Karl_B,28.36,3.1883,0
