EMOTIVE VR DATA RECORDING
Date (year-month-day): 2024-02-06
Playback start time: 18:51
Session ID: 


Time from playback start (s),Sequence name,Video clip name,Video time (s),Valence,Arousal
0.05,00_StartPlayback,(NO VIDEO),0.00,0,0
0.16,00_StartPlayback,(NO VIDEO),0.00,0,0
0.26,00_StartPlayback,(NO VIDEO),0.00,0,0
0.35,00_StartPlayback,(NO VIDEO),0.00,0,0
0.45,00_StartPlayback,(NO VIDEO),0.00,0,0
0.55,00_StartPlayback,(NO VIDEO),0.00,0,0
0.66,00_StartPlayback,(NO VIDEO),0.00,0,0
0.76,00_StartPlayback,(NO VIDEO),0.00,0,0
0.86,00_StartPlayback,(NO VIDEO),0.00,0,0
0.96,00_StartPlayback,(NO VIDEO),0.00,0,0
1.05,00_StartPlayback,(NO VIDEO),0.00,0,0
1.16,00_StartPlayback,(NO VIDEO),0.00,0,0
1.26,00_StartPlayback,(NO VIDEO),0.00,0,0
1.36,00_StartPlayback,(NO VIDEO),0.00,0,0
1.46,00_StartPlayback,(NO VIDEO),0.00,0,0
1.56,00_StartPlayback,(NO VIDEO),0.00,0,0
1.66,00_StartPlayback,(NO VIDEO),0.00,0,0
1.76,00_StartPlayback,(NO VIDEO),0.00,0,0
1.86,00_StartPlayback,(NO VIDEO),0.00,0,0
1.96,00_StartPlayback,(NO VIDEO),0.00,0,0
2.06,04_Opening Credits,04_OpeningCredits_Interactive,0.00,0,0
2.16,04_Opening Credits,04_OpeningCredits_Interactive,0.00,0,0
2.27,04_Opening Credits,04_OpeningCredits_Interactive,0.12,0,0
2.37,04_Opening Credits,04_OpeningCredits_Interactive,0.20,0,0
2.47,04_Opening Credits,04_OpeningCredits_Interactive,0.32,0,0
2.57,04_Opening Credits,04_OpeningCredits_Interactive,0.40,0,0
2.67,04_Opening Credits,04_OpeningCredits_Interactive,0.52,0,0
2.77,04_Opening Credits,04_OpeningCredits_Interactive,0.60,0,0
2.87,04_Opening Credits,04_OpeningCredits_Interactive,0.72,0,0
2.97,04_Opening Credits,04_OpeningCredits_Interactive,0.80,0,0
3.07,04_Opening Credits,04_OpeningCredits_Interactive,0.92,0,0
3.17,04_Opening Credits,04_OpeningCredits_Interactive,1.04,0,0
3.27,04_Opening Credits,04_OpeningCredits_Interactive,1.12,0,0
3.38,04_Opening Credits,04_OpeningCredits_Interactive,1.24,0,0
3.48,04_Opening Credits,04_OpeningCredits_Interactive,1.32,0,0
3.59,04_Opening Credits,04_OpeningCredits_Interactive,1.44,0,0
3.69,04_Opening Credits,04_OpeningCredits_Interactive,1.52,0,0
3.79,04_Opening Credits,04_OpeningCredits_Interactive,1.64,0,0
3.88,04_Opening Credits,04_OpeningCredits_Interactive,1.72,0,0
3.98,04_Opening Credits,04_OpeningCredits_Interactive,1.84,0,0
4.09,04_Opening Credits,04_OpeningCredits_Interactive,1.92,0,0
4.19,04_Opening Credits,04_OpeningCredits_Interactive,2.04,0,0
4.29,04_Opening Credits,04_OpeningCredits_Interactive,2.12,0,0
4.39,04_Opening Credits,04_OpeningCredits_Interactive,2.24,0,0
4.49,04_Opening Credits,04_OpeningCredits_Interactive,2.32,0,0
4.59,04_Opening Credits,04_OpeningCredits_Interactive,2.44,0,0
4.69,04_Opening Credits,04_OpeningCredits_Interactive,2.52,0,0
4.79,04_Opening Credits,04_OpeningCredits_Interactive,2.64,0,0
