EMOTIVE VR DATA RECORDING
Date (year-month-day): 2023-10-21
Playback start time: 22:46
Session ID: 


Time from playback start (s),Sequence name,Video clip name,Video time (s),Valence,Arousal
0.08,00_StartPlayback,(NO VIDEO),0.00,0,0
0.18,00_StartPlayback,(NO VIDEO),0.00,0,0
0.28,00_StartPlayback,(NO VIDEO),0.00,0,0
0.38,00_StartPlayback,(NO VIDEO),0.00,0,0
0.48,00_StartPlayback,(NO VIDEO),0.00,0,0
0.58,00_StartPlayback,(NO VIDEO),0.00,0,0
0.68,00_StartPlayback,(NO VIDEO),0.00,0,0
0.78,00_StartPlayback,(NO VIDEO),0.00,0,0
0.88,00_StartPlayback,(NO VIDEO),0.00,0,0
0.98,00_StartPlayback,(NO VIDEO),0.00,0,0
1.09,00_StartPlayback,(NO VIDEO),0.00,0,0
1.19,00_StartPlayback,(NO VIDEO),0.00,0,0
1.29,00_StartPlayback,(NO VIDEO),0.00,0,0
1.38,00_StartPlayback,(NO VIDEO),0.00,0,0
1.49,00_StartPlayback,(NO VIDEO),0.00,0,0
1.59,00_StartPlayback,(NO VIDEO),0.00,0,0
1.69,00_StartPlayback,(NO VIDEO),0.00,0,0
1.79,00_StartPlayback,(NO VIDEO),0.00,0,0
1.89,00_StartPlayback,(NO VIDEO),0.00,0,0
1.99,00_StartPlayback,(NO VIDEO),0.00,0,0
2.09,07_Freud_B,07_Freud_B,0.00,0,0
2.20,07_Freud_B,07_Freud_B,0.12,0,0
2.30,07_Freud_B,07_Freud_B,0.20,0,0
2.39,07_Freud_B,07_Freud_B,0.32,0,0
2.49,07_Freud_B,07_Freud_B,0.40,0,0
2.59,07_Freud_B,07_Freud_B,0.52,0,0
2.70,07_Freud_B,07_Freud_B,0.60,0,0
2.80,07_Freud_B,07_Freud_B,0.72,0,0
2.90,07_Freud_B,07_Freud_B,0.80,0,0
3.00,07_Freud_B,07_Freud_B,0.92,0,0
3.09,07_Freud_B,07_Freud_B,1.00,0,0
3.20,07_Freud_B,07_Freud_B,1.12,0,0
3.30,07_Freud_B,07_Freud_B,1.20,0,0
3.40,07_Freud_B,07_Freud_B,1.32,0,0
3.50,07_Freud_B,07_Freud_B,1.44,0,0
3.60,07_Freud_B,07_Freud_B,1.52,0,0
3.70,07_Freud_B,07_Freud_B,1.64,0,0
3.80,07_Freud_B,07_Freud_B,1.72,0,0
3.91,07_Freud_B,07_Freud_B,1.84,0,0
4.00,07_Freud_B,07_Freud_B,1.92,0,0
4.10,07_Freud_B,07_Freud_B,2.04,0,0
4.20,07_Freud_B,07_Freud_B,2.12,0,0
4.30,07_Freud_B,07_Freud_B,2.24,0,0
4.41,07_Freud_B,07_Freud_B,2.32,0,0
4.50,07_Freud_B,07_Freud_B,2.44,0,0
4.60,07_Freud_B,07_Freud_B,2.52,0,0
4.70,07_Freud_B,07_Freud_B,2.64,0,0
4.80,07_Freud_B,07_Freud_B,2.72,0,0
4.91,07_Freud_B,07_Freud_B,2.84,0,0
5.01,07_Freud_B,07_Freud_B,2.92,0,0
5.11,07_Freud_B,07_Freud_B,3.04,0,0
5.20,07_Freud_B,07_Freud_B,3.12,0,0
5.30,07_Freud_B,07_Freud_B,3.24,0,0
5.41,07_Freud_B,07_Freud_B,3.32,0,0
5.51,07_Freud_B,07_Freud_B,3.44,0,0
5.61,07_Freud_B,07_Freud_B,3.52,0,0
5.71,07_Freud_B,07_Freud_B,3.64,0,0
5.81,07_Freud_B,07_Freud_B,3.72,0,0
5.91,07_Freud_B,07_Freud_B,3.84,0,0
6.02,07_Freud_B,07_Freud_B,3.92,0,0
6.12,07_Freud_B,07_Freud_B,4.04,0,0
6.22,07_Freud_B,07_Freud_B,4.12,0,0
6.32,07_Freud_B,07_Freud_B,4.24,0,0
6.42,07_Freud_B,07_Freud_B,4.32,0,0
6.52,07_Freud_B,07_Freud_B,4.44,0,0
6.62,07_Freud_B,07_Freud_B,4.56,0,0
6.72,07_Freud_B,07_Freud_B,4.64,0,0
6.82,07_Freud_B,07_Freud_B,4.76,0,0
6.92,07_Freud_B,07_Freud_B,4.84,0,0
7.02,07_Freud_B,07_Freud_B,4.96,0,0
