EMOTIVE VR DATA RECORDING
Date (year-month-day): 2023-10-21
Playback start time: 20:03
Session ID: 


Time from playback start (s),Sequence name,Video clip name,Video time (s),GSR,Arousal peak power
0.04,00_StartPlayback,(NO VIDEO),0.00,0,0
0.14,00_StartPlayback,(NO VIDEO),0.00,0,0
0.24,00_StartPlayback,(NO VIDEO),0.00,0,0
0.34,00_StartPlayback,(NO VIDEO),0.00,0,0
0.44,00_StartPlayback,(NO VIDEO),0.00,0,0
0.54,00_StartPlayback,(NO VIDEO),0.00,0,0
0.64,00_StartPlayback,(NO VIDEO),0.00,0,0
0.74,00_StartPlayback,(NO VIDEO),0.00,0,0
0.84,00_StartPlayback,(NO VIDEO),0.00,0,0
0.95,00_StartPlayback,(NO VIDEO),0.00,0,0
1.04,00_StartPlayback,(NO VIDEO),0.00,0,0
1.14,00_StartPlayback,(NO VIDEO),0.00,0,0
1.24,00_StartPlayback,(NO VIDEO),0.00,0,0
1.34,00_StartPlayback,(NO VIDEO),0.00,0,0
1.45,00_StartPlayback,(NO VIDEO),0.00,0,0
1.55,00_StartPlayback,(NO VIDEO),0.00,0,0
1.64,00_StartPlayback,(NO VIDEO),0.00,0,0
1.74,00_StartPlayback,(NO VIDEO),0.00,0,0
1.84,00_StartPlayback,(NO VIDEO),0.00,0,0
1.95,00_StartPlayback,(NO VIDEO),0.00,0,0
2.05,04_Opening Credits,04_OpeningCredits_Interactive,0.00,0,0
2.15,04_Opening Credits,04_OpeningCredits_Interactive,0.00,0,0
2.25,04_Opening Credits,04_OpeningCredits_Interactive,0.00,0,0
2.34,04_Opening Credits,04_OpeningCredits_Interactive,0.16,0,0
2.45,04_Opening Credits,04_OpeningCredits_Interactive,0.24,0,0
2.55,04_Opening Credits,04_OpeningCredits_Interactive,0.36,0,0
2.65,04_Opening Credits,04_OpeningCredits_Interactive,0.44,0,0
2.75,04_Opening Credits,04_OpeningCredits_Interactive,0.56,0,0
2.85,04_Opening Credits,04_OpeningCredits_Interactive,0.68,0,0
