EMOTIVE VR DATA RECORDING
Date (year-month-day): 2022-07-01
Playback start time: 15:03
Session ID: 


Time from playback start (s),Sequence name,Video clip name,Video time (s),GSR,Arousal peak power
0.09,00_StartPlayback,(NO VIDEO),0.00,2.7298,0
0.20,00_StartPlayback,(NO VIDEO),0.00,2.716,0
0.30,00_StartPlayback,(NO VIDEO),0.00,2.716,0
0.42,00_StartPlayback,(NO VIDEO),0.00,2.7102,0
0.53,00_StartPlayback,(NO VIDEO),0.00,2.7102,0
0.64,00_StartPlayback,(NO VIDEO),0.00,2.6902,0
0.75,00_StartPlayback,(NO VIDEO),0.00,2.6902,0
0.86,00_StartPlayback,(NO VIDEO),0.00,2.6824,0
0.97,00_StartPlayback,(NO VIDEO),0.00,2.6824,0
1.09,00_StartPlayback,(NO VIDEO),0.00,2.676,0
1.20,00_StartPlayback,(NO VIDEO),0.00,2.676,0
1.29,00_StartPlayback,(NO VIDEO),0.00,2.6481,0
1.41,00_StartPlayback,(NO VIDEO),0.00,2.6481,0
1.52,00_StartPlayback,(NO VIDEO),0.00,2.6261,0
1.63,00_StartPlayback,(NO VIDEO),0.00,2.6261,0
1.74,00_StartPlayback,(NO VIDEO),0.00,2.6261,0
1.85,00_StartPlayback,(NO VIDEO),0.00,2.6099,0
1.96,00_StartPlayback,(NO VIDEO),0.00,2.6099,0
2.06,04_Opening Credits,04_OpeningCredits_Noninteractive,0.00,2.618,0
2.17,04_Opening Credits,04_OpeningCredits_Noninteractive,0.00,2.618,0
2.28,04_Opening Credits,04_OpeningCredits_Noninteractive,0.12,2.6453,0
2.38,04_Opening Credits,04_OpeningCredits_Noninteractive,0.24,2.6453,0
2.49,04_Opening Credits,04_OpeningCredits_Noninteractive,0.32,2.6704,0
2.60,04_Opening Credits,04_OpeningCredits_Noninteractive,0.44,2.6704,0
2.71,04_Opening Credits,04_OpeningCredits_Noninteractive,0.56,2.6987,0
2.82,04_Opening Credits,04_OpeningCredits_Noninteractive,0.68,2.6987,0
2.93,04_Opening Credits,04_OpeningCredits_Noninteractive,0.80,2.7109,0
3.05,04_Opening Credits,04_OpeningCredits_Noninteractive,0.88,2.7109,0
3.14,04_Opening Credits,04_OpeningCredits_Noninteractive,1.00,2.7167,0
3.25,04_Opening Credits,04_OpeningCredits_Noninteractive,1.12,2.7167,0
3.37,04_Opening Credits,04_OpeningCredits_Noninteractive,1.20,2.7167,0
3.48,04_Opening Credits,04_OpeningCredits_Noninteractive,1.32,2.721,0
3.59,04_Opening Credits,04_OpeningCredits_Noninteractive,1.44,2.7218,0
3.70,04_Opening Credits,04_OpeningCredits_Noninteractive,1.56,2.7218,0
3.81,04_Opening Credits,04_OpeningCredits_Noninteractive,1.68,2.7283,0
3.91,04_Opening Credits,04_OpeningCredits_Noninteractive,1.76,2.7283,0
4.02,04_Opening Credits,04_OpeningCredits_Noninteractive,1.88,2.7283,0
4.13,04_Opening Credits,04_OpeningCredits_Noninteractive,2.00,2.7371,0
4.24,04_Opening Credits,04_OpeningCredits_Noninteractive,2.08,2.7371,0
4.36,04_Opening Credits,04_OpeningCredits_Noninteractive,2.20,2.7503,0
4.47,04_Opening Credits,04_OpeningCredits_Noninteractive,2.32,2.7503,0
4.58,04_Opening Credits,04_OpeningCredits_Noninteractive,2.44,2.754,0
4.68,04_Opening Credits,04_OpeningCredits_Noninteractive,2.52,2.754,0
4.79,04_Opening Credits,04_OpeningCredits_Noninteractive,2.64,2.7555,0
4.90,04_Opening Credits,04_OpeningCredits_Noninteractive,2.76,2.7555,0
5.01,04_Opening Credits,04_OpeningCredits_Noninteractive,2.84,2.7526,0.1456001
5.12,04_Opening Credits,04_OpeningCredits_Noninteractive,2.96,2.7526,0
5.23,04_Opening Credits,04_OpeningCredits_Noninteractive,3.08,2.7363,0
5.34,04_Opening Credits,04_OpeningCredits_Noninteractive,3.20,2.7363,0
5.44,04_Opening Credits,04_OpeningCredits_Noninteractive,3.28,2.7363,0
5.55,04_Opening Credits,04_OpeningCredits_Noninteractive,3.40,2.7268,0
5.66,04_Opening Credits,04_OpeningCredits_Noninteractive,3.52,2.7268,0
5.78,04_Opening Credits,04_OpeningCredits_Noninteractive,3.64,2.7239,0
5.89,04_Opening Credits,04_OpeningCredits_Noninteractive,3.72,2.7268,0
6.00,04_Opening Credits,04_OpeningCredits_Noninteractive,3.84,2.7268,0
6.11,04_Opening Credits,04_OpeningCredits_Noninteractive,3.96,2.721,0.002899885
6.21,04_Opening Credits,04_OpeningCredits_Noninteractive,4.08,2.721,0
6.32,04_Opening Credits,04_OpeningCredits_Noninteractive,4.16,2.721,0
6.43,04_Opening Credits,04_OpeningCredits_Noninteractive,4.28,2.7124,0
6.54,04_Opening Credits,04_OpeningCredits_Noninteractive,4.40,2.7124,0
6.65,04_Opening Credits,04_OpeningCredits_Noninteractive,4.52,2.7001,0
6.77,04_Opening Credits,04_OpeningCredits_Noninteractive,4.60,2.7001,0
6.88,04_Opening Credits,04_OpeningCredits_Noninteractive,4.72,2.6824,0
6.97,04_Opening Credits,04_OpeningCredits_Noninteractive,4.84,2.6824,0
7.10,04_Opening Credits,04_OpeningCredits_Noninteractive,4.96,2.6746,0
7.21,04_Opening Credits,04_OpeningCredits_Noninteractive,5.04,2.6746,0
7.32,04_Opening Credits,04_OpeningCredits_Noninteractive,5.16,2.6725,0
7.43,04_Opening Credits,04_OpeningCredits_Noninteractive,5.28,2.6725,0
7.54,04_Opening Credits,04_OpeningCredits_Noninteractive,5.40,2.6662,0
7.66,04_Opening Credits,04_OpeningCredits_Noninteractive,5.52,2.6662,0
7.77,04_Opening Credits,04_OpeningCredits_Noninteractive,5.60,2.6662,0
7.88,04_Opening Credits,04_OpeningCredits_Noninteractive,5.72,2.6585,0
7.99,04_Opening Credits,04_OpeningCredits_Noninteractive,5.84,2.6515,0
8.10,04_Opening Credits,04_OpeningCredits_Noninteractive,5.96,2.6515,0
8.20,04_Opening Credits,04_OpeningCredits_Noninteractive,6.04,2.6426,0
8.31,04_Opening Credits,04_OpeningCredits_Noninteractive,6.16,2.6426,0
8.42,04_Opening Credits,04_OpeningCredits_Noninteractive,6.28,2.6329,0
8.53,04_Opening Credits,04_OpeningCredits_Noninteractive,6.40,2.6329,0
8.64,04_Opening Credits,04_OpeningCredits_Noninteractive,6.48,2.6329,0
8.76,04_Opening Credits,04_OpeningCredits_Noninteractive,6.60,2.6234,0
8.87,04_Opening Credits,04_OpeningCredits_Noninteractive,6.72,2.6234,0
8.96,04_Opening Credits,04_OpeningCredits_Noninteractive,6.84,2.6132,0
9.08,04_Opening Credits,04_OpeningCredits_Noninteractive,6.92,2.6132,0
9.19,04_Opening Credits,04_OpeningCredits_Noninteractive,7.04,2.6038,0
9.30,04_Opening Credits,04_OpeningCredits_Noninteractive,7.16,2.6038,0
9.41,04_Opening Credits,04_OpeningCredits_Noninteractive,7.28,2.5964,0
9.52,04_Opening Credits,04_OpeningCredits_Noninteractive,7.36,2.5964,0
9.63,04_Opening Credits,04_OpeningCredits_Noninteractive,7.48,2.5898,0
9.73,04_Opening Credits,04_OpeningCredits_Noninteractive,7.60,2.5898,0
9.84,04_Opening Credits,04_OpeningCredits_Noninteractive,7.68,2.5845,0
9.95,04_Opening Credits,04_OpeningCredits_Noninteractive,7.80,2.5845,0
10.07,04_Opening Credits,04_OpeningCredits_Noninteractive,7.92,2.5845,0
10.18,04_Opening Credits,04_OpeningCredits_Noninteractive,8.04,2.5805,0
10.29,04_Opening Credits,04_OpeningCredits_Noninteractive,8.12,2.5739,0
10.40,04_Opening Credits,04_OpeningCredits_Noninteractive,8.24,2.5739,0
10.50,04_Opening Credits,04_OpeningCredits_Noninteractive,8.36,2.5687,0
10.61,04_Opening Credits,04_OpeningCredits_Noninteractive,8.44,2.5687,0
10.72,04_Opening Credits,04_OpeningCredits_Noninteractive,8.56,2.5647,0
10.83,04_Opening Credits,04_OpeningCredits_Noninteractive,8.68,2.5647,0
10.94,04_Opening Credits,04_OpeningCredits_Noninteractive,8.80,2.5647,0
11.05,04_Opening Credits,04_OpeningCredits_Noninteractive,8.92,2.5569,0
11.16,04_Opening Credits,04_OpeningCredits_Noninteractive,9.00,2.5569,0
