EMOTIVE VR DATA RECORDING
Date (year-month-day): 2024-02-19
Playback start time: 18:38
Session ID: 


Time from playback start (s),Sequence name,Video clip name,Video time (s),Valence,Arousal
0.07,00_StartPlayback,(NO VIDEO),0.00,0,0
0.17,00_StartPlayback,(NO VIDEO),0.00,0,0
0.27,00_StartPlayback,(NO VIDEO),0.00,0,0
0.37,00_StartPlayback,(NO VIDEO),0.00,0,0
0.47,00_StartPlayback,(NO VIDEO),0.00,0,0
0.57,00_StartPlayback,(NO VIDEO),0.00,0,0
0.68,00_StartPlayback,(NO VIDEO),0.00,0,0
0.77,00_StartPlayback,(NO VIDEO),0.00,0,0
0.88,00_StartPlayback,(NO VIDEO),0.00,0,0
0.98,00_StartPlayback,(NO VIDEO),0.00,0,0
1.08,00_StartPlayback,(NO VIDEO),0.00,0,0
1.18,00_StartPlayback,(NO VIDEO),0.00,0,0
1.27,00_StartPlayback,(NO VIDEO),0.00,0,0
1.38,00_StartPlayback,(NO VIDEO),0.00,0,0
1.48,00_StartPlayback,(NO VIDEO),0.00,0,0
1.58,00_StartPlayback,(NO VIDEO),0.00,0,0
1.68,00_StartPlayback,(NO VIDEO),0.00,0,0
1.79,00_StartPlayback,(NO VIDEO),0.00,0,0
1.88,00_StartPlayback,(NO VIDEO),0.00,0,0
1.98,00_StartPlayback,(NO VIDEO),0.00,0,0
2.09,04_Opening Credits,04_OpeningCredits_Interactive,0.00,0,0
2.19,04_Opening Credits,04_OpeningCredits_Interactive,0.00,0,0
2.29,04_Opening Credits,04_OpeningCredits_Interactive,0.00,0,0
2.38,04_Opening Credits,04_OpeningCredits_Interactive,0.08,0,0
2.48,04_Opening Credits,04_OpeningCredits_Interactive,0.16,0,0
2.59,04_Opening Credits,04_OpeningCredits_Interactive,0.28,0,0
2.69,04_Opening Credits,04_OpeningCredits_Interactive,0.36,0,0
2.79,04_Opening Credits,04_OpeningCredits_Interactive,0.48,0,0
2.89,04_Opening Credits,04_OpeningCredits_Interactive,0.56,0,0
2.99,04_Opening Credits,04_OpeningCredits_Interactive,0.68,0,0
3.09,04_Opening Credits,04_OpeningCredits_Interactive,0.76,0,0
3.19,04_Opening Credits,04_OpeningCredits_Interactive,0.88,0,0
3.29,04_Opening Credits,04_OpeningCredits_Interactive,0.96,0,0
3.39,04_Opening Credits,04_OpeningCredits_Interactive,1.08,0,0
3.49,04_Opening Credits,04_OpeningCredits_Interactive,1.16,0,0
3.59,04_Opening Credits,04_OpeningCredits_Interactive,1.28,0,0
3.70,04_Opening Credits,04_OpeningCredits_Interactive,1.36,0,0
3.80,04_Opening Credits,04_OpeningCredits_Interactive,1.48,0,0
3.90,04_Opening Credits,04_OpeningCredits_Interactive,1.56,0,0
3.99,04_Opening Credits,04_OpeningCredits_Interactive,1.68,0,0
4.09,04_Opening Credits,04_OpeningCredits_Interactive,1.80,0,0
4.20,04_Opening Credits,04_OpeningCredits_Interactive,1.88,0,0
4.30,04_Opening Credits,04_OpeningCredits_Interactive,2.00,0,0
4.40,04_Opening Credits,04_OpeningCredits_Interactive,2.08,0,0
4.50,04_Opening Credits,04_OpeningCredits_Interactive,2.20,0,0
4.60,04_Opening Credits,04_OpeningCredits_Interactive,2.28,0,0
4.70,04_Opening Credits,04_OpeningCredits_Interactive,2.40,0,0
4.80,04_Opening Credits,04_OpeningCredits_Interactive,2.48,0,0
4.90,04_Opening Credits,04_OpeningCredits_Interactive,2.60,0,0
5.00,04_Opening Credits,04_OpeningCredits_Interactive,2.68,0,0
5.10,04_Opening Credits,04_OpeningCredits_Interactive,2.80,0,0
5.20,04_Opening Credits,04_OpeningCredits_Interactive,2.88,0,0
5.30,04_Opening Credits,04_OpeningCredits_Interactive,3.00,0,0
5.41,04_Opening Credits,04_OpeningCredits_Interactive,3.08,0,0
5.51,04_Opening Credits,04_OpeningCredits_Interactive,3.20,0,0
5.60,04_Opening Credits,04_OpeningCredits_Interactive,3.28,0,0
