EMOTIVE VR DATA RECORDING
Date (year-month-day): 2024-03-19
Playback start time: 19:38
Session ID: 


Time from playback start (s),Sequence name,Video clip name,Video time (s),Valence,Arousal
0.01,00_StartPlayback,(NO VIDEO),0.00,0,0
0.13,00_StartPlayback,(NO VIDEO),0.00,0,0
0.23,00_StartPlayback,(NO VIDEO),0.00,0,0
0.34,00_StartPlayback,(NO VIDEO),0.00,0,0
0.45,00_StartPlayback,(NO VIDEO),0.00,0,0
0.57,00_StartPlayback,(NO VIDEO),0.00,0,0
0.68,00_StartPlayback,(NO VIDEO),0.00,0,0
0.79,00_StartPlayback,(NO VIDEO),0.00,0,0
0.90,00_StartPlayback,(NO VIDEO),0.00,0,0
1.02,00_StartPlayback,(NO VIDEO),0.00,0,0
1.13,00_StartPlayback,(NO VIDEO),0.00,0,0
1.23,00_StartPlayback,(NO VIDEO),0.00,0,0
1.34,00_StartPlayback,(NO VIDEO),0.00,0,0
1.46,00_StartPlayback,(NO VIDEO),0.00,0,0
1.57,00_StartPlayback,(NO VIDEO),0.00,0,0
1.68,00_StartPlayback,(NO VIDEO),0.00,0,0
1.80,00_StartPlayback,(NO VIDEO),0.00,0,0
1.91,00_StartPlayback,(NO VIDEO),0.00,0,0
2.02,04_Opening Credits,04_OpeningCredits_Interactive,0.00,0,0
2.13,04_Opening Credits,04_OpeningCredits_Interactive,0.00,0,0
2.23,04_Opening Credits,04_OpeningCredits_Interactive,0.16,0,0
2.34,04_Opening Credits,04_OpeningCredits_Interactive,0.24,0,0
2.46,04_Opening Credits,04_OpeningCredits_Interactive,0.36,0,0
2.57,04_Opening Credits,04_OpeningCredits_Interactive,0.48,0,0
2.68,04_Opening Credits,04_OpeningCredits_Interactive,0.60,0,0
2.79,04_Opening Credits,04_OpeningCredits_Interactive,0.72,0,0
2.91,04_Opening Credits,04_OpeningCredits_Interactive,0.80,0,0
3.02,04_Opening Credits,04_OpeningCredits_Interactive,0.92,0,0
3.13,04_Opening Credits,04_OpeningCredits_Interactive,1.04,0,0
3.24,04_Opening Credits,04_OpeningCredits_Interactive,1.16,0,0
3.35,04_Opening Credits,04_OpeningCredits_Interactive,1.24,0,0
3.46,04_Opening Credits,04_OpeningCredits_Interactive,1.36,0,0
3.57,04_Opening Credits,04_OpeningCredits_Interactive,1.48,0,0
3.69,04_Opening Credits,04_OpeningCredits_Interactive,1.60,0,0
3.78,04_Opening Credits,04_OpeningCredits_Interactive,1.68,0,0
3.89,04_Opening Credits,04_OpeningCredits_Interactive,1.80,0,0
4.01,04_Opening Credits,04_OpeningCredits_Interactive,1.92,0,0
4.12,04_Opening Credits,04_OpeningCredits_Interactive,2.04,0,0
4.23,04_Opening Credits,04_OpeningCredits_Interactive,2.12,0,0
4.34,04_Opening Credits,04_OpeningCredits_Interactive,2.24,0,0
4.45,04_Opening Credits,04_OpeningCredits_Interactive,2.36,0,0
4.56,04_Opening Credits,04_OpeningCredits_Interactive,2.48,0,0
4.67,04_Opening Credits,04_OpeningCredits_Interactive,2.60,0,0
4.79,04_Opening Credits,04_OpeningCredits_Interactive,2.68,0,0
4.90,04_Opening Credits,04_OpeningCredits_Interactive,2.80,0,0
5.01,04_Opening Credits,04_OpeningCredits_Interactive,2.92,0,0
5.12,04_Opening Credits,04_OpeningCredits_Interactive,3.04,0,0
5.23,04_Opening Credits,04_OpeningCredits_Interactive,3.12,0,0
5.34,04_Opening Credits,04_OpeningCredits_Interactive,3.24,0,0
5.45,04_Opening Credits,04_OpeningCredits_Interactive,3.36,0,0
5.56,04_Opening Credits,04_OpeningCredits_Interactive,3.48,0,0
5.68,04_Opening Credits,04_OpeningCredits_Interactive,3.60,0,0
5.79,04_Opening Credits,04_OpeningCredits_Interactive,3.68,0,0
5.90,04_Opening Credits,04_OpeningCredits_Interactive,3.80,0,0
6.01,04_Opening Credits,04_OpeningCredits_Interactive,3.92,0,0
6.13,04_Opening Credits,04_OpeningCredits_Interactive,4.04,0,0
6.23,04_Opening Credits,04_OpeningCredits_Interactive,4.16,0,0
6.34,04_Opening Credits,04_OpeningCredits_Interactive,4.24,0,0
6.45,04_Opening Credits,04_OpeningCredits_Interactive,4.36,0,0
6.57,04_Opening Credits,04_OpeningCredits_Interactive,4.48,0,0
6.68,04_Opening Credits,04_OpeningCredits_Interactive,4.60,0,0
6.79,04_Opening Credits,04_OpeningCredits_Interactive,4.72,0,0
6.91,04_Opening Credits,04_OpeningCredits_Interactive,4.80,0,0
7.02,04_Opening Credits,04_OpeningCredits_Interactive,4.92,0,0
7.13,04_Opening Credits,04_OpeningCredits_Interactive,5.04,0,0
7.23,04_Opening Credits,04_OpeningCredits_Interactive,5.16,0,0
7.35,04_Opening Credits,04_OpeningCredits_Interactive,5.24,0,0
7.46,04_Opening Credits,04_OpeningCredits_Interactive,5.36,0,0
7.55,04_Opening Credits,04_OpeningCredits_Interactive,5.48,0,0
7.67,04_Opening Credits,04_OpeningCredits_Interactive,5.56,0,0
7.78,04_Opening Credits,04_OpeningCredits_Interactive,5.68,0,0
7.89,04_Opening Credits,04_OpeningCredits_Interactive,5.80,0,0
8.00,04_Opening Credits,04_OpeningCredits_Interactive,5.92,0,0
8.12,04_Opening Credits,04_OpeningCredits_Interactive,6.04,0,0
8.23,04_Opening Credits,04_OpeningCredits_Interactive,6.12,0,0
8.32,04_Opening Credits,04_OpeningCredits_Interactive,6.24,0,0
8.44,04_Opening Credits,04_OpeningCredits_Interactive,6.36,0,0
8.55,04_Opening Credits,04_OpeningCredits_Interactive,6.44,0,0
8.66,04_Opening Credits,04_OpeningCredits_Interactive,6.56,0,0
8.77,04_Opening Credits,04_OpeningCredits_Interactive,6.68,0,0
8.88,04_Opening Credits,04_OpeningCredits_Interactive,6.80,0,0
8.99,04_Opening Credits,04_OpeningCredits_Interactive,6.88,0,0
9.09,04_Opening Credits,04_OpeningCredits_Interactive,7.00,0,0
9.20,04_Opening Credits,04_OpeningCredits_Interactive,7.12,0,0
9.31,04_Opening Credits,04_OpeningCredits_Interactive,7.20,0,0
9.42,04_Opening Credits,04_OpeningCredits_Interactive,7.32,0,0
9.53,04_Opening Credits,04_OpeningCredits_Interactive,7.44,0,0
9.65,04_Opening Credits,04_OpeningCredits_Interactive,7.56,0,0
9.76,04_Opening Credits,04_OpeningCredits_Interactive,7.68,0,0
9.85,04_Opening Credits,04_OpeningCredits_Interactive,7.76,0,0
9.97,04_Opening Credits,04_OpeningCredits_Interactive,7.88,0,0
10.08,04_Opening Credits,04_OpeningCredits_Interactive,8.00,0,0
10.19,04_Opening Credits,04_OpeningCredits_Interactive,8.08,0,0
10.30,04_Opening Credits,04_OpeningCredits_Interactive,8.20,0,0
10.41,04_Opening Credits,04_OpeningCredits_Interactive,8.32,0,0
10.52,04_Opening Credits,04_OpeningCredits_Interactive,8.44,0,0
10.62,04_Opening Credits,04_OpeningCredits_Interactive,8.52,0,0
10.73,04_Opening Credits,04_OpeningCredits_Interactive,8.64,0,0
10.84,04_Opening Credits,04_OpeningCredits_Interactive,8.76,0,0
10.95,04_Opening Credits,04_OpeningCredits_Interactive,8.84,0,0
11.06,04_Opening Credits,04_OpeningCredits_Interactive,8.96,0,0
11.18,04_Opening Credits,04_OpeningCredits_Interactive,9.08,0,0
11.29,04_Opening Credits,04_OpeningCredits_Interactive,9.20,0,0
11.38,04_Opening Credits,04_OpeningCredits_Interactive,9.28,0,0
11.50,04_Opening Credits,04_OpeningCredits_Interactive,9.40,0,0
11.61,04_Opening Credits,04_OpeningCredits_Interactive,9.52,0,0
11.72,04_Opening Credits,04_OpeningCredits_Interactive,9.64,0,0
11.83,04_Opening Credits,04_OpeningCredits_Interactive,9.72,0,0
11.95,04_Opening Credits,04_OpeningCredits_Interactive,9.84,0,0
12.05,04_Opening Credits,04_OpeningCredits_Interactive,9.96,0,0
12.15,04_Opening Credits,04_OpeningCredits_Interactive,10.08,0,0
12.27,04_Opening Credits,04_OpeningCredits_Interactive,10.16,0,0
12.38,04_Opening Credits,04_OpeningCredits_Interactive,10.28,0,0
12.48,04_Opening Credits,04_OpeningCredits_Interactive,10.40,0,0
12.59,04_Opening Credits,04_OpeningCredits_Interactive,10.52,0,0
12.71,04_Opening Credits,04_OpeningCredits_Interactive,10.60,0,0
12.82,04_Opening Credits,04_OpeningCredits_Interactive,10.72,0,0
12.91,04_Opening Credits,04_OpeningCredits_Interactive,10.84,0,0
13.03,04_Opening Credits,04_OpeningCredits_Interactive,10.92,0,0
13.14,04_Opening Credits,04_OpeningCredits_Interactive,11.04,0,0
13.23,04_Opening Credits,04_OpeningCredits_Interactive,11.16,0,0
13.35,04_Opening Credits,04_OpeningCredits_Interactive,11.28,0,0
13.46,04_Opening Credits,04_OpeningCredits_Interactive,11.36,0,0
13.57,04_Opening Credits,04_OpeningCredits_Interactive,11.48,0,0
13.67,04_Opening Credits,04_OpeningCredits_Interactive,11.60,0,0
13.78,04_Opening Credits,04_OpeningCredits_Interactive,11.68,0,0
13.89,04_Opening Credits,04_OpeningCredits_Interactive,11.80,0,0
14.00,04_Opening Credits,04_OpeningCredits_Interactive,11.92,0,0
