EMOTIVE VR DATA RECORDING
Date (year-month-day): 2024-02-19
Playback start time: 19:11
Session ID: 


Time from playback start (s),Sequence name,Video clip name,Video time (s),Valence,Arousal
0.01,00_StartPlayback,(NO VIDEO),0.00,0.5376376,0.535837
0.10,00_StartPlayback,(NO VIDEO),0.00,0.5376376,0.535837
0.20,00_StartPlayback,(NO VIDEO),0.00,0.5376376,0.535837
0.30,00_StartPlayback,(NO VIDEO),0.00,0.5376376,0.535837
0.40,00_StartPlayback,(NO VIDEO),0.00,0.5376376,0.535837
0.50,00_StartPlayback,(NO VIDEO),0.00,0.5376376,0.535837
0.60,00_StartPlayback,(NO VIDEO),0.00,0.5376376,0.535837
0.70,00_StartPlayback,(NO VIDEO),0.00,0.5376376,0.535837
0.80,00_StartPlayback,(NO VIDEO),0.00,0.5388669,0.5356576
0.91,00_StartPlayback,(NO VIDEO),0.00,0.5388669,0.5356576
1.01,00_StartPlayback,(NO VIDEO),0.00,0.5388669,0.5356576
1.11,00_StartPlayback,(NO VIDEO),0.00,0.5388669,0.5356576
1.21,00_StartPlayback,(NO VIDEO),0.00,0.5388669,0.5356576
1.31,00_StartPlayback,(NO VIDEO),0.00,0.5388669,0.5356576
1.41,00_StartPlayback,(NO VIDEO),0.00,0.5388669,0.5356576
1.51,00_StartPlayback,(NO VIDEO),0.00,0.5388669,0.5356576
1.61,00_StartPlayback,(NO VIDEO),0.00,0.5388669,0.5356576
1.71,00_StartPlayback,(NO VIDEO),0.00,0.5388669,0.5356576
1.81,00_StartPlayback,(NO VIDEO),0.00,0.5384154,0.5341917
1.91,00_StartPlayback,(NO VIDEO),0.00,0.5384154,0.5341917
2.02,04_Opening Credits,04_OpeningCredits_Interactive,0.00,0.5384154,0.5341917
2.12,04_Opening Credits,04_OpeningCredits_Interactive,0.00,0.5384154,0.5341917
2.22,04_Opening Credits,04_OpeningCredits_Interactive,0.08,0.5384154,0.5341917
2.32,04_Opening Credits,04_OpeningCredits_Interactive,0.16,0.5384154,0.5341917
2.42,04_Opening Credits,04_OpeningCredits_Interactive,0.28,0.5384154,0.5341917
2.52,04_Opening Credits,04_OpeningCredits_Interactive,0.36,0.5384154,0.5341917
2.63,04_Opening Credits,04_OpeningCredits_Interactive,0.48,0.5384154,0.5341917
2.73,04_Opening Credits,04_OpeningCredits_Interactive,0.56,0.5387851,0.5353263
2.82,04_Opening Credits,04_OpeningCredits_Interactive,0.68,0.5387851,0.5353263
2.92,04_Opening Credits,04_OpeningCredits_Interactive,0.76,0.5387851,0.5353263
3.02,04_Opening Credits,04_OpeningCredits_Interactive,0.88,0.5387851,0.5353263
3.13,04_Opening Credits,04_OpeningCredits_Interactive,0.96,0.5387851,0.5353263
3.23,04_Opening Credits,04_OpeningCredits_Interactive,1.08,0.5387851,0.5353263
3.33,04_Opening Credits,04_OpeningCredits_Interactive,1.16,0.5387851,0.5353263
3.43,04_Opening Credits,04_OpeningCredits_Interactive,1.28,0.5387851,0.5353263
3.53,04_Opening Credits,04_OpeningCredits_Interactive,1.36,0.5387851,0.5353263
3.63,04_Opening Credits,04_OpeningCredits_Interactive,1.48,0.5387851,0.5353263
3.73,04_Opening Credits,04_OpeningCredits_Interactive,1.56,0.5387851,0.5353263
3.83,04_Opening Credits,04_OpeningCredits_Interactive,1.68,0.5393462,0.5357218
3.93,04_Opening Credits,04_OpeningCredits_Interactive,1.76,0.5393462,0.5357218
4.03,04_Opening Credits,04_OpeningCredits_Interactive,1.88,0.5393462,0.5357218
4.13,04_Opening Credits,04_OpeningCredits_Interactive,1.96,0.5393462,0.5357218
4.23,04_Opening Credits,04_OpeningCredits_Interactive,2.08,0.5393462,0.5357218
4.34,04_Opening Credits,04_OpeningCredits_Interactive,2.16,0.5393462,0.5357218
4.44,04_Opening Credits,04_OpeningCredits_Interactive,2.28,0.5393462,0.5357218
4.54,04_Opening Credits,04_OpeningCredits_Interactive,2.40,0.5393462,0.5357218
4.64,04_Opening Credits,04_OpeningCredits_Interactive,2.48,0.5393462,0.5357218
4.73,04_Opening Credits,04_OpeningCredits_Interactive,2.60,0.5400339,0.533644
4.84,04_Opening Credits,04_OpeningCredits_Interactive,2.68,0.5400339,0.533644
4.94,04_Opening Credits,04_OpeningCredits_Interactive,2.80,0.5400339,0.533644
5.04,04_Opening Credits,04_OpeningCredits_Interactive,2.88,0.5400339,0.533644
5.14,04_Opening Credits,04_OpeningCredits_Interactive,3.00,0.5400339,0.533644
5.24,04_Opening Credits,04_OpeningCredits_Interactive,3.08,0.5400339,0.533644
5.34,04_Opening Credits,04_OpeningCredits_Interactive,3.20,0.5400339,0.533644
5.45,04_Opening Credits,04_OpeningCredits_Interactive,3.28,0.5400339,0.533644
5.54,04_Opening Credits,04_OpeningCredits_Interactive,3.40,0.5400339,0.533644
5.64,04_Opening Credits,04_OpeningCredits_Interactive,3.48,0.5400339,0.533644
5.74,04_Opening Credits,04_OpeningCredits_Interactive,3.60,0.5411237,0.5336816
5.84,04_Opening Credits,04_OpeningCredits_Interactive,3.68,0.5411237,0.5336816
5.95,04_Opening Credits,04_OpeningCredits_Interactive,3.80,0.5411237,0.5336816
6.05,04_Opening Credits,04_OpeningCredits_Interactive,3.88,0.5411237,0.5336816
6.15,04_Opening Credits,04_OpeningCredits_Interactive,4.00,0.5411237,0.5336816
6.25,04_Opening Credits,04_OpeningCredits_Interactive,4.08,0.5411237,0.5336816
6.35,04_Opening Credits,04_OpeningCredits_Interactive,4.20,0.5411237,0.5336816
6.45,04_Opening Credits,04_OpeningCredits_Interactive,4.28,0.5411237,0.5336816
6.55,04_Opening Credits,04_OpeningCredits_Interactive,4.40,0.5411237,0.5336816
6.65,04_Opening Credits,04_OpeningCredits_Interactive,4.48,0.5411237,0.5336816
6.75,04_Opening Credits,04_OpeningCredits_Interactive,4.60,0.5398748,0.5358207
6.85,04_Opening Credits,04_OpeningCredits_Interactive,4.68,0.5398748,0.5358207
6.95,04_Opening Credits,04_OpeningCredits_Interactive,4.80,0.5398748,0.5358207
7.05,04_Opening Credits,04_OpeningCredits_Interactive,4.88,0.5398748,0.5358207
7.15,04_Opening Credits,04_OpeningCredits_Interactive,5.00,0.5398748,0.5358207
7.25,04_Opening Credits,04_OpeningCredits_Interactive,5.08,0.5398748,0.5358207
7.35,04_Opening Credits,04_OpeningCredits_Interactive,5.20,0.5398748,0.5358207
7.45,04_Opening Credits,04_OpeningCredits_Interactive,5.28,0.5398748,0.5358207
7.55,04_Opening Credits,04_OpeningCredits_Interactive,5.40,0.5398748,0.5358207
7.66,04_Opening Credits,04_OpeningCredits_Interactive,5.52,0.5398748,0.5358207
7.76,04_Opening Credits,04_OpeningCredits_Interactive,5.60,0.5393902,0.5362071
7.86,04_Opening Credits,04_OpeningCredits_Interactive,5.72,0.5393902,0.5362071
7.96,04_Opening Credits,04_OpeningCredits_Interactive,5.80,0.5393902,0.5362071
8.05,04_Opening Credits,04_OpeningCredits_Interactive,5.92,0.5393902,0.5362071
8.16,04_Opening Credits,04_OpeningCredits_Interactive,6.00,0.5393902,0.5362071
8.26,04_Opening Credits,04_OpeningCredits_Interactive,6.12,0.5393902,0.5362071
8.36,04_Opening Credits,04_OpeningCredits_Interactive,6.20,0.5393902,0.5362071
8.46,04_Opening Credits,04_OpeningCredits_Interactive,6.32,0.5393902,0.5362071
8.56,04_Opening Credits,04_OpeningCredits_Interactive,6.40,0.5393902,0.5362071
8.66,04_Opening Credits,04_OpeningCredits_Interactive,6.52,0.5393902,0.5362071
8.77,04_Opening Credits,04_OpeningCredits_Interactive,6.60,0.5393916,0.5361478
8.87,04_Opening Credits,04_OpeningCredits_Interactive,6.72,0.5393916,0.5361478
8.96,04_Opening Credits,04_OpeningCredits_Interactive,6.80,0.5393916,0.5361478
9.06,04_Opening Credits,04_OpeningCredits_Interactive,6.92,0.5393916,0.5361478
9.16,04_Opening Credits,04_OpeningCredits_Interactive,7.00,0.5393916,0.5361478
9.27,04_Opening Credits,04_OpeningCredits_Interactive,7.12,0.5393916,0.5361478
9.37,04_Opening Credits,04_OpeningCredits_Interactive,7.20,0.5393916,0.5361478
9.47,04_Opening Credits,04_OpeningCredits_Interactive,7.32,0.5393916,0.5361478
